onset	duration	event_type
2.01	3.50	hit
7.56	3.50	cor_rejec
13.09	3.50	hit
18.60	3.50	cor_rejec
24.22	3.50	hit
29.71	3.50	omiss
35.42	3.50	cor_rejec
43.42	3.50	cor_rejec
50.92	3.50	hit
57.07	3.50	cor_rejec
62.58	3.50	omiss
68.10	3.50	omiss
73.60	3.50	hit
79.10	3.50	cor_rejec
85.15	3.50	hit
90.65	3.50	hit
96.10	3.50	cor_rejec
101.64	3.50	omiss
107.04	3.50	hit
112.67	3.50	hit
118.07	3.50	cor_rejec
123.60	3.50	omiss
129.15	3.50	cor_rejec
134.61	3.50	omiss
140.09	3.50	cor_rejec
145.61	3.50	hit
151.32	3.50	cor_rejec
156.74	3.50	cor_rejec
162.27	3.50	cor_rejec
169.64	3.50	hit
177.62	3.50	cor_rejec
184.62	3.50	hit
190.09	3.50	cor_rejec
195.49	3.50	hit
200.94	3.50	hit
206.41	3.50	cor_rejec
212.06	3.50	hit
219.46	3.50	cor_rejec
227.43	3.50	cor_rejec
234.63	3.50	cor_rejec
240.16	3.50	cor_rejec
245.63	3.50	cor_rejec
251.03	3.50	omiss
256.53	3.50	cor_rejec
262.18	3.50	cor_rejec
267.65	3.50	cor_rejec
273.05	3.50	cor_rejec
278.85	3.50	omiss
284.32	3.50	cor_rejec
289.86	3.50	omiss
295.35	3.50	omiss
300.89	3.50	cor_rejec
306.35	3.50	hit
311.97	3.50	hit
317.37	3.50	cor_rejec
323.37	3.50	hit
328.92	3.50	omiss
334.34	3.50	false_alarm
339.82	3.50	omiss
345.22	3.50	hit
353.02	3.50	false_alarm
361.03	3.50	hit
367.13	3.50	false_alarm
372.61	3.50	omiss
378.01	3.50	omiss
383.43	3.50	cor_rejec
388.94	3.50	cor_rejec
394.58	3.50	cor_rejec
399.98	3.50	omiss
405.46	3.50	hit
410.88	3.50	cor_rejec
416.33	3.50	cor_rejec
421.79	3.50	cor_rejec
427.99	3.50	hit
435.39	3.50	cor_rejec
443.39	3.50	cor_rejec
450.44	3.50	hit
455.99	3.50	hit
461.44	3.50	false_alarm
466.89	3.50	cor_rejec
472.41	3.50	omiss
477.95	3.50	cor_rejec
483.39	3.50	hit
488.91	3.50	cor_rejec
494.44	3.50	omiss
499.89	3.50	omiss
505.46	3.50	cor_rejec
510.88	3.50	cor_rejec
516.46	3.50	hit
521.86	3.50	hit
