onset	duration	trial	value	instruction
5091	6	1	1	rest
11046	1	1	2	ready
12041	6	1	3	task
17989	8	1	4	interval
26066	6	2	1	rest
32031	1	2	2	ready
33034	6	2	3	task
38983	8	2	4	interval
47069	6	3	1	rest
53027	1	3	2	ready
54053	6	3	3	task
59990	8	3	4	interval
68065	6	4	1	rest
74027	1	4	2	ready
75042	6	4	3	task
80986	8	4	4	interval
89065	6	5	1	rest
95030	1	5	2	ready
96048	6	5	3	task
101992	8	5	4	interval
110073	6	6	1	rest
116054	1	6	2	ready
117043	6	6	3	task
122997	8	6	4	interval
131068	6	7	1	rest
137035	1	7	2	ready
138048	6	7	3	task
143995	8	7	4	interval
152085	6	8	1	rest
158042	1	8	2	ready
159053	6	8	3	task
165015	8	8	4	interval
173082	6	9	1	rest
179078	1	9	2	ready
180080	6	9	3	task
186001	8	9	4	interval
194079	6	10	1	rest
200058	1	10	2	ready
201060	6	10	3	task
207003	8	10	4	interval
215079	6	11	1	rest
221050	1	11	2	ready
222057	6	11	3	task
228020	8	11	4	interval
236092	6	12	1	rest
242049	1	12	2	ready
243070	6	12	3	task
249014	8	12	4	interval
257090	6	13	1	rest
263081	1	13	2	ready
264065	6	13	3	task
270012	8	13	4	interval
278088	6	14	1	rest
284053	1	14	2	ready
285060	6	14	3	task
291013	8	14	4	interval
299097	6	15	1	rest
305060	1	15	2	ready
306097	6	15	3	task
312025	8	15	4	interval
320100	6	16	1	rest
326067	1	16	2	ready
327093	6	16	3	task
333022	8	16	4	interval
341100	6	17	1	rest
347088	1	17	2	ready
348098	6	17	3	task
354024	8	17	4	interval
362103	6	18	1	rest
368065	1	18	2	ready
369093	6	18	3	task
375029	8	18	4	interval
383109	6	19	1	rest
389072	1	19	2	ready
390078	6	19	3	task
396040	8	19	4	interval
404111	6	20	1	rest
410100	1	20	2	ready
411087	6	20	3	task
417033	8	20	4	interval
