onset	duration	trial	value	instruction
8199	8	1	2	task
16139	7	1	3	interval
23074	5	2	1	rest
28172	8	2	2	task
36150	7	2	3	interval
43067	5	3	1	rest
48175	8	3	2	task
56140	7	3	3	interval
63076	5	4	1	rest
68175	8	4	2	task
76125	12	4	3	interval
88178	8	5	1	rest
96131	7	5	2	task
103077	5	5	3	interval
108179	8	6	1	rest
116172	7	6	2	task
123077	5	6	3	interval
128177	8	7	1	rest
136136	7	7	2	task
143084	5	7	3	interval
148185	8	8	1	rest
156165	7	8	2	task
163077	5	8	3	interval
168192	8	9	1	rest
176147	7	9	2	task
183090	5	9	3	interval
188196	8	10	1	rest
196156	7	10	2	task
203088	5	10	3	interval
208199	8	11	1	rest
216157	7	11	2	task
223302	5	11	3	interval
228203	8	12	1	rest
236177	7	12	2	task
243090	5	12	3	interval
248199	8	13	1	rest
256156	7	13	2	task
263100	5	13	3	interval
268205	8	14	1	rest
276171	7	14	2	task
283230	5	14	3	interval
288209	8	15	1	rest
296165	7	15	2	task
303105	5	15	3	interval
308220	8	16	1	rest
316173	7	16	2	task
323106	5	16	3	interval
328210	8	17	1	rest
336176	7	17	2	task
343112	5	17	3	interval
348219	8	18	1	rest
356201	7	18	2	task
363111	5	18	3	interval
368218	8	19	1	rest
376197	7	19	2	task
383117	5	19	3	interval
388225	8	20	1	rest
396181	7	20	2	task
403118	5	20	3	interval
408221	8	21	1	rest
416186	7	21	2	task
423125	5	21	3	interval
428229	8	22	1	rest
436197	7	22	2	task
443130	5	22	3	interval
448233	8	23	1	rest
456188	7	23	2	task
463130	5	23	3	interval
468235	8	24	1	rest
476215	7	24	2	task
483129	5	24	3	interval
488235	8	25	1	rest
496201	7	25	2	task
503131	5	25	3	interval
