onset	duration	trial_type	value	sample
685.848	4.0	perception_14	10	685848
689.848	1.0	preparation_14	40	689848
690.848	5.0	production_14	70	690848
695.841	5.0	rest_15	101	695841
700.85	4.0	perception_15	11	700850
704.832	1.0	preparation_15	41	704832
705.832	5.0	production_15	71	705832
710.838	5.0	rest_16	102	710838
715.833	4.0	perception_16	12	715833
719.836	1.0	preparation_16	42	719836
720.833	5.0	production_16	72	720833
725.822	5.0	rest_17	103	725822
730.817	4.0	perception_17	13	730817
734.816	1.0	preparation_17	43	734816
735.819	5.0	production_17	73	735819
740.824	5.0	rest_18	104	740824
745.817	4.0	perception_18	14	745817
749.817	1.0	preparation_18	44	749817
750.82	5.0	production_18	74	750820
755.808	5.0	rest_19	105	755808
760.8	4.0	perception_19	15	760800
764.801	1.0	preparation_19	45	764801
765.801	5.0	production_19	75	765801
770.795	5.0	rest_20	107	770795
775.787	4.0	perception_20	17	775787
779.801	1.0	preparation_20	47	779801
780.802	5.0	production_20	77	780802
785.791	5.0	rest_21	108	785791
790.786	4.0	perception_21	18	790786
794.786	1.0	preparation_21	48	794786
795.785	5.0	production_21	78	795785
800.776	5.0	rest_22	109	800776
805.769	4.0	perception_22	19	805769
809.769	1.0	preparation_22	49	809769
810.769	5.0	production_22	79	810769
815.761	5.0	rest_23	110	815761
819.0	6.0	bad_artifact	3	819000
820.753	4.0	perception_23	20	820753
824.753	1.0	preparation_23	50	824753
825.753	5.0	production_23	80	825753
830.744	5.0	rest_24	111	830744
835.737	4.0	perception_24	21	835737
839.737	1.0	preparation_24	51	839737
840.737	5.0	production_24	81	840737
845.727	5.0	rest_25	112	845727
850.721	4.0	perception_25	22	850721
854.721	1.0	preparation_25	52	854721
855.721	5.0	production_25	82	855721
860.713	5.0	rest_26	113	860713
865.705	4.0	perception_26	23	865705
869.705	1.0	preparation_26	53	869705
870.705	5.0	production_26	83	870705
875.695	5.0	rest_27	114	875695
880.689	4.0	perception_27	24	880689
884.689	1.0	preparation_27	54	884689
885.689	5.0	production_27	84	885689
890.679	5.0	rest_28	115	890679
895.674	4.0	perception_28	25	895674
899.674	1.0	preparation_28	55	899674
900.673	5.0	production_28	85	900673
905.662	5.0	rest_29	116	905662
910.658	4.0	perception_29	26	910658
914.657	1.0	preparation_29	56	914657
915.657	5.0	production_29	86	915657
920.649	5.0	rest_30	118	920649
925.641	4.0	perception_30	28	925641
929.641	1.0	preparation_30	58	929641
930.643	5.0	production_30	88	930643
935.647	5.0	rest_1	95	935647
940.642	4.0	perception_1	5	940642
944.642	1.0	preparation_1	35	944642
945.641	5.0	production_1	65	945641
950.631	5.0	rest_2	106	950631
955.626	4.0	perception_2	16	955626
959.626	1.0	preparation_2	46	959626
960.625	5.0	production_2	76	960625
965.616	5.0	rest_3	117	965616
970.609	4.0	perception_3	27	970609
974.61	1.0	preparation_3	57	974610
975.61	5.0	production_3	87	975610
980.6	5.0	rest_4	119	980600
985.596	4.0	perception_4	29	985596
989.593	1.0	preparation_4	59	989593
990.593	5.0	production_4	89	990593
995.582	5.0	rest_5	120	995582
1000.578	4.0	perception_5	30	1000578
1004.577	1.0	preparation_5	60	1004577
1005.577	5.0	production_5	90	1005577
1010.566	5.0	rest_6	121	1010566
1015.561	4.0	perception_6	31	1015561
1019.563	1.0	preparation_6	61	1019563
1020.562	5.0	production_6	91	1020562
1025.55	5.0	rest_7	122	1025550
1030.545	4.0	perception_7	32	1030545
1034.545	1.0	preparation_7	62	1034545
1035.545	5.0	production_7	92	1035545
1040.536	5.0	rest_8	123	1040536
1045.529	4.0	perception_8	33	1045529
1049.529	1.0	preparation_8	63	1049529
1050.529	5.0	production_8	93	1050529
1055.52	5.0	rest_9	124	1055520
1060.513	4.0	perception_9	34	1060513
1064.513	1.0	preparation_9	64	1064513
1065.513	5.0	production_9	94	1065513
1070.503	5.0	rest_10	96	1070503
1075.497	4.0	perception_10	6	1075497
1079.497	1.0	preparation_10	36	1079497
1080.497	5.0	production_10	66	1080497
1085.488	5.0	rest_11	97	1085488
1090.481	4.0	perception_11	7	1090481
1094.481	1.0	preparation_11	37	1094481
1095.481	5.0	production_11	67	1095481
1100.47	5.0	rest_12	98	1100470
1105.465	4.0	perception_12	8	1105465
1109.465	1.0	preparation_12	38	1109465
1110.465	5.0	production_12	68	1110465
1112.0	3.0	bad_artifact	3	1112000
1115.457	5.0	rest_13	99	1115457
1120.449	4.0	perception_13	9	1120449
1124.449	1.0	preparation_13	39	1124449
1125.449	5.0	production_13	69	1125449
1130.438	5.0	rest_14	100	1130438
1135.433	4.0	perception_14	10	1135433
1139.434	1.0	preparation_14	40	1139434
1140.433	5.0	production_14	70	1140433
1145.424	5.0	rest_15	101	1145424
1150.417	4.0	perception_15	11	1150417
1154.417	1.0	preparation_15	41	1154417
1155.417	5.0	production_15	71	1155417
1160.41	5.0	rest_16	102	1160410
1165.417	4.0	perception_16	12	1165417
1169.417	1.0	preparation_16	42	1169417
1170.418	5.0	production_16	72	1170418
1175.406	5.0	rest_17	103	1175406
1180.401	4.0	perception_17	13	1180401
1184.401	1.0	preparation_17	43	1184401
1185.402	5.0	production_17	73	1185402
1190.399	5.0	rest_18	104	1190399
1195.404	4.0	perception_18	14	1195404
1199.402	1.0	preparation_18	44	1199402
1200.402	5.0	production_18	74	1200402
1205.392	5.0	rest_19	105	1205392
1210.386	4.0	perception_19	15	1210386
1214.388	1.0	preparation_19	45	1214388
1215.386	5.0	production_19	75	1215386
1220.377	5.0	rest_20	107	1220377
1225.371	4.0	perception_20	17	1225371
1229.37	1.0	preparation_20	47	1229370
1230.372	5.0	production_20	77	1230372
1235.376	5.0	rest_21	108	1235376
1240.371	4.0	perception_21	18	1240371
1244.371	1.0	preparation_21	48	1244371
1245.37	5.0	production_21	78	1245370
1250.363	5.0	rest_22	109	1250363
1255.355	4.0	perception_22	19	1255355
1259.354	1.0	preparation_22	49	1259354
1260.355	5.0	production_22	79	1260355
1265.343	5.0	rest_23	110	1265343
1270.339	4.0	perception_23	20	1270339
1274.338	1.0	preparation_23	50	1274338
1275.339	5.0	production_23	80	1275339
1280.328	5.0	rest_24	111	1280328
1285.325	4.0	perception_24	21	1285325
1289.322	1.0	preparation_24	51	1289322
1290.322	5.0	production_24	81	1290322
1295.313	5.0	rest_25	112	1295313
1300.307	4.0	perception_25	22	1300307
1304.306	1.0	preparation_25	52	1304306
1305.307	5.0	production_25	82	1305307
1310.296	5.0	rest_26	113	1310296
1315.29	4.0	perception_26	23	1315290
1319.293	1.0	preparation_26	53	1319293
1320.293	5.0	production_26	83	1320293
1325.299	5.0	rest_27	114	1325299
1330.291	4.0	perception_27	24	1330291
1334.291	1.0	preparation_27	54	1334291
1335.291	5.0	production_27	84	1335291
1340.287	5.0	rest_28	115	1340287
1345.292	4.0	perception_28	25	1345292
1349.292	1.0	preparation_28	55	1349292
1350.291	5.0	production_28	85	1350291
1355.283	5.0	rest_29	116	1355283
1360.276	4.0	perception_29	26	1360276
1364.276	1.0	preparation_29	56	1364276
1365.275	5.0	production_29	86	1365275
1370.265	5.0	rest_30	118	1370265
1375.26	4.0	perception_30	28	1375260
1379.259	1.0	preparation_30	58	1379259
1380.26	5.0	production_30	88	1380260
1385.25	5.0	rest_1	95	1385250
1390.243	4.0	perception_1	5	1390243
1394.244	1.0	preparation_1	35	1394244
1395.244	5.0	production_1	65	1395244
1400.234	5.0	rest_2	106	1400234
1405.227	4.0	perception_2	16	1405227
1409.227	1.0	preparation_2	46	1409227
1410.227	5.0	production_2	76	1410227
1415.22	5.0	rest_3	117	1415220
1420.212	4.0	perception_3	27	1420212
1424.211	1.0	preparation_3	57	1424211
1425.211	5.0	production_3	87	1425211
1430.204	5.0	rest_4	119	1430204
1435.195	4.0	perception_4	29	1435195
1439.195	1.0	preparation_4	59	1439195
1440.195	5.0	production_4	89	1440195
1445.187	5.0	rest_5	120	1445187
1450.179	4.0	perception_5	30	1450179
1454.179	1.0	preparation_5	60	1454179
1455.179	5.0	production_5	90	1455179
1460.173	5.0	rest_6	121	1460173
1465.18	4.0	perception_6	31	1465180
1469.18	1.0	preparation_6	61	1469180
1470.18	5.0	production_6	91	1470180
1475.169	5.0	rest_7	122	1475169
1480.163	4.0	perception_7	32	1480163
1484.164	1.0	preparation_7	62	1484164
1485.164	5.0	production_7	92	1485164
1490.155	5.0	rest_8	123	1490155
1495.148	4.0	perception_8	33	1495148
1499.148	1.0	preparation_8	63	1499148
1500.148	5.0	production_8	93	1500148
1505.138	5.0	rest_9	124	1505138
1510.132	4.0	perception_9	34	1510132
1514.132	1.0	preparation_9	64	1514132
