onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
190.7600000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
193.3540000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
193.9660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
196.1740000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
198.0040000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
198.7000000000	n/a	n/a	FB: 0	n/a	n/a	S  9
200.8840000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
202.6680000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
203.2140000000	n/a	n/a	FB: 0	n/a	n/a	S  9
205.3820000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
206.9160000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
207.5120000000	n/a	n/a	FB: 0	n/a	n/a	S  9
209.6960000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
211.5320000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
212.2100000000	n/a	n/a	FB: +1	n/a	n/a	S  8
214.3780000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
216.1960000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
216.7420000000	n/a	n/a	FB: 0	n/a	n/a	S  9
218.9100000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
220.4360000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
220.9240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
223.0920000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
224.7400000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
225.3220000000	n/a	n/a	FB: +1	n/a	n/a	S  8
227.4900000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
228.5400000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
229.0540000000	n/a	n/a	FB: 0	n/a	n/a	S  9
231.2240000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
232.2280000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
232.9040000000	n/a	n/a	FB: 0	n/a	n/a	S  9
235.0720000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
235.7980000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
236.4700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
238.6380000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
239.4760000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
240.1680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
242.3360000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
243.1240000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
243.7000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
245.8680000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
247.2200000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
247.8320000000	n/a	n/a	FB: 0	n/a	n/a	S  9
250.0000000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
250.8360000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
251.3300000000	n/a	n/a	FB: +1	n/a	n/a	S  8
253.5000000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
254.2200000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
254.8460000000	n/a	n/a	FB: +1	n/a	n/a	S  8
257.0140000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
257.9160000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
258.5460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
260.7140000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
261.3880000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
262.0440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
264.2120000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
264.8440000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
