onset	duration	trial	value	instruction
5578	6	1	1	rest
11500	1	1	2	ready
12488	6	1	3	task
18438	8	1	4	interval
26515	6	2	1	rest
32477	1	2	2	ready
33505	6	2	3	task
39436	8	2	4	interval
47516	6	3	1	rest
53487	1	3	2	ready
54513	6	3	3	task
60448	8	3	4	interval
68526	6	4	1	rest
74509	1	4	2	ready
75508	6	4	3	task
81449	8	4	4	interval
89528	6	5	1	rest
95501	1	5	2	ready
96524	6	5	3	task
102447	8	5	4	interval
110528	6	6	1	rest
116509	1	6	2	ready
117537	6	6	3	task
123452	8	6	4	interval
131524	6	7	1	rest
137492	1	7	2	ready
138497	6	7	3	task
144447	8	7	4	interval
152524	6	8	1	rest
158500	1	8	2	ready
159525	6	8	3	task
165452	8	8	4	interval
173529	6	9	1	rest
179500	1	9	2	ready
180504	6	9	3	task
186456	8	9	4	interval
194532	6	10	1	rest
200494	1	10	2	ready
201506	6	10	3	task
207456	8	10	4	interval
215538	6	11	1	rest
221497	1	11	2	ready
222503	6	11	3	task
228454	8	11	4	interval
236533	6	12	1	rest
242500	1	12	2	ready
243502	6	12	3	task
249459	8	12	4	interval
257540	6	13	1	rest
263520	1	13	2	ready
264521	6	13	3	task
270461	8	13	4	interval
278541	6	14	1	rest
284503	1	14	2	ready
285519	6	14	3	task
291460	8	14	4	interval
299544	6	15	1	rest
305508	1	15	2	ready
306542	6	15	3	task
312464	8	15	4	interval
320548	6	16	1	rest
326538	1	16	2	ready
327522	6	16	3	task
333474	8	16	4	interval
341557	6	17	1	rest
347512	1	17	2	ready
348529	6	17	3	task
354486	8	17	4	interval
362558	6	18	1	rest
368531	1	18	2	ready
369527	6	18	3	task
375488	8	18	4	interval
383564	6	19	1	rest
389529	1	19	2	ready
390553	6	19	3	task
396489	8	19	4	interval
404571	6	20	1	rest
410540	1	20	2	ready
411566	6	20	3	task
417490	8	20	4	interval
