onset	duration	trial_type	trial	intensity	latency	rt	pressed_first	agency
26.0875	0.4026	pretest	1	0.0	n/a	0.35617000000000093	1	1
32.771	0.2525	pretest	2	0.0	n/a	0.19911000000000115	1	1
38.8044	0.3359	pretest	3	0.0	n/a	0.29221000000000114	1	1
43.8379	0.3024	pretest	4	0.0	n/a	0.24952000000000113	1	1
49.4379	0.2025	pretest	5	0.0	n/a	0.15203000000000114	1	1
55.3213	0.2525	pretest	6	0.0	n/a	0.20314000000000113	1	1
62.7381	0.2359	pretest	7	0.0	n/a	0.192419999999994	1	1
68.9382	0.2358	pretest	8	0.0	n/a	0.18287000000000447	1	1
78.0717	0.2525	pretest	9	0.0	n/a	0.19901999999998693	1	1
85.1884	0.2359	pretest	10	0.0	n/a	0.18459000000000447	1	1
91.7552	0.2358	pretest	11	0.0	n/a	0.19220000000000445	1	1
101.572	0.2359	pretest	12	0.0	n/a	0.18090000000000114	1	1
106.2721	0.2858	pretest	13	0.0	n/a	0.231530000000012	1	1
112.7055	0.2192	pretest	14	0.0	n/a	0.16461999999999355	1	1
120.2057	0.2524	pretest	15	0.0	n/a	0.19845000000000446	1	1
128.1225	0.2524	pretest	16	0.0	n/a	0.19963000000000114	1	1
133.2892	0.2358	pretest	17	0.0	n/a	0.18374000000000446	1	1
139.6559	0.2359	pretest	18	0.0	n/a	0.18339000000000777	1	1
147.106	0.2192	pretest	19	0.0	n/a	0.17141000000000778	1	1
152.6895	0.2358	pretest	20	0.0	n/a	0.18649000000000446	1	1
160.4229	0.2192	pretest	21	0.0	n/a	0.17918000000000447	1	1
166.373	0.2358	pretest	22	0.0	n/a	0.19555000000000114	1	1
171.7565	0.6191	pretest	23	0.0	n/a	0.5705900000000012	1	1
178.1399	0.2525	pretest	24	0.0	n/a	0.20165000000000113	1	1
182.5066	0.2359	pretest	25	0.0	n/a	0.18589000000000444	1	1
188.5233	0.2193	pretest	26	0.0	n/a	0.16766000000000447	1	1
194.2067	0.2192	pretest	27	0.0	n/a	0.17890999999997936	1	1
201.7735	0.2359	pretest	28	0.0	n/a	0.19418000000000116	1	1
207.5903	0.2525	pretest	29	0.0	n/a	0.19992999999997935	1	1
214.8071	0.2858	pretest	30	0.0	n/a	0.24523000000000444	1	1
251.6576	0.2859	stimulation	1	19.0	0.21543000000000528	0.23337000000000446	0	1
262.8245	0.2858	stimulation	2	19.0	0.18233000000001492	0.23179000000000444	0	0
279.9247	0.2359	stimulation	3	19.0	0.1686300000000433	0.1673600000000362	1	1
289.0915	0.2025	stimulation	4	19.0	0.10932999999997899	0.15017000000000447	0	1
299.7917	0.2025	stimulation	5	19.0	0.10823000000002773	0.15139000000002956	0	1
309.1918	0.2192	stimulation	6	19.0	0.1333299999999799	0.17285000000000447	0	0
320.7587	0.2191	stimulation	7	19.0	0.15723000000000592	0.17095000000000446	0	1
327.0755	0.2358	stimulation	8	19.0	0.15023000000000092	0.18868000000002957	0	0
333.3256	0.2191	stimulation	9	19.0	0.13523000000001456	0.17685999999997273	0	1
342.2924	0.2191	stimulation	10	19.0	0.13513000000003966	0.16791000000002956	0	1
349.1425	0.2191	stimulation	11	19.0	0.16542999999999392	0.16407000000002955	1	1
356.5093	0.1858	stimulation	12	19.0	0.09322999999998453	0.13946000000000447	0	0
363.6427	0.2358	stimulation	13	19.0	0.17132999999999082	0.17219000000002957	0	1
371.3928	0.2025	stimulation	14	19.0	0.10322999999997544	0.14819000000000446	0	0
377.4762	0.2191	stimulation	15	19.0	0.13523000000001456	0.1752799999999727	0	0
382.1429	0.2192	stimulation	16	19.0	0.1343300000000131	0.16338000000000447	0	1
389.9764	0.2358	stimulation	17	19.0	0.14822999999999137	0.18402000000000446	0	0
396.2598	0.2025	stimulation	18	19.0	0.11933000000002673	0.1548800000000362	0	0
401.4432	0.2025	stimulation	19	19.0	0.13633000000002266	0.15429000000000445	0	1
406.8766	0.1859	stimulation	20	19.0	0.1314300000000021	0.14336999999997935	0	1
414.1101	0.2192	stimulation	21	19.0	0.16432999999998582	0.17216000000000448	0	1
420.4935	0.2192	stimulation	22	19.0	0.13233000000000356	0.17117000000000446	0	0
425.9602	0.1859	stimulation	23	19.0	0.10022999999998954	0.1431000000000362	0	0
431.527	0.1858	stimulation	24	19.0	0.11323000000002319	0.14288000000000445	0	0
440.4938	0.2192	stimulation	25	19.0	0.16232999999997627	0.16576000000000446	0	1
445.6772	0.2025	stimulation	26	19.0	0.1256299999999801	0.14911999999998599	0	1
452.6107	0.2024	stimulation	27	19.0	0.1152299999999759	0.15782000000000446	0	1
457.6108	0.2191	stimulation	28	19.0	0.11813000000004374	0.16448000000002955	0	0
463.4442	0.2024	stimulation	29	19.0	0.14832999999996627	0.15363000000000446	0	1
470.911	0.2024	stimulation	30	19.0	0.12132999999997944	0.15701000000000445	0	0
476.8777	0.2525	stimulation	31	19.0	0.18352999999999792	0.2047400000000111	0	1
483.1112	0.1858	stimulation	32	19.0	0.12123000000000454	0.14569000000002957	0	1
487.9446	0.1858	stimulation	33	19.0	0.09452999999999927	0.14314000000004284	0	0
494.678	0.2025	stimulation	34	19.0	0.1191300000000201	0.15997000000002956	0	0
500.8114	0.2025	stimulation	35	19.0	0.11222999999998999	0.15308000000000446	0	0
510.3949	0.2191	stimulation	36	19.0	0.12823000000000956	0.16716000000000447	0	1
515.9116	0.2025	stimulation	37	19.0	0.11732999999996034	0.15305999999994763	0	0
521.5117	0.2192	stimulation	38	19.0	0.14523000000000547	0.16753999999994762	0	1
528.5952	0.2024	stimulation	39	19.0	0.10952999999998562	0.154309999999986	0	0
534.3453	0.2191	stimulation	40	19.0	0.16543000000005076	0.17876000000006131	0	1
541.9954	0.2191	stimulation	41	19.0	0.16323000000003457	0.1745299999999727	0	1
548.0288	0.2192	stimulation	42	19.0	0.13412999999994962	0.17171999999997273	0	0
