onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00618	n/a	n/a	n/a	n/a	80400	4	0	149	2	8	n/a
12.005	3.5	controlItem	n/a	n/a	10443	4	43	150	2	1	n/a
15.4897	3.0	controlItem	n/a	n/a	30443	4	43	151	2	0	n/a
18.4889	3.0	controlItem	Foil2	0.72	30443	4	43	152	2	3	controlFoil2
22.0052	3.5	criticalItem	n/a	n/a	10438	4	38	153	2	1	n/a
25.4883	3.0	criticalItem	n/a	n/a	20438	4	38	154	2	0	n/a
28.488	3.0	criticalItem	Foil	1.577	20438	4	38	155	2	2	criticalFoil
32.0043	3.5	controlItem	n/a	n/a	10416	4	16	156	2	1	n/a
35.4861	3.0	controlItem	n/a	n/a	20416	4	16	157	2	0	n/a
38.4859	3.0	controlItem	Foil1	1.362	20416	4	16	158	2	2	controlFoil1
42.0031	3.5	controlItem	n/a	n/a	10425	4	25	159	2	1	n/a
45.4849	3.0	controlItem	n/a	n/a	60425	4	25	160	2	0	n/a
48.486	3.0	controlItem	Foil1	1.502	60425	4	25	161	2	6	controlFoil1
52.0023	3.5	controlItem	n/a	n/a	10450	4	50	162	2	1	n/a
55.4852	3.0	controlItem	n/a	n/a	30450	4	50	163	2	0	n/a
58.4842	3.0	controlItem	True	0.618	30450	4	50	164	2	3	controlTrue
62.0013	3.5	criticalItem	n/a	n/a	10417	4	17	165	2	1	n/a
65.4835	3.0	criticalItem	n/a	n/a	40417	4	17	166	2	0	n/a
68.484	3.0	criticalItem	True	0.679	40417	4	17	167	2	4	criticalTrue
71.999	3.5	controlItem	n/a	n/a	10444	4	44	168	2	1	n/a
75.4833	3.0	controlItem	n/a	n/a	20444	4	44	169	2	0	n/a
78.4829	3.0	controlItem	True	0.571	20444	4	44	170	2	2	controlTrue
82.0142	3.5	controlItem	n/a	n/a	10422	4	22	171	2	1	n/a
85.499	3.0	controlItem	n/a	n/a	50422	4	22	172	2	0	n/a
88.4977	3.0	controlItem	Foil2	1.029	50422	4	22	173	2	5	controlFoil2
92.0138	3.5	criticalItem	n/a	n/a	10419	4	19	174	2	1	n/a
95.4979	3.0	criticalItem	n/a	n/a	40419	4	19	175	2	0	n/a
98.4969	3.0	criticalItem	Foil	1.138	40419	4	19	176	2	4	criticalFoil
102.013	3.5	controlItem	n/a	n/a	10430	4	30	177	2	1	n/a
105.497	3.0	controlItem	n/a	n/a	70430	4	30	178	2	0	n/a
108.496	3.0	controlItem	Foil2	0.443	70430	4	30	179	2	7	controlFoil2
112.013	3.5	criticalItem	n/a	n/a	10436	4	36	180	2	1	n/a
115.496	3.0	criticalItem	n/a	n/a	40436	4	36	181	2	0	n/a
118.496	3.0	criticalItem	True	1.652	40436	4	36	182	2	4	criticalTrue
122.01	3.5	controlItem	n/a	n/a	10409	4	9	183	2	1	n/a
125.494	3.0	controlItem	n/a	n/a	70409	4	9	184	2	0	n/a
128.495	3.0	controlItem	True	0.631	70409	4	9	185	2	7	controlTrue
132.01	3.5	controlItem	n/a	n/a	10448	4	48	186	2	1	n/a
135.494	3.0	controlItem	n/a	n/a	60448	4	48	187	2	0	n/a
138.494	3.0	controlItem	Foil2	1.996	60448	4	48	188	2	6	controlFoil2
142.008	3.5	controlItem	n/a	n/a	10446	4	46	189	2	1	n/a
145.493	3.0	controlItem	n/a	n/a	40446	4	46	190	2	0	n/a
148.493	3.0	controlItem	Foil1	0.998	40446	4	46	191	2	4	controlFoil1
