onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00762	n/a	n/a	n/a	n/a	80500	5	0	297	3	8	n/a
12.0067	3.5	criticalItem	n/a	n/a	10526	5	26	298	3	1	n/a
15.4885	3.0	criticalItem	n/a	n/a	30526	5	26	299	3	0	n/a
18.4892	3.0	criticalItem	False	0.55	30526	5	26	300	3	3	criticalFalse
22.0056	3.5	criticalItem	n/a	n/a	10523	5	23	301	3	1	n/a
25.4887	3.0	criticalItem	n/a	n/a	20523	5	23	302	3	0	n/a
28.4885	3.0	criticalItem	False	0.63	20523	5	23	303	3	2	criticalFalse
32.0046	3.5	controlItem	n/a	n/a	10532	5	32	304	3	1	n/a
35.4864	3.0	controlItem	n/a	n/a	70532	5	32	305	3	0	n/a
38.4876	3.0	controlItem	True	0.558	70532	5	32	306	3	7	controlTrue
42.0036	3.5	criticalItem	n/a	n/a	10503	5	3	307	3	1	n/a
45.4855	3.0	criticalItem	n/a	n/a	70503	5	3	308	3	0	n/a
48.4848	3.0	criticalItem	True	0.387	70503	5	3	309	3	7	criticalTrue
52.0027	3.5	criticalItem	n/a	n/a	10519	5	19	310	3	1	n/a
55.4857	3.0	criticalItem	n/a	n/a	70519	5	19	311	3	0	n/a
58.4844	3.0	criticalItem	True	1.245	70519	5	19	312	3	7	criticalTrue
62.0017	3.5	controlItem	n/a	n/a	10522	5	22	313	3	1	n/a
65.4847	3.0	controlItem	n/a	n/a	20522	5	22	314	3	0	n/a
68.4833	3.0	controlItem	Foil2	0.814	20522	5	22	315	3	2	controlFoil2
72.0159	3.5	controlItem	n/a	n/a	10515	5	15	316	3	1	n/a
75.5006	3.0	controlItem	n/a	n/a	60515	5	15	317	3	0	n/a
78.499	3.0	controlItem	Foil2	0.526	60515	5	15	318	3	6	controlFoil2
82.0165	3.5	controlItem	n/a	n/a	10525	5	25	319	3	1	n/a
85.4993	3.0	controlItem	n/a	n/a	40525	5	25	320	3	0	n/a
88.4991	3.0	controlItem	True	1.036	40525	5	25	321	3	4	controlTrue
92.0141	3.5	controlItem	n/a	n/a	10518	5	18	322	3	1	n/a
95.4985	3.0	controlItem	n/a	n/a	60518	5	18	323	3	0	n/a
98.497	3.0	controlItem	True	0.693	60518	5	18	324	3	6	controlTrue
102.014	3.5	criticalItem	n/a	n/a	10505	5	5	325	3	1	n/a
105.496	3.0	criticalItem	n/a	n/a	20505	5	5	326	3	0	n/a
108.496	3.0	criticalItem	True	0.382	20505	5	5	327	3	2	criticalTrue
112.013	3.5	controlItem	n/a	n/a	10549	5	49	328	3	1	n/a
115.496	3.0	controlItem	n/a	n/a	20549	5	49	329	3	0	n/a
118.496	3.0	controlItem	Foil1	0.804	20549	5	49	330	3	2	controlFoil1
122.012	3.5	controlItem	n/a	n/a	10524	5	24	331	3	1	n/a
125.495	3.0	controlItem	n/a	n/a	20524	5	24	332	3	0	n/a
128.494	3.0	controlItem	True	1.801	20524	5	24	333	3	2	controlTrue
132.01	3.5	criticalItem	n/a	n/a	10521	5	21	334	3	1	n/a
135.494	3.0	criticalItem	n/a	n/a	50521	5	21	335	3	0	n/a
138.493	3.0	criticalItem	Foil	1.798	50521	5	21	336	3	5	criticalFoil
142.01	3.5	criticalItem	n/a	n/a	10550	5	50	337	3	1	n/a
145.493	3.0	criticalItem	n/a	n/a	50550	5	50	338	3	0	n/a
148.493	3.0	criticalItem	True	0.592	50550	5	50	339	3	5	criticalTrue
152.009	3.5	controlItem	n/a	n/a	10514	5	14	340	3	1	n/a
155.493	3.0	controlItem	n/a	n/a	30514	5	14	341	3	0	n/a
158.491	3.0	controlItem	True	1.251	30514	5	14	342	3	3	controlTrue
162.01	3.5	criticalItem	n/a	n/a	10541	5	41	343	3	1	n/a
165.492	3.0	criticalItem	n/a	n/a	60541	5	41	344	3	0	n/a
168.491	3.0	criticalItem	True	2.218	60541	5	41	345	3	6	criticalTrue
172.006	3.5	criticalItem	n/a	n/a	10516	5	16	346	3	1	n/a
175.49	3.0	criticalItem	n/a	n/a	20516	5	16	347	3	0	n/a
178.49	3.0	criticalItem	False	0.37	20516	5	16	348	3	2	criticalFalse
182.005	3.5	controlItem	n/a	n/a	10527	5	27	349	3	1	n/a
185.49	3.0	controlItem	n/a	n/a	40527	5	27	350	3	0	n/a
188.489	3.0	controlItem	True	1.138	40527	5	27	351	3	4	controlTrue
192.004	3.5	criticalItem	n/a	n/a	10539	5	39	352	3	1	n/a
195.487	3.0	criticalItem	n/a	n/a	70539	5	39	353	3	0	n/a
198.488	3.0	criticalItem	True	0.433	70539	5	39	354	3	7	criticalTrue
202.004	3.5	criticalItem	n/a	n/a	10547	5	47	355	3	1	n/a
205.486	3.0	criticalItem	n/a	n/a	40547	5	47	356	3	0	n/a
208.487	3.0	criticalItem	True	1.423	40547	5	47	357	3	4	criticalTrue
212.002	3.5	controlItem	n/a	n/a	10542	5	42	358	3	1	n/a
215.486	3.0	controlItem	n/a	n/a	50542	5	42	359	3	0	n/a
218.485	3.0	controlItem	Foil1	0.45	50542	5	42	360	3	5	controlFoil1
222.001	3.5	criticalItem	n/a	n/a	10531	5	31	361	3	1	n/a
225.484	3.0	criticalItem	n/a	n/a	50531	5	31	362	3	0	n/a
228.485	3.0	criticalItem	True	0.499	50531	5	31	363	3	5	criticalTrue
232	3.5	controlItem	n/a	n/a	10546	5	46	364	3	1	n/a
235.485	3.0	controlItem	n/a	n/a	30546	5	46	365	3	0	n/a
238.484	3.0	controlItem	Foil1	0.663	30546	5	46	366	3	3	controlFoil1
242.001	3.5	controlItem	n/a	n/a	10517	5	17	367	3	1	n/a
245.484	3.0	controlItem	n/a	n/a	40517	5	17	368	3	0	n/a
