onset	duration	trial_type	response_time	experimentName	correct	stim_path
0.0	7.0	fixation	n/a	VOESocPhys	1.0	n/a
19.518	5.0	fixation	n/a	VOESocPhys	1.0	n/a
37.03	5.0	fixation	0.778	VOESocPhys	1.0	n/a
54.542	5.0	fixation	n/a	VOESocPhys	1.0	n/a
72.057	3.0	fixation	0.73	VOESocPhys	1.0	n/a
87.572	5.0	fixation	0.579	VOESocPhys	1.0	n/a
105.084	5.0	fixation	0.667	VOESocPhys	1.0	n/a
122.599	7.0	fixation	0.907	VOESocPhys	1.0	n/a
142.116	7.0	fixation	0.49	VOESocPhys	1.0	n/a
161.628	3.0	fixation	0.486	VOESocPhys	1.0	n/a
177.142	3.0	fixation	n/a	VOESocPhys	1.0	n/a
192.655	5.0	fixation	0.544	VOESocPhys	1.0	n/a
210.167	3.0	fixation	n/a	VOESocPhys	1.0	n/a
225.679	3.0	fixation	0.421	VOESocPhys	1.0	n/a
241.195	3.0	fixation	0.492	VOESocPhys	1.0	n/a
256.706	3.0	fixation	0.462	VOESocPhys	1.0	n/a
272.218	5.0	fixation	0.433	VOESocPhys	1.0	n/a
289.733	7.0	fixation	0.495	VOESocPhys	1.0	n/a
309.248	3.0	fixation	0.452	VOESocPhys	1.0	n/a
324.763	7.0	fixation	0.472	VOESocPhys	1.0	n/a
344.277	5.0	fixation	0.346	VOESocPhys	1.0	n/a
361.789	5.0	fixation	n/a	VOESocPhys	1.0	n/a
379.305	7.0	fixation	n/a	VOESocPhys	1.0	n/a
398.82	5.0	fixation	n/a	VOESocPhys	1.0	n/a
7.005000000000003	12.25	psychology_goals_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam.mp4
24.520000000000003	12.25	psychology_goals_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp.mp4
42.036	12.25	psychology_goals_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp.mp4
59.545	12.25	physics_solidity_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam.mp4
75.06	12.25	physics_solidity_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp.mp4
92.578	12.25	physics_solidity_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp.mp4
110.09	12.25	psychology_efficiency_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam_flip.mp4
129.602	12.25	psychology_efficiency_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp_flip.mp4
149.121	12.25	psychology_efficiency_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp_flip.mp4
164.63099999999997	12.25	physics_support_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam.mp4
180.146	12.25	physics_support_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp.mp4
197.661	12.25	physics_support_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp.mp4
213.169	12.25	psychology_efficiency_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam_flip.mp4
228.685	12.25	psychology_efficiency_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp_flip.mp4
244.197	12.25	psychology_efficiency_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp_flip.mp4
259.711	12.25	psychology_goals_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam.mp4
277.221	12.25	psychology_goals_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp.mp4
296.73900000000003	12.25	psychology_goals_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp.mp4
312.253	12.25	physics_support_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam_flip.mp4
331.769	12.25	physics_support_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp_flip.mp4
349.279	12.25	physics_support_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp_flip.mp4
366.796	12.25	physics_solidity_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam.mp4
386.3080000000001	12.25	physics_solidity_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp.mp4
403.825	12.25	physics_solidity_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp.mp4
