onset	duration	trial	value	instruction
6330	6	1	1	rest
12269	1	1	2	ready
13281	6	1	3	task
19211	8	1	4	interval
27283	6	2	1	rest
33254	1	2	2	ready
34270	6	2	3	task
40209	8	2	4	interval
48292	6	3	1	rest
54256	1	3	2	ready
55276	6	3	3	task
61211	8	3	4	interval
69286	6	4	1	rest
75252	1	4	2	ready
76292	6	4	3	task
82214	8	4	4	interval
90291	6	5	1	rest
96259	1	5	2	ready
97264	6	5	3	task
103212	8	5	4	interval
111289	6	6	1	rest
117258	1	6	2	ready
118270	6	6	3	task
124227	8	6	4	interval
132298	6	7	1	rest
138266	1	7	2	ready
139282	6	7	3	task
145220	8	7	4	interval
153299	6	8	1	rest
159259	1	8	2	ready
160267	6	8	3	task
166224	8	8	4	interval
174300	6	9	1	rest
180259	1	9	2	ready
181286	6	9	3	task
187223	8	9	4	interval
195301	6	10	1	rest
201271	1	10	2	ready
202284	6	10	3	task
208228	8	10	4	interval
216307	6	11	1	rest
222277	1	11	2	ready
223288	6	11	3	task
229232	8	11	4	interval
237311	6	12	1	rest
243276	1	12	2	ready
244282	6	12	3	task
250233	8	12	4	interval
258310	6	13	1	rest
264276	1	13	2	ready
265304	6	13	3	task
271241	8	13	4	interval
279315	6	14	1	rest
285278	1	14	2	ready
286309	6	14	3	task
292238	8	14	4	interval
300318	6	15	1	rest
306309	1	15	2	ready
307292	6	15	3	task
313240	8	15	4	interval
321326	6	16	1	rest
327308	1	16	2	ready
328294	6	16	3	task
334248	8	16	4	interval
342322	6	17	1	rest
348299	1	17	2	ready
349295	6	17	3	task
355252	8	17	4	interval
363328	6	18	1	rest
369290	1	18	2	ready
370313	6	18	3	task
376245	8	18	4	interval
384339	6	19	1	rest
390291	1	19	2	ready
391312	6	19	3	task
397246	8	19	4	interval
405332	6	20	1	rest
411293	1	20	2	ready
412312	6	20	3	task
418258	8	20	4	interval
