onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	2	51	per	con	mod	mod	mod	nt	cr	nh/0137_nh.bmp
7.92	0.72	2	1	1	125	mem	lib	low	low	low	tg	ht	wh/0010.bmp
8.64	0.72	3	1	1	23	per	con	mod	low	mod	tg	ht	wh/0567.bmp
9.36	0.72	4	1	2	100	mem	lib	mod	mod	mod	tg	ht	wh/0583.bmp
10.08	0.72	5	1	1	14	per	lib	mod	mod	mod	tg	ht	wh/0359.bmp
10.80	0.72	6	1	3	7	per	con	mod	mod	mod	tg	ht	wh/0806.bmp
11.52	0.72	7	1	2	102	mem	lib	mod	mod	mod	tg	ht	wh/0970.bmp
12.24	0.72	8	1	2	44	per	con	low	mod	low	tg	ms	wh/0765.bmp
12.96	0.72	9	1	1	67	mem	con	mod	mod	low	tg	ht	wh/0007.bmp
13.68	0.72	10	1	4	97	per	con	low	mod	low	tg	ms	wh/0509.bmp
14.40	0.72	11	2	2	102	mem	lib	mod	mod	mod	tg	ht	wh/0970.bmp
15.12	0.72	12	1	2	53	per	con	mod	mod	mod	tg	ht	wh/0925.bmp
15.84	0.72	13	1	4	7	per	lib	low	mod	low	nt	cr	nh/0454_nh.bmp
16.56	0.72	14	1	1	5	per	lib	mod	mod	mod	tg	ms	wh/0331.bmp
17.28	0.72	15	1	2	104	mem	lib	mod	mod	mod	nt	ht	nh/0104_nh.bmp
18.00	0.72	16	1	2	22	mem	con	mod	mod	mod	tg	ht	wh/1010.bmp
18.72	0.72	17	1	3	59	per	con	low	low	low	nt	fa	nh/0314_nh.bmp
19.44	0.72	18	1	3	45	mem	lib	mod	mod	low	tg	ht	wh/0643.bmp
20.16	0.72	19	1	1	122	mem	lib	low	low	low	nt	ms	nh/0783_nh.bmp
20.88	0.72	20	1	3	32	mem	con	low	low	low	tg	ht	wh/0500.bmp
21.60	0.72	21	1	1	64	mem	con	low	low	mod	tg	ht	wh/0858.bmp
22.32	0.72	22	1	3	15	per	con	mod	mod	mod	tg	ht	wh/0479.bmp
23.04	0.72	23	2	3	15	per	con	mod	mod	mod	tg	ht	wh/0479.bmp
23.76	0.72	24	1	4	111	per	con	low	mod	low	tg	ms	wh/0315.bmp
24.48	0.72	25	1	4	104	per	con	low	mod	low	nt	cr	nh/0410_nh.bmp
25.20	0.72	26	2	1	14	per	lib	mod	mod	mod	tg	ht	wh/0359.bmp
25.92	0.72	27	1	4	34	mem	lib	mod	mod	mod	nt	ht	nh/0039_nh.bmp
26.64	0.72	28	1	2	65	mem	lib	low	low	mod	tg	ht	wh/0555.bmp
27.36	0.72	29	1	1	126	mem	lib	low	low	low	nt	ms	nh/0327_nh.bmp
28.08	0.72	30	1	4	24	mem	con	mod	mod	low	nt	ht	nh/0291_nh.bmp
28.80	0.72	31	1	1	12	per	lib	mod	mod	mod	tg	ht	wh/0313.bmp
29.52	0.72	32	1	2	73	mem	lib	low	low	mod	tg	ms	wh/0502.bmp
30.24	0.72	33	1	1	47	per	lib	low	mod	low	tg	ht	wh/0672.bmp
30.96	0.72	34	1	4	12	per	lib	low	mod	low	nt	cr	nh/0703_nh.bmp
31.68	0.72	35	1	3	36	mem	lib	mod	mod	low	nt	ht	nh/0683_nh.bmp
32.40	0.72	36	1	3	87	mem	con	mod	mod	mod	nt	ht	nh/0705_nh.bmp
33.12	0.72	37	1	2	30	mem	con	mod	mod	mod	nt	ht	nh/0071_nh.bmp
33.84	0.72	38	2	2	22	mem	con	mod	mod	mod	tg	ht	wh/1010.bmp
34.56	0.72	39	1	2	68	mem	lib	low	low	mod	tg	ht	wh/0050.bmp
35.28	0.72	40	1	4	3	per	lib	low	mod	low	tg	ms	wh/1000.bmp
36.00	0.72	41	1	4	1	per	lib	low	mod	low	tg	ht	wh/0195.bmp
36.72	0.72	42	1	1	112	mem	lib	mod	mod	low	nt	ht	nh/0661_nh.bmp
37.44	0.72	43	1	1	9	per	lib	mod	mod	mod	nt	cr	nh/0562_nh.bmp
38.16	0.72	44	1	3	84	mem	con	mod	mod	mod	nt	ht	nh/0343_nh.bmp
38.88	0.72	45	1	3	48	mem	lib	mod	mod	low	nt	ht	nh/0976_nh.bmp
39.60	0.72	46	1	4	56	per	lib	mod	mod	mod	tg	ht	wh/0427.bmp
40.32	0.72	47	1	2	98	mem	lib	mod	mod	mod	nt	ht	nh/0761_nh.bmp
41.04	0.72	48	1	1	35	per	lib	low	mod	low	nt	fa	nh/0212_nh.bmp
41.76	0.72	49	1	1	13	per	lib	mod	mod	mod	nt	fa	nh/0333_nh.bmp
42.48	0.72	50	1	1	65	mem	con	mod	mod	low	tg	ms	wh/0791.bmp
43.20	0.72	51	1	1	30	per	con	mod	low	mod	nt	cr	nh/0630_nh.bmp
43.92	0.72	52	1	4	107	per	con	low	mod	low	tg	ht	wh/0575.bmp
