onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
221.04	0.72	298	2	8	53	per	con	low	mod	low	nt	fa	nh/0194_nh.bmp
221.76	0.72	299	2	8	102	mem	con	mod	mod	low	tg	ht	wh/0082.bmp
222.48	0.72	300	2	8	73	per	lib	low	mod	low	nt	cr	nh/0355_nh.bmp
223.20	0.72	301	3	5	66	mem	lib	mod	mod	low	tg	ht	wh/0489.bmp
223.92	0.72	302	1	7	24	per	lib	low	low	low	tg	ht	wh/0823.bmp
224.64	0.72	303	4	7	52	mem	con	mod	mod	mod	tg	ht	wh/0328.bmp
225.36	0.72	304	2	6	78	mem	con	mod	mod	low	nt	ht	nh/0613_nh.bmp
226.08	0.72	305	2	8	107	mem	con	mod	mod	low	nt	ms	nh/0934_nh.bmp
226.80	0.72	306	3	5	123	mem	con	mod	mod	mod	nt	ms	nh/0946_nh.bmp
227.52	0.72	307	2	7	12	per	lib	mod	mod	mod	nt	fa	nh/0199_nh.bmp
228.24	0.72	308	3	6	93	per	con	low	mod	low	nt	cr	nh/0760_nh.bmp
228.96	0.72	309	1	8	41	per	lib	mod	low	mod	tg	ht	wh/0718.bmp
229.68	0.72	310	3	8	61	per	con	low	mod	low	tg	ms	wh/0080.bmp
230.40	0.72	311	3	7	16	per	lib	mod	mod	mod	tg	ht	wh/0319.bmp
231.12	0.72	312	4	6	72	mem	con	mod	mod	low	tg	ht	wh/0079.bmp
231.84	0.72	313	4	5	73	mem	lib	mod	mod	low	nt	ht	nh/0577_nh.bmp
232.56	0.72	314	2	5	31	per	con	mod	mod	mod	nt	n/a	nh/0928_nh.bmp
233.28	0.72	315	3	7	67	mem	lib	mod	mod	mod	tg	ht	wh/0095.bmp
234.00	0.72	316	4	7	91	per	con	mod	mod	mod	nt	cr	nh/0714_nh.bmp
234.72	0.72	317	3	8	53	per	con	low	mod	low	nt	fa	nh/0194_nh.bmp
235.44	0.72	318	1	7	76	mem	lib	mod	mod	mod	nt	ht	nh/0396_nh.bmp
236.16	0.72	319	2	7	62	mem	con	mod	mod	mod	nt	ht	nh/0795_nh.bmp
236.88	0.72	320	2	7	68	mem	lib	mod	mod	mod	tg	ht	wh/0876.bmp
237.60	0.72	321	2	6	106	per	lib	mod	mod	mod	nt	fa	nh/0428_nh.bmp
238.32	0.72	322	2	7	77	mem	lib	mod	mod	mod	nt	ms	nh/0588_nh.bmp
239.04	0.72	323	3	7	68	mem	lib	mod	mod	mod	tg	ht	wh/0876.bmp
239.76	0.72	324	2	8	112	mem	con	mod	mod	low	tg	ms	wh/0964.bmp
240.48	0.72	325	2	6	81	per	con	low	mod	low	nt	cr	nh/0690_nh.bmp
241.20	0.72	326	3	6	65	mem	con	mod	mod	low	nt	ht	nh/0417_nh.bmp
241.92	0.72	327	3	7	75	mem	lib	mod	mod	mod	tg	ht	wh/0697.bmp
242.64	0.72	328	2	8	5	mem	lib	mod	mod	low	tg	ht	wh/0074.bmp
