onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
59.76	0.72	74	1	5	67	mem	lib	mod	mod	low	tg	ht	wh/0893.bmp
60.48	0.72	75	1	8	2	mem	lib	mod	mod	low	nt	ht	nh/0383_nh.bmp
61.20	0.72	76	2	6	71	mem	con	mod	mod	low	nt	ht	nh/0802_nh.bmp
61.92	0.72	77	3	5	32	per	con	mod	mod	mod	nt	cr	nh/0371_nh.bmp
62.64	0.72	78	1	7	79	mem	lib	mod	mod	mod	tg	ht	wh/0954.bmp
63.36	0.72	79	1	6	48	per	lib	low	mod	low	tg	ms	wh/0284.bmp
64.08	0.72	80	2	7	52	mem	con	mod	mod	mod	tg	ht	wh/0328.bmp
64.80	0.72	81	3	8	55	per	con	low	mod	low	tg	ms	wh/0940.bmp
65.52	0.72	82	1	6	120	mem	lib	low	low	low	nt	ht	nh/0930_nh.bmp
66.24	0.72	83	1	5	43	per	lib	mod	low	mod	nt	fa	nh/0787_nh.bmp
66.96	0.72	84	1	5	74	mem	lib	mod	mod	low	nt	ht	nh/0508_nh.bmp
67.68	0.72	85	1	7	94	per	con	mod	mod	mod	nt	cr	nh/0446_nh.bmp
68.40	0.72	86	3	6	91	per	con	low	mod	low	tg	ms	wh/0818.bmp
69.12	0.72	87	1	8	73	per	lib	low	mod	low	nt	cr	nh/0355_nh.bmp
69.84	0.72	88	1	8	99	mem	con	mod	mod	low	tg	ht	wh/0608.bmp
70.56	0.72	89	1	6	47	per	lib	low	mod	low	nt	fa	nh/0345_nh.bmp
71.28	0.72	90	1	8	56	per	con	low	mod	low	tg	ms	wh/0646.bmp
72.00	0.72	91	1	6	77	mem	con	mod	mod	low	tg	ht	wh/0336.bmp
72.72	0.72	92	1	7	115	mem	lib	low	low	mod	tg	ms	wh/0933.bmp
73.44	0.72	93	3	6	37	per	lib	low	mod	low	tg	ms	wh/0382.bmp
74.16	0.72	94	1	6	121	mem	lib	low	low	low	tg	ht	wh/0789.bmp
74.88	0.72	95	1	7	10	per	lib	mod	mod	mod	nt	cr	nh/0874_nh.bmp
75.60	0.72	96	1	6	86	per	con	low	mod	low	tg	ms	wh/0036.bmp
76.32	0.72	97	2	6	48	per	lib	low	mod	low	tg	ms	wh/0284.bmp
77.04	0.72	98	2	8	56	per	con	low	mod	low	tg	ms	wh/0646.bmp
77.76	0.72	99	1	7	26	per	lib	low	low	low	nt	cr	nh/0812_nh.bmp
78.48	0.72	100	1	6	81	per	con	low	mod	low	nt	cr	nh/0690_nh.bmp
79.20	0.72	101	2	6	83	per	con	low	mod	low	tg	ms	wh/0077.bmp
79.92	0.72	102	1	8	123	mem	lib	low	low	low	nt	ms	nh/0206_nh.bmp
80.64	0.72	103	1	7	80	mem	lib	mod	mod	mod	nt	ht	nh/0843_nh.bmp
81.36	0.72	104	2	8	80	per	lib	low	mod	low	tg	ms	wh/0256.bmp
82.08	0.72	105	3	6	71	mem	con	mod	mod	low	nt	ht	nh/0802_nh.bmp
82.80	0.72	106	1	7	41	per	con	low	low	low	tg	ht	wh/0881.bmp
83.52	0.72	107	1	7	67	mem	lib	mod	mod	mod	tg	ht	wh/0095.bmp
84.24	0.72	108	2	7	63	mem	con	mod	mod	mod	tg	ht	wh/0902.bmp
84.96	0.72	109	1	6	103	per	lib	mod	mod	mod	nt	cr	nh/0805_nh.bmp
85.68	0.72	110	2	6	53	mem	lib	mod	mod	mod	nt	ms	nh/0447_nh.bmp
86.40	0.72	111	1	8	102	mem	con	mod	mod	low	tg	ht	wh/0082.bmp
87.12	0.72	112	1	8	107	mem	con	mod	mod	low	nt	ms	nh/0934_nh.bmp
87.84	0.72	113	1	7	116	mem	lib	low	low	mod	tg	ht	wh/0281.bmp
88.56	0.72	114	2	5	119	mem	con	mod	mod	mod	tg	ms	wh/0558.bmp
89.28	0.72	115	3	8	62	per	con	low	mod	low	tg	ht	wh/0032.bmp
90.00	0.72	116	1	6	82	per	con	low	mod	low	tg	ms	wh/0232.bmp
90.72	0.72	117	3	6	44	per	lib	low	mod	low	nt	cr	nh/0510_nh.bmp
91.44	0.72	118	1	8	65	per	lib	low	mod	low	nt	fa	nh/0404_nh.bmp
92.16	0.72	119	4	8	62	per	con	low	mod	low	tg	ht	wh/0032.bmp
92.88	0.72	120	3	6	83	per	con	low	mod	low	tg	ms	wh/0077.bmp
93.60	0.72	121	1	6	46	per	lib	low	mod	low	nt	cr	nh/0134_nh.bmp
94.32	0.72	122	1	6	110	per	lib	mod	mod	mod	tg	ht	wh/0650.bmp
95.04	0.72	123	1	7	60	mem	con	mod	mod	mod	nt	ms	nh/0380_nh.bmp
95.76	0.72	124	1	8	106	mem	con	mod	mod	low	tg	ht	wh/0635.bmp
96.48	0.72	125	2	7	53	mem	con	mod	mod	mod	tg	ht	wh/0591.bmp
97.20	0.72	126	1	6	35	per	lib	low	mod	low	tg	ms	wh/0329.bmp
97.92	0.72	127	1	6	40	per	lib	low	mod	low	tg	ht	wh/0299.bmp
98.64	0.72	128	2	6	110	per	lib	mod	mod	mod	tg	ht	wh/0650.bmp
99.36	0.72	129	1	8	70	per	lib	low	mod	low	tg	ms	wh/0758.bmp
100.08	0.72	130	2	8	64	per	con	low	mod	low	nt	cr	nh/0660_nh.bmp
100.80	0.72	131	5	8	62	per	con	low	mod	low	tg	ht	wh/0032.bmp
101.52	0.72	132	1	5	11	mem	lib	low	low	mod	nt	ht	nh/0708_nh.bmp
102.24	0.72	133	2	7	94	per	con	mod	mod	mod	nt	cr	nh/0446_nh.bmp
102.96	0.72	134	1	6	93	per	con	low	mod	low	nt	cr	nh/0760_nh.bmp
103.68	0.72	135	2	8	70	per	lib	low	mod	low	tg	ms	wh/0758.bmp
104.40	0.72	136	1	8	53	per	con	low	mod	low	nt	fa	nh/0194_nh.bmp
105.12	0.72	137	2	6	72	mem	con	mod	mod	low	tg	ht	wh/0079.bmp
105.84	0.72	138	2	7	79	mem	lib	mod	mod	mod	tg	ht	wh/0954.bmp
106.56	0.72	139	1	8	77	per	lib	low	mod	low	nt	cr	nh/0730_nh.bmp
107.28	0.72	140	2	7	80	mem	lib	mod	mod	mod	nt	ht	nh/0843_nh.bmp
108.00	0.72	141	3	7	80	mem	lib	mod	mod	mod	nt	ht	nh/0843_nh.bmp
108.72	0.72	142	1	7	55	mem	con	mod	mod	mod	tg	ms	wh/0398.bmp
109.44	0.72	143	1	6	106	per	lib	mod	mod	mod	nt	fa	nh/0428_nh.bmp
110.16	0.72	144	1	8	104	mem	con	mod	mod	low	nt	ht	nh/1023_nh.bmp
110.88	0.72	145	1	6	90	per	con	low	mod	low	nt	cr	nh/0443_nh.bmp
111.60	0.72	146	1	8	112	mem	con	mod	mod	low	tg	ms	wh/0964.bmp
112.32	0.72	147	1	7	85	per	con	mod	mod	mod	tg	ht	wh/0542.bmp
113.04	0.72	148	2	7	60	mem	con	mod	mod	mod	nt	ms	nh/0380_nh.bmp
113.76	0.72	149	3	7	52	mem	con	mod	mod	mod	tg	ht	wh/0328.bmp
114.48	0.72	150	1	5	93	mem	con	low	low	low	nt	ms	nh/0215_nh.bmp
115.20	0.72	151	2	6	93	per	con	low	mod	low	nt	cr	nh/0760_nh.bmp
115.92	0.72	152	1	5	78	mem	lib	mod	mod	low	tg	ht	wh/0029.bmp
116.64	0.72	153	2	8	99	mem	con	mod	mod	low	tg	ht	wh/0608.bmp
117.36	0.72	154	1	5	102	per	lib	low	low	low	nt	fa	nh/0055_nh.bmp
118.08	0.72	155	1	6	38	per	lib	low	mod	low	nt	cr	nh/0338_nh.bmp
118.80	0.72	156	2	5	78	mem	lib	mod	mod	low	tg	ht	wh/0029.bmp
119.52	0.72	157	1	6	68	mem	con	mod	mod	low	tg	ht	wh/0451.bmp
120.24	0.72	158	4	8	7	mem	lib	mod	mod	low	nt	ht	nh/0238_nh.bmp
120.96	0.72	159	2	5	123	mem	con	mod	mod	mod	nt	ms	nh/0946_nh.bmp
121.68	0.72	160	2	6	38	per	lib	low	mod	low	nt	cr	nh/0338_nh.bmp
122.40	0.72	161	1	7	72	mem	lib	mod	mod	mod	nt	ht	nh/0497_nh.bmp
123.12	0.72	162	1	6	51	mem	lib	mod	mod	mod	tg	ht	wh/0462.bmp
123.84	0.72	163	4	8	55	per	con	low	mod	low	tg	ms	wh/0940.bmp
124.56	0.72	164	1	7	62	mem	con	mod	mod	mod	nt	ht	nh/0795_nh.bmp
125.28	0.72	165	1	7	103	mem	con	low	low	mod	tg	ht	wh/0626.bmp
126.00	0.72	166	2	6	68	mem	con	mod	mod	low	tg	ht	wh/0451.bmp
126.72	0.72	167	1	6	99	per	lib	mod	mod	mod	nt	fa	nh/0209_nh.bmp
127.44	0.72	168	1	7	113	mem	lib	low	low	mod	tg	ht	wh/0774.bmp
128.16	0.72	169	1	7	118	mem	lib	low	low	mod	nt	ht	nh/0846_nh.bmp
128.88	0.72	170	1	8	51	per	con	low	mod	low	nt	cr	nh/0035_nh.bmp
129.60	0.72	171	2	7	72	mem	lib	mod	mod	mod	nt	ht	nh/0497_nh.bmp
130.32	0.72	172	1	5	38	per	lib	mod	low	mod	tg	ht	wh/0581.bmp
131.04	0.72	173	3	6	38	per	lib	low	mod	low	nt	cr	nh/0338_nh.bmp
131.76	0.72	174	1	5	87	mem	con	low	low	low	tg	ht	wh/1007.bmp
132.48	0.72	175	1	5	19	per	con	mod	mod	mod	tg	ht	wh/0772.bmp
133.20	0.72	176	1	7	75	mem	lib	mod	mod	mod	tg	ht	wh/0697.bmp
133.92	0.72	177	4	6	91	per	con	low	mod	low	tg	ms	wh/0818.bmp
134.64	0.72	178	1	5	80	mem	lib	mod	mod	low	nt	ht	nh/0568_nh.bmp
135.36	0.72	179	3	8	99	mem	con	mod	mod	low	tg	ht	wh/0608.bmp
136.08	0.72	180	1	6	64	mem	lib	mod	mod	mod	tg	ht	wh/0947.bmp
136.80	0.72	181	1	7	6	per	lib	mod	mod	mod	nt	cr	nh/0222_nh.bmp
