onset	duration	trial_type	response_time	trial_number	response_error
16	4	baseline	1.028462	1	-14.1121305467721
20	4	baseline	0.819166	2	-6.35889052578983
24	4	baseline	0.939365	3	-19.4983832484678
28	4	baseline	0.821873	4	0.83798599885299
32	4	baseline	0.910292	5	-1.63910001118304
36	4	baseline	1.301882	6	14.6278891274149
40	4	baseline	0.911704	7	3.04848044424925
44	4	baseline	0.990515	8	-3.15695554757946
48	4	baseline	1.125001	9	9.28524631412913
52	4	baseline	0.942346	10	10.1239488708237
56	4	baseline	0.912852	11	9.43716610165915
60	4	baseline	0.990374	12	0.0382105582261682
64	4	baseline	0.89059	13	-5.82047795637852
68	4	baseline	0.711969	14	-11.0399618288556
72	4	baseline	0.876694	15	-51.3401917459099
76	4	baseline	0.936943	16	-2.89010032066211
80	4	baseline	0.858255	17	-1.74213212904246
84	4	baseline	0.850934	18	0.265965018518749
88	4	baseline	0.822465	19	-2.4422040504485
92	4	baseline	0.787606	20	-15.0207766611007
96	4	baseline	0.816808	21	-9.70372636186506
100	4	baseline	0.897653	22	8.02363731373277
104	4	baseline	0.771087	23	15.5513262406589
108	4	baseline	0.876392	24	-11.3697190507995
112	4	baseline	1.070468	25	-2.67520505786099
116	4	baseline	0.66593	26	0.36582778907258
120	4	baseline	0.649216	27	3.38985477158015
124	4	baseline	0.766879	28	-10.9967886733382
128	4	baseline	1.036939	29	8.62811651205324
132	4	baseline	0.80022	30	16.0471767112486
136	4	baseline	0.913744	31	8.01951130871213
140	4	baseline	0.863652	32	-3.96516864527494
144	4	baseline	1.311104	33	0.352085162700083
148	4	baseline	0.913823	34	-19.9776017291228
152	4	baseline	0.859034	35	5.26867044079675
156	4	baseline	1.049409	36	-8.72805903676477
160	4	baseline	0.974437	37	-7.98216353215466
164	4	baseline	0.995376	38	10.0118323618043
168	4	baseline	0.822283	39	-7.94415049739581
172	4	baseline	0.945985	40	20.3801281753363
176	4	baseline	0.876018	41	16.8561267848544
180	4	baseline	0.999012	42	-7.54848989748698
184	4	baseline	0.674191	43	-4.14337251722007
188	4	baseline	0.737825	44	-1.68017482074109
192	4	baseline	0.71243	45	-1.84326915894556
196	4	baseline	0.650501	46	21.4463619398456
200	4	baseline	0.660401	47	-25.5170672848051
204	4	baseline	0.656355	48	6.89567975432237
208	4	baseline	0.644418	49	1.42058908604976
212	4	baseline	0.59738	50	16.7598391375677
216	4	baseline	0.830342	51	-5.28136655275693
220	4	baseline	0.678878	52	-11.8254219582112
224	4	baseline	0.746737	53	-17.3956825884884
228	4	baseline	0.86485	54	-3.74896612477734
232	4	baseline	0.650636	55	-24.5014318290496
236	4	baseline	0.734996	56	7.77561809546958
240	4	baseline	0.632019	57	-1.1185637361222
244	4	baseline	0.958966	58	-5.19930688952291
248	4	baseline	0.647344	59	0.278678393500665
252	4	baseline	2.134047	60	12.2283071364538
256	4	baseline	1.098374	61	-16.4572791994938
260	4	baseline	0.624283	62	-13.6759312058865
264	4	baseline	0.689132	63	-3.08902081005894
268	4	baseline	0.727362	64	19.2428308330209
