onset	duration	stimulus	Var4
0	2	130	animal
8	2	122	animal
16	2	102	animal
24	2	228	tool
32	2	203	tool
40	2	126	animal
48	2	201	tool
56	2	105	animal
64	2	227	tool
72	2	106	animal
80	2	216	tool
88	2	204	tool
96	2	201	tool
104	2	228	tool
112	2	203	tool
120	2	227	tool
128	2	106	animal
136	2	126	animal
144	2	204	tool
152	2	102	animal
160	2	122	animal
168	2	216	tool
176	2	105	animal
184	2	130	animal
192	2	228	tool
200	2	204	tool
208	2	201	tool
216	2	106	animal
224	2	227	tool
232	2	130	animal
240	2	126	animal
248	2	122	animal
256	2	203	tool
264	2	102	animal
272	2	105	animal
280	2	216	tool
