onset	duration	stimulus	Var4
0	2	115	animal
10	2	116	animal
20	2	229	tool
30	2	125	animal
40	2	101	animal
50	2	230	tool
60	2	207	tool
70	2	113	animal
80	2	217	tool
90	2	202	tool
100	2	208	tool
110	2	118	animal
120	2	230	tool
130	2	113	animal
140	2	118	animal
150	2	207	tool
160	2	115	animal
170	2	208	tool
180	2	101	animal
190	2	125	animal
200	2	116	animal
210	2	229	tool
220	2	202	tool
230	2	217	tool
