onset	duration	stimulus	Var4
0	2	128	animal
6	2	209	tool
12	2	121	animal
18	2	127	animal
24	2	214	tool
30	2	226	tool
36	2	219	tool
42	2	114	animal
48	2	119	animal
54	2	205	tool
60	2	218	tool
66	2	103	animal
72	2	226	tool
78	2	114	animal
84	2	128	animal
90	2	103	animal
96	2	214	tool
102	2	127	animal
108	2	218	tool
114	2	121	animal
120	2	219	tool
126	2	119	animal
132	2	205	tool
138	2	209	tool
144	2	103	animal
150	2	209	tool
156	2	121	animal
162	2	214	tool
168	2	119	animal
174	2	226	tool
180	2	127	animal
186	2	128	animal
192	2	218	tool
198	2	219	tool
204	2	205	tool
210	2	114	animal
216	2	205	tool
222	2	127	animal
228	2	128	animal
234	2	209	tool
240	2	103	animal
246	2	219	tool
252	2	114	animal
258	2	226	tool
264	2	119	animal
270	2	214	tool
276	2	121	animal
282	2	218	tool
