onset	duration	stimulus	Var4
0	2	105	animal
8	2	227	tool
16	2	122	animal
24	2	228	tool
32	2	203	tool
40	2	201	tool
48	2	216	tool
56	2	102	animal
64	2	126	animal
72	2	106	animal
80	2	204	tool
88	2	130	animal
96	2	106	animal
104	2	126	animal
112	2	227	tool
120	2	228	tool
128	2	204	tool
136	2	105	animal
144	2	130	animal
152	2	201	tool
160	2	122	animal
168	2	216	tool
176	2	203	tool
184	2	102	animal
192	2	227	tool
200	2	204	tool
208	2	105	animal
216	2	216	tool
224	2	106	animal
232	2	122	animal
240	2	126	animal
248	2	130	animal
256	2	201	tool
264	2	228	tool
272	2	102	animal
280	2	203	tool
