onset	duration	stimulus	Var4
0	2	113	animal
10	2	118	animal
20	2	229	tool
30	2	116	animal
40	2	230	tool
50	2	101	animal
60	2	125	animal
70	2	115	animal
80	2	202	tool
90	2	208	tool
100	2	217	tool
110	2	207	tool
120	2	115	animal
130	2	101	animal
140	2	230	tool
150	2	113	animal
160	2	217	tool
170	2	125	animal
180	2	208	tool
190	2	207	tool
200	2	229	tool
210	2	116	animal
220	2	118	animal
230	2	202	tool
