onset	duration	stimulus	Var4
4	2	206	tool
8	2	124	animal
16	2	222	tool
20	2	107	animal
24	2	117	animal
36	2	111	animal
40	2	108	animal
44	2	224	tool
48	2	109	animal
52	2	210	tool
56	2	221	tool
64	2	213	tool
76	2	224	tool
80	2	124	animal
84	2	221	tool
92	2	222	tool
96	2	109	animal
108	2	111	animal
112	2	117	animal
116	2	108	animal
120	2	206	tool
124	2	107	animal
128	2	210	tool
132	2	213	tool
148	2	206	tool
152	2	124	animal
156	2	222	tool
164	2	117	animal
168	2	224	tool
176	2	210	tool
184	2	109	animal
188	2	221	tool
192	2	213	tool
200	2	108	animal
204	2	111	animal
208	2	107	animal
224	2	210	tool
232	2	108	animal
236	2	224	tool
244	2	206	tool
248	2	117	animal
252	2	124	animal
256	2	222	tool
260	2	213	tool
264	2	111	animal
268	2	107	animal
276	2	221	tool
280	2	109	animal
