onset	duration	stimulus	Var4
0	2	120	animal
12	2	129	animal
24	2	104	animal
36	2	215	tool
48	2	110	animal
60	2	112	animal
72	2	220	tool
84	2	123	animal
96	2	211	tool
108	2	225	tool
120	2	212	tool
132	2	223	tool
144	2	120	animal
156	2	110	animal
168	2	129	animal
180	2	123	animal
192	2	215	tool
204	2	212	tool
216	2	104	animal
228	2	112	animal
240	2	225	tool
252	2	220	tool
264	2	223	tool
276	2	211	tool
