onset	duration	stimulus	Var4
0	2	226	tool
6	2	103	animal
12	2	114	animal
18	2	128	animal
24	2	119	animal
30	2	121	animal
36	2	127	animal
42	2	209	tool
48	2	218	tool
54	2	214	tool
60	2	205	tool
66	2	219	tool
72	2	119	animal
78	2	214	tool
84	2	226	tool
90	2	127	animal
96	2	209	tool
102	2	114	animal
108	2	219	tool
114	2	121	animal
120	2	128	animal
126	2	103	animal
132	2	205	tool
138	2	218	tool
144	2	128	animal
150	2	119	animal
156	2	214	tool
162	2	103	animal
168	2	205	tool
174	2	226	tool
180	2	127	animal
186	2	219	tool
192	2	114	animal
198	2	121	animal
204	2	218	tool
210	2	209	tool
216	2	219	tool
222	2	103	animal
228	2	218	tool
234	2	128	animal
240	2	209	tool
246	2	127	animal
252	2	205	tool
258	2	119	animal
264	2	214	tool
270	2	226	tool
276	2	114	animal
282	2	121	animal
