onset	duration	stimulus	Var4
4	2	111	animal
8	2	213	tool
12	2	210	tool
20	2	224	tool
28	2	109	animal
32	2	107	animal
36	2	124	animal
44	2	206	tool
48	2	117	animal
52	2	221	tool
60	2	108	animal
64	2	222	tool
76	2	124	animal
84	2	107	animal
88	2	117	animal
96	2	206	tool
100	2	222	tool
108	2	224	tool
112	2	213	tool
120	2	210	tool
124	2	108	animal
128	2	111	animal
132	2	109	animal
136	2	221	tool
152	2	221	tool
156	2	108	animal
160	2	107	animal
168	2	117	animal
172	2	222	tool
176	2	210	tool
180	2	124	animal
184	2	213	tool
196	2	224	tool
200	2	206	tool
204	2	111	animal
208	2	109	animal
220	2	107	animal
224	2	224	tool
228	2	222	tool
232	2	109	animal
236	2	124	animal
244	2	117	animal
248	2	111	animal
252	2	108	animal
260	2	210	tool
264	2	221	tool
268	2	213	tool
272	2	206	tool
