onset	duration	stimulus	Var4
0	2	211	tool
12	2	110	animal
24	2	212	tool
36	2	123	animal
48	2	104	animal
60	2	120	animal
72	2	112	animal
84	2	223	tool
96	2	220	tool
108	2	215	tool
120	2	129	animal
132	2	225	tool
144	2	220	tool
156	2	211	tool
168	2	223	tool
180	2	112	animal
192	2	120	animal
204	2	104	animal
216	2	110	animal
228	2	123	animal
240	2	215	tool
252	2	129	animal
264	2	212	tool
276	2	225	tool
