onset	duration	sub_id	trial_type	smid_id
7.925130899999885	2.1768498000003547	sub-02	cross	b999_p489_4
10.10198070000024	7.205972300000212	sub-02	stimulus	b999_p489_4
17.307953000000452	4.326792019999857	sub-02	decision	b999_p489_4
21.636602700000367	2.174321799999916	sub-02	cross	b4_p58_10
23.810924500000283	7.213833699999895	sub-02	stimulus	b4_p58_10
31.02475820000018	4.320031820000168	sub-02	decision	b4_p58_10
35.34636850000061	2.166019499999493	sub-02	cross	b15_p379_18
37.5123880000001	7.210781900000256	sub-02	stimulus	b15_p379_18
44.72316990000036	4.327310220000527	sub-02	decision	b15_p379_18
49.05238090000057	2.1720204000002923	sub-02	cross	b999_p490_14
51.224401300000864	7.207868399999825	sub-02	stimulus	b999_p490_14
58.43226970000069	4.32304041999987	sub-02	decision	b999_p490_14
62.76058120000016	2.173377800000708	sub-02	cross	b15_p303_2
64.93395900000087	7.208239499999763	sub-02	stimulus	b15_p303_2
72.14219850000063	4.329745519999278	sub-02	decision	b15_p303_2
76.47719400000005	2.175871300000381	sub-02	cross	b15_p313_1
78.65306530000043	7.205789200000026	sub-02	stimulus	b15_p313_1
85.85885450000046	4.319092719999844	sub-02	decision	b15_p313_1
90.18043580000084	2.1737384000000475	sub-02	cross	b2_p23_14
92.3541742000009	7.212139199999456	sub-02	stimulus	b2_p23_14
99.56631340000035	4.32263581999996	sub-02	decision	b2_p23_14
103.8928752000004	2.173772800000052	sub-02	cross	b4_p52_14
106.06664800000044	7.209288000000015	sub-02	stimulus	b4_p52_14
113.27593600000046	4.329915020000044	sub-02	decision	b4_p52_14
117.60965220000072	2.1760686999996324	sub-02	cross	b15_p476_17
119.78572090000034	7.20708250000007	sub-02	stimulus	b15_p476_17
126.9928034000004	4.325363619999962	sub-02	decision	b15_p476_17
131.31996540000046	2.1741694999998344	sub-02	cross	b11_p160_2
133.4941349000003	7.2057863	sub-02	stimulus	b11_p160_2
140.6999212000003	4.322932420000598	sub-02	decision	b11_p160_2
145.0279662000005	2.1732275000003938	sub-02	cross	b9_p121_9
147.20119370000089	7.208514199999399	sub-02	stimulus	b9_p121_9
154.40970790000029	4.329954920000546	sub-02	decision	b9_p121_9
158.7435579000005	2.170050100000253	sub-02	cross	b2_p28_19
160.91360800000075	7.213136899999654	sub-02	stimulus	b2_p28_19
168.1267449000004	4.325391820000277	sub-02	decision	b2_p28_19
172.45391440000049	2.172018600000001	sub-02	cross	b14_p289_1
174.6259330000005	7.207950399999845	sub-02	stimulus	b14_p289_1
181.8338834000004	4.322852320000038	sub-02	decision	b14_p289_1
186.1619499000008	2.165316300000086	sub-02	cross	b8_p112_19
188.32726620000085	7.206568499999548	sub-02	stimulus	b8_p112_19
195.5338347000004	4.323057320000089	sub-02	decision	b8_p112_19
199.8615561000004	2.177383200000122	sub-02	cross	b14_p252_15
202.0389393000005	7.211941899999829	sub-02	stimulus	b14_p252_15
209.25088120000032	4.328633520000039	sub-02	decision	b14_p252_15
213.5819415000003	2.170569100000193	sub-02	cross	b15_p415_6
215.7525106000005	7.208165799999961	sub-02	stimulus	b15_p415_6
222.96067640000047	4.319005520000246	sub-02	decision	b15_p415_6
227.2821874000004	2.17201810000006	sub-02	cross	b14_p282_1
229.4542055000004	7.206598400000075	sub-02	stimulus	b14_p282_1
236.66080390000047	4.3194728199998735	sub-02	decision	b14_p282_1
240.9823390000004	2.165645800000448	sub-02	cross	b999_p492_7
243.1479848000008	7.213234699999475	sub-02	stimulus	b999_p492_7
250.3612195000003	4.319765920000009	sub-02	decision	b999_p492_7
254.6829628000005	2.16982209999992	sub-02	cross	b11_p160_11
256.8527849000004	7.208462099999906	sub-02	stimulus	b11_p160_11
264.0612470000003	4.329808820000153	sub-02	decision	b11_p160_11
268.39488650000044	2.17251710000005	sub-02	cross	b13_p220_14
270.5674036000005	7.210685899999817	sub-02	stimulus	b13_p220_14
277.7780895000003	4.326214120000032	sub-02	decision	b13_p220_14
282.1060107000003	2.172060900000588	sub-02	cross	b11_p178_5
284.2780716000009	7.206988399999545	sub-02	stimulus	b11_p178_5
291.48506000000043	4.323055520000025	sub-02	decision	b11_p178_5
295.8131202000004	2.1737602999999126	sub-02	cross	b14_p260_18
297.9868805000003	7.208312300000443	sub-02	stimulus	b14_p260_18
305.1951928000008	4.325329019999572	sub-02	decision	b14_p260_18
309.5223939000009	2.1747871999994004	sub-02	cross	b13_p241_9
311.6971811000003	7.21449930000017	sub-02	stimulus	b13_p241_9
318.9116804000005	4.325710720000416	sub-02	decision	b13_p241_9
323.2392149000009	2.176144899999372	sub-02	cross	b13_p224_12
325.41535980000026	7.213217800000166	sub-02	stimulus	b13_p224_12
332.6285776000004	4.319239020000168	sub-02	decision	b13_p224_12
336.9503173000003	2.174846800000523	sub-02	cross	b2_p17_16
339.1251641000008	7.210656499999459	sub-02	stimulus	b2_p17_16
346.33582060000026	4.328826320000644	sub-02	decision	b2_p17_16
350.6671118000004	2.170634799999789	sub-02	cross	b15_p355_4
352.8377466000002	7.208182500000476	sub-02	stimulus	b15_p355_4
360.04592910000065	4.325205419999747	sub-02	decision	b15_p355_4
364.3729325000004	2.1767532000003484	sub-02	cross	b14_p263_18
366.5496857000008	7.212892099999863	sub-02	stimulus	b14_p263_18
373.7625778000006	4.3190697199997885	sub-02	decision	b14_p263_18
378.0841133000004	2.172403600000507	sub-02	cross	b15_p293_5
380.25651690000086	7.206373899999562	sub-02	stimulus	b15_p293_5
387.4628908000004	4.329771719999826	sub-02	decision	b15_p293_5
391.79786760000025	2.169639300000199	sub-02	cross	b2_p19_14
393.9675069000005	7.212006700000074	sub-02	stimulus	b2_p19_14
401.1795136000005	4.325279319999936	sub-02	decision	b2_p19_14
405.5068274000005	2.172648499999923	sub-02	cross	b15_p328_19
407.6794759000004	7.207228100000066	sub-02	stimulus	b15_p328_19
414.88670400000046	4.323027720000027	sub-02	decision	b15_p328_19
