onset	duration	value	sample	trial_type	stim_file
8.037	1	1	8037	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
9.037	1	1	9037	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
10.037	1	1	10037	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
11.038	1	1	11038	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
12.038	1	1	12038	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
13.039	1	1	13039	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
14.039	1	1	14039	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
15.04	1	1	15040	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
16.04	1	1	16040	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
17.041	1	1	17041	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
18.041	1	1	18041	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
19.042	1	1	19042	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
20.042	1	1	20042	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
21.043	1	1	21043	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
22.043	1	1	22043	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
23.044	1	1	23044	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
24.044	1	1	24044	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
25.045	1	1	25045	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
26.045	1	1	26045	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
27.046	1	1	27046	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
28.046	1	1	28046	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
29.047	1	1	29047	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
30.047	1	1	30047	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
31.048	1	1	31048	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
32.048	1	1	32048	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
33.049	1	1	33049	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
34.049	1	1	34049	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
35.05	1	1	35050	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
36.05	1	1	36050	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
37.05	1	1	37050	audiobook 1s	audiobooks/pilot/task-audiobook1_run-02_stim.wav
