onset	duration	value	sample	trial_type	stim_file
33.259	1	1	33259	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
34.26	1	1	34260	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
35.26	1	1	35260	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
36.261	1	1	36261	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
37.261	1	1	37261	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
38.262	1	1	38262	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
39.262	1	1	39262	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
40.263	1	1	40263	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
41.263	1	1	41263	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
42.264	1	1	42264	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
43.264	1	1	43264	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
44.265	1	1	44265	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
45.265	1	1	45265	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
46.266	1	1	46266	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
47.266	1	1	47266	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
48.267	1	1	48267	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
49.267	1	1	49267	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
50.267	1	1	50267	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
51.268	1	1	51268	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
52.268	1	1	52268	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
53.269	1	1	53269	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
54.269	1	1	54269	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
55.27	1	1	55270	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
56.27	1	1	56270	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
57.271	1	1	57271	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
58.271	1	1	58271	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
59.272	1	1	59272	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
60.272	1	1	60272	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
61.273	1	1	61273	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
62.273	1	1	62273	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
63.274	1	1	63274	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
64.274	1	1	64274	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
65.275	1	1	65275	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
66.275	1	1	66275	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
67.276	1	1	67276	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
68.276	1	1	68276	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
69.277	1	1	69277	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
70.277	1	1	70277	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
71.278	1	1	71278	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
72.278	1	1	72278	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
73.279	1	1	73279	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
74.279	1	1	74279	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
75.28	1	1	75280	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
76.28	1	1	76280	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
77.281	1	1	77281	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
78.281	1	1	78281	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
79.282	1	1	79282	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
80.282	1	1	80282	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
81.283	1	1	81283	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
82.283	1	1	82283	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
83.283	1	1	83283	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
84.284	1	1	84284	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
85.284	1	1	85284	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
86.285	1	1	86285	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
87.285	1	1	87285	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
88.286	1	1	88286	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
89.286	1	1	89286	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
90.287	1	1	90287	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
91.287	1	1	91287	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
92.288	1	1	92288	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
93.288	1	1	93288	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
94.289	1	1	94289	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
95.289	1	1	95289	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
96.29	1	1	96290	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
97.29	1	1	97290	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
98.291	1	1	98291	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
99.291	1	1	99291	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
100.292	1	1	100292	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
101.292	1	1	101292	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
102.293	1	1	102293	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
103.293	1	1	103293	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
104.294	1	1	104294	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
105.294	1	1	105294	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
106.295	1	1	106295	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
107.295	1	1	107295	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
108.296	1	1	108296	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
109.296	1	1	109296	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
110.297	1	1	110297	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
111.297	1	1	111297	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
112.298	1	1	112298	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
113.298	1	1	113298	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
114.299	1	1	114299	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
115.299	1	1	115299	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
116.3	1	1	116300	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
117.3	1	1	117300	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
118.3	1	1	118300	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
119.301	1	1	119301	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
120.301	1	1	120301	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
121.302	1	1	121302	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
122.302	1	1	122302	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
123.303	1	1	123303	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
124.303	1	1	124303	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
125.304	1	1	125304	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
126.304	1	1	126304	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
127.305	1	1	127305	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
128.305	1	1	128305	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
129.306	1	1	129306	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
130.306	1	1	130306	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
131.307	1	1	131307	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
132.307	1	1	132307	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
133.308	1	1	133308	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
134.308	1	1	134308	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
135.309	1	1	135309	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
136.309	1	1	136309	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
137.31	1	1	137310	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
138.31	1	1	138310	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
139.311	1	1	139311	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
140.311	1	1	140311	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
141.312	1	1	141312	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
142.312	1	1	142312	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
143.313	1	1	143313	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
144.313	1	1	144313	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
145.314	1	1	145314	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
146.314	1	1	146314	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
147.315	1	1	147315	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
148.315	1	1	148315	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
149.316	1	1	149316	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
150.316	1	1	150316	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
151.316	1	1	151316	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
152.317	1	1	152317	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
153.317	1	1	153317	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
154.318	1	1	154318	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
155.318	1	1	155318	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
156.319	1	1	156319	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
157.319	1	1	157319	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
158.32	1	1	158320	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
159.32	1	1	159320	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
160.321	1	1	160321	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
161.321	1	1	161321	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
162.322	1	1	162322	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
163.322	1	1	163322	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
164.323	1	1	164323	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
165.323	1	1	165323	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
166.324	1	1	166324	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
167.324	1	1	167324	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
168.325	1	1	168325	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
169.325	1	1	169325	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
170.326	1	1	170326	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
171.326	1	1	171326	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
172.327	1	1	172327	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
173.327	1	1	173327	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
174.328	1	1	174328	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
