onset	duration	trial_type	condition	response_time	error_flag
0.1620949999196455	1.050154000055045	0.0	000000037779.jpg	0.0	
3.779121999978088	1.0500100000062955	0.0	000000008053.jpg	0.0	
7.479243999929167	1.066638000076637	0.0	cluster_00011_000000231362.jpg	0.0	
11.01267999992706	1.0500280000269413	0.0	000000431764.jpg	0.0	
15.029490999993868	1.0666639999253675	0.0	000000251818.jpg	0.0	
18.94629999995232	1.0666340000461787	0.0	000000547367.jpg	0.0	
22.962807999923825	1.0502950000809506	0.0	000000058407.jpg	0.0	
26.679876999929547	1.0498260000022128	0.0	000000227843.jpg	0.0	
30.69633900001645	1.0501180000137538	0.0	000000264244.jpg	0.0	
34.430128999985754	1.0500100000062955	0.0	000000545950.jpg	0.0	
38.54661499999929	1.0503869999665767	0.0	000000243839.jpg	0.0	
41.98037200002	1.0499569999519736	0.0	000000239828.jpg	0.0	
45.61361899995245	1.050264999968931	1.0	blank	0.426664	
49.14726499991957	1.0497360000154004	0.0	000000237697.jpg	0.0	
52.76374500000384	1.0503089999547228	0.0	000000369171.jpg	0.0	
56.79753400001209	1.066655999980867	0.0	cluster_00004_000000016980.jpg	0.0	
60.21432099991944	1.0495380000211298	0.0	000000299307.jpg	0.0	
64.01443600002676	1.0500019999453798	0.0	000000164502.jpg	0.0	
67.83123599993996	1.0500260000117123	0.0	000000344729.jpg	0.0	
71.24800799996592	1.0500920000486076	0.0	000000492037.jpg	0.0	
74.46477999992203	1.050057000014931	0.0	000000364806.jpg	0.0	
78.49824400001671	1.0500519999768585	1.0	blank	0.574251	
81.93168899999	1.0500049999682233	0.0	000000081365.jpg	0.0	
85.8485080000246	1.0498339999467134	0.0	000000159680.jpg	0.0	
90.0652949999785	1.0499459999846297	0.0	000000017935.jpg	0.0	
93.86543399991932	1.049854000099003	0.0	000000404262.jpg	0.0	
97.99889499996787	1.050076000043191	0.0	cluster_00012_000000021222.jpg	0.0	
101.29901199997404	1.0666740000015125	0.0	000000471755.jpg	0.0	
105.14886499999557	1.0502959999721495	0.0	000000115967.jpg	0.0	
108.56591300002763	1.050052999984473	0.0	000000458178.jpg	0.0	
112.0823809999274	1.050171000068076	0.0	000000064681.jpg	0.0	
115.59926799999084	1.050262999953702	0.0	000000474545.jpg	0.0	
119.61627499992028	1.0666580001125112	0.0	000000396793.jpg	0.0	
123.74975199997424	1.0666369999526069	0.0	000000067961.jpg	0.0	
127.36618399992584	1.05035300005693	0.0	000000055514.jpg	0.0	
130.98330600000918	1.049964000005275	0.0	000000069480.jpg	0.0	
134.61676699994132	1.0666150000179186	0.0	000000225054.jpg	0.0	
