onset	duration	trial_type	value
120.0	5.0	ElectricalVAS7	1.0
150.0	5.0	ElectricalVAS3	1.0
180.0	5.0	ElectricalVAS7	1.0
210.0	5.0	ElectricalVAS7	1.0
240.0	5.0	ElectricalVAS3	1.0
270.0	5.0	ElectricalVAS3	1.0
30.0	5.0	ElectricalVAS3	1.0
300.0	5.0	ElectricalVAS3	1.0
330.0	5.0	ElectricalVAS7	1.0
360.0	5.0	ElectricalVAS7	1.0
60.0	5.0	ElectricalVAS3	1.0
90.0	5.0	ElectricalVAS7	1.0
