onset	duration	value	sample	trial_idx	val	del	is_cued	rev_opts	del_pres_displaytime	del_pres_triggertime	del_pres_triggercode	val_pres_displaytime	val_pres_triggertime	val_pres_triggercode	choice_displaytime	choice_triggertime	choice_triggercode	choice	choice_time	viv_displaytime	viv_triggertime	viv_triggercode	viv	viv_time
47.9677734375	0.0	80	98238	1	97	906	1	0	721966.3789285	721966.3802768	80	721969.5810406	721969.5819318	40	721972.7107324	721972.711613	100	imm	721976.5782287	721977.0920257	721977.0925657	120.0	3.0	721980.5068289
51.169921875	0.0	40	104796	1	97	906	1	0	721966.3789285	721966.3802768	80	721969.5810406	721969.5819318	40	721972.7107324	721972.711613	100	imm	721976.5782287	721977.0920257	721977.0925657	120.0	3.0	721980.5068289
54.29931640625	0.0	100	111205	1	97	906	1	0	721966.3789285	721966.3802768	80	721969.5810406	721969.5819318	40	721972.7107324	721972.711613	100	imm	721976.5782287	721977.0920257	721977.0925657	120.0	3.0	721980.5068289
58.6806640625	0.0	120	120178	1	97	906	1	0	721966.3789285	721966.3802768	80	721969.5810406	721969.5819318	40	721972.7107324	721972.711613	100	imm	721976.5782287	721977.0920257	721977.0925657	120.0	3.0	721980.5068289
64.3583984375	0.0	80	131806	2	83	560	0	1	721982.7695743	721982.7702072	80	721985.9484011	721985.9491921	40	721989.4391671	721989.4399345	100	imm	721991.5062557	nan	nan	nan	nan	nan
67.53662109375	0.0	40	138315	2	83	560	0	1	721982.7695743	721982.7702072	80	721985.9484011	721985.9491921	40	721989.4391671	721989.4399345	100	imm	721991.5062557	nan	nan	nan	nan	nan
71.02734375	0.0	100	145464	2	83	560	0	1	721982.7695743	721982.7702072	80	721985.9484011	721985.9491921	40	721989.4391671	721989.4399345	100	imm	721991.5062557	nan	nan	nan	nan	nan
76.078125	0.0	80	155808	3	53	250	0	0	721994.4895543	721994.4901748	80	721997.5246204	721997.5253484	40	722000.9080485	722000.9087563	100	imm	722001.8117727	nan	nan	nan	nan	nan
79.11279296875	0.0	40	162023	3	53	250	0	0	721994.4895543	721994.4901748	80	721997.5246204	721997.5253484	40	722000.9080485	722000.9087563	100	imm	722001.8117727	nan	nan	nan	nan	nan
82.49658203125	0.0	100	168953	3	53	250	0	0	721994.4895543	721994.4901748	80	721997.5246204	721997.5253484	40	722000.9080485	722000.9087563	100	imm	722001.8117727	nan	nan	nan	nan	nan
86.0537109375	0.0	80	176238	4	63	340	1	1	722004.4659191	722004.4666798	80	722007.6863781	722007.6870231	40	722010.9748072	722010.9755079	100	imm	722012.4182024	722012.9310481	722012.9317045	120.0	2.0	722015.4903078
89.2744140625	0.0	40	182834	4	63	340	1	1	722004.4659191	722004.4666798	80	722007.6863781	722007.6870231	40	722010.9748072	722010.9755079	100	imm	722012.4182024	722012.9310481	722012.9317045	120.0	2.0	722015.4903078
92.56298828125	0.0	100	189569	4	63	340	1	1	722004.4659191	722004.4666798	80	722007.6863781	722007.6870231	40	722010.9748072	722010.9755079	100	imm	722012.4182024	722012.9310481	722012.9317045	120.0	2.0	722015.4903078
94.51904296875	0.0	120	193575	4	63	340	1	1	722004.4659191	722004.4666798	80	722007.6863781	722007.6870231	40	722010.9748072	722010.9755079	100	imm	722012.4182024	722012.9310481	722012.9317045	120.0	2.0	722015.4903078
