onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
412.7519531	0.0002	electrical_stimulation	n/a	n/a	845316	n/a	biphasic	RMG1-RMG2	161-162	6.0 mA	n/a	good	n/a
417.7363281	0.0002	electrical_stimulation	n/a	n/a	855524	n/a	biphasic	RMG1-RMG2	161-162	6.0 mA	n/a	good	n/a
422.3813477	0.0002	electrical_stimulation	n/a	n/a	865037	n/a	biphasic	RMG1-RMG2	161-162	6.0 mA	n/a	good	n/a
427.0629883	0.0002	electrical_stimulation	n/a	n/a	874625	n/a	biphasic	RMG1-RMG2	161-162	6.0 mA	n/a	good	n/a
432.9746094	0.0002	electrical_stimulation	n/a	n/a	886732	n/a	biphasic	RMG1-RMG2	161-162	6.0 mA	n/a	good	n/a
437.1035156	0.0002	electrical_stimulation	n/a	n/a	895188	n/a	biphasic	RMG1-RMG2	161-162	6.0 mA	n/a	good	n/a
440.6796875	0.0002	electrical_stimulation	n/a	n/a	902512	n/a	biphasic	RMG1-RMG2	161-162	6.0 mA	n/a	good	n/a
445.6118164	0.0002	electrical_stimulation	n/a	n/a	912613	n/a	biphasic	RMG1-RMG2	161-162	6.0 mA	n/a	bad	n/a
449.7822266	0.0002	electrical_stimulation	n/a	n/a	921154	n/a	biphasic	RMG1-RMG2	161-162	6.0 mA	n/a	good	n/a
453.8955078	0.0002	electrical_stimulation	n/a	n/a	929578	n/a	biphasic	RMG1-RMG2	161-162	6.0 mA	n/a	good	artifact fixed when referencing to RN5
460.8344727	0.0002	electrical_stimulation	n/a	n/a	943789	n/a	biphasic	RMG1-RMG2	161-162	6.0 mA	n/a	good	n/a
511.6967773	0.0002	electrical_stimulation	n/a	n/a	1047955	n/a	biphasic	RMG5-RMG6	165-166	6.0 mA	n/a	good	n/a
515.168457	0.0002	electrical_stimulation	n/a	n/a	1055065	n/a	biphasic	RMG5-RMG6	165-166	6.0 mA	n/a	good	n/a
518.8500977	0.0002	electrical_stimulation	n/a	n/a	1062605	n/a	biphasic	RMG5-RMG6	165-166	6.0 mA	n/a	good	n/a
522.7172852	0.0002	electrical_stimulation	n/a	n/a	1070525	n/a	biphasic	RMG5-RMG6	165-166	6.0 mA	n/a	good	n/a
526.8149414	0.0002	electrical_stimulation	n/a	n/a	1078917	n/a	biphasic	RMG5-RMG6	165-166	6.0 mA	n/a	good	n/a
530.3808594	0.0002	electrical_stimulation	n/a	n/a	1086220	n/a	biphasic	RMG5-RMG6	165-166	6.0 mA	n/a	good	n/a
534.0253906	0.0002	electrical_stimulation	n/a	n/a	1093684	n/a	biphasic	RMG5-RMG6	165-166	6.0 mA	n/a	good	n/a
537.3930664	0.0002	electrical_stimulation	n/a	n/a	1100581	n/a	biphasic	RMG5-RMG6	165-166	6.0 mA	n/a	bad	artifact
541.2456055	0.0002	electrical_stimulation	n/a	n/a	1108471	n/a	biphasic	RMG5-RMG6	165-166	6.0 mA	n/a	good	n/a
546.7666016	0.0002	electrical_stimulation	n/a	n/a	1119778	n/a	biphasic	RMG5-RMG6	165-166	6.0 mA	n/a	good	n/a
616.1386719	0.0002	electrical_stimulation	n/a	n/a	1261852	n/a	biphasic	RMG6-RMG7	166-167	6.0 mA	n/a	good	n/a
620.1186523	0.0002	electrical_stimulation	n/a	n/a	1270003	n/a	biphasic	RMG6-RMG7	166-167	6.0 mA	n/a	good	n/a
624.0078125	0.0002	electrical_stimulation	n/a	n/a	1277968	n/a	biphasic	RMG6-RMG7	166-167	6.0 mA	n/a	good	n/a
627.5527344	0.0002	electrical_stimulation	n/a	n/a	1285228	n/a	biphasic	RMG6-RMG7	166-167	6.0 mA	n/a	good	n/a
630.2011719	0.0002	electrical_stimulation	n/a	n/a	1290652	n/a	biphasic	RMG6-RMG7	166-167	6.0 mA	n/a	good	n/a
633.9599609	0.0002	electrical_stimulation	n/a	n/a	1298350	n/a	biphasic	RMG6-RMG7	166-167	6.0 mA	n/a	good	n/a
637.46875	0.0002	electrical_stimulation	n/a	n/a	1305536	n/a	biphasic	RMG6-RMG7	166-167	6.0 mA	n/a	good	artifacts fixed when reference RN5
641.347168	0.0002	electrical_stimulation	n/a	n/a	1313479	n/a	biphasic	RMG6-RMG7	166-167	6.0 mA	n/a	good	artifacts fixed when reference RN5
644.996582	0.0002	electrical_stimulation	n/a	n/a	1320953	n/a	biphasic	RMG6-RMG7	166-167	6.0 mA	n/a	good	n/a
648.8911133	0.0002	electrical_stimulation	n/a	n/a	1328929	n/a	biphasic	RMG6-RMG7	166-167	6.0 mA	n/a	good	n/a
673.3305664	0.0002	electrical_stimulation	n/a	n/a	1378981	n/a	biphasic	RMG7-RMG8	167-168	6.0 mA	n/a	good	n/a
677.0805664	0.0002	electrical_stimulation	n/a	n/a	1386661	n/a	biphasic	RMG7-RMG8	167-168	6.0 mA	n/a	good	n/a
680.3710938	0.0002	electrical_stimulation	n/a	n/a	1393400	n/a	biphasic	RMG7-RMG8	167-168	6.0 mA	n/a	good	n/a
684.0454102	0.0002	electrical_stimulation	n/a	n/a	1400925	n/a	biphasic	RMG7-RMG8	167-168	6.0 mA	n/a	good	n/a
687.6791992	0.0002	electrical_stimulation	n/a	n/a	1408367	n/a	biphasic	RMG7-RMG8	167-168	6.0 mA	n/a	good	n/a
690.8017578	0.0002	electrical_stimulation	n/a	n/a	1414762	n/a	biphasic	RMG7-RMG8	167-168	6.0 mA	n/a	good	n/a
694.1757813	0.0002	electrical_stimulation	n/a	n/a	1421672	n/a	biphasic	RMG7-RMG8	167-168	6.0 mA	n/a	good	n/a
697.1206055	0.0002	electrical_stimulation	n/a	n/a	1427703	n/a	biphasic	RMG7-RMG8	167-168	6.0 mA	n/a	good	n/a
700.3476563	0.0002	electrical_stimulation	n/a	n/a	1434312	n/a	biphasic	RMG7-RMG8	167-168	6.0 mA	n/a	good	n/a
703.7099609	0.0002	electrical_stimulation	n/a	n/a	1441198	n/a	biphasic	RMG7-RMG8	167-168	6.0 mA	n/a	good	n/a
773.3916016	0.0002	electrical_stimulation	n/a	n/a	1583906	n/a	biphasic	RK1-RK2	103-104	6.0 mA	n/a	good	n/a
777.2602539	0.0002	electrical_stimulation	n/a	n/a	1591829	n/a	biphasic	RK1-RK2	103-104	6.0 mA	n/a	good	n/a
781.3261719	0.0002	electrical_stimulation	n/a	n/a	1600156	n/a	biphasic	RK1-RK2	103-104	6.0 mA	n/a	good	n/a
784.746582	0.0002	electrical_stimulation	n/a	n/a	1607161	n/a	biphasic	RK1-RK2	103-104	6.0 mA	n/a	good	artifact fixed when reference RN5
793.9428711	0.0002	electrical_stimulation	n/a	n/a	1625995	n/a	biphasic	RK1-RK2	103-104	6.0 mA	n/a	good	artifacts fixed when reference RN5
801.2045898	0.0002	electrical_stimulation	n/a	n/a	1640867	n/a	biphasic	RK1-RK2	103-104	6.0 mA	n/a	good	n/a
806.0791016	0.0002	electrical_stimulation	n/a	n/a	1650850	n/a	biphasic	RK1-RK2	103-104	6.0 mA	n/a	good	n/a
812.9614258	0.0002	electrical_stimulation	n/a	n/a	1664945	n/a	biphasic	RK1-RK2	103-104	6.0 mA	n/a	good	n/a
818.1689453	0.0002	electrical_stimulation	n/a	n/a	1675610	n/a	biphasic	RK1-RK2	103-104	6.0 mA	n/a	good	n/a
823.6635742	0.0002	electrical_stimulation	n/a	n/a	1686863	n/a	biphasic	RK1-RK2	103-104	6.0 mA	n/a	good	n/a
858.6616211	0.0002	electrical_stimulation	n/a	n/a	1758539	n/a	biphasic	RK2-RK3	104-105	6.0 mA	n/a	bad	n/a
877.1376953	0.0002	electrical_stimulation	n/a	n/a	1796378	n/a	biphasic	RK2-RK3	104-105	6.0 mA	n/a	good	n/a
884.4311523	0.0002	electrical_stimulation	n/a	n/a	1811315	n/a	biphasic	RK2-RK3	104-105	6.0 mA	n/a	good	n/a
957.3496094	0.0002	electrical_stimulation	n/a	n/a	1960652	n/a	biphasic	RK2-RK3	104-105	6.0 mA	n/a	good	n/a
975.9707031	0.0002	electrical_stimulation	n/a	n/a	1998788	n/a	biphasic	RK2-RK3	104-105	6.0 mA	n/a	good	n/a
987.3930664	0.0002	electrical_stimulation	n/a	n/a	2022181	n/a	biphasic	RK2-RK3	104-105	6.0 mA	n/a	good	n/a
1042.775391	0.0002	electrical_stimulation	n/a	n/a	2135604	n/a	biphasic	RK3-RK4	105-106	6.0 mA	n/a	bad	n/a
1078.476563	0.0002	electrical_stimulation	n/a	n/a	2208720	n/a	biphasic	RK3-RK4	105-106	2.0 mA	n/a	good	n/a
1083.763184	0.0002	electrical_stimulation	n/a	n/a	2219547	n/a	biphasic	RK3-RK4	105-106	2.0 mA	n/a	bad	n/a
1088.277832	0.0002	electrical_stimulation	n/a	n/a	2228793	n/a	biphasic	RK3-RK4	105-106	2.0 mA	n/a	good	n/a
1120.23877	0.0002	electrical_stimulation	n/a	n/a	2294249	n/a	biphasic	RK3-RK4	105-106	1.0 mA	n/a	good	n/a
1125.259766	0.0002	electrical_stimulation	n/a	n/a	2304532	n/a	biphasic	RK3-RK4	105-106	1.0 mA	n/a	good	n/a
1129.007813	0.0002	electrical_stimulation	n/a	n/a	2312208	n/a	biphasic	RK3-RK4	105-106	1.0 mA	n/a	good	n/a
1132.422363	0.0002	electrical_stimulation	n/a	n/a	2319201	n/a	biphasic	RK3-RK4	105-106	1.0 mA	n/a	good	n/a
1136.681641	0.0002	electrical_stimulation	n/a	n/a	2327924	n/a	biphasic	RK3-RK4	105-106	1.0 mA	n/a	good	n/a
1140.978027	0.0002	electrical_stimulation	n/a	n/a	2336723	n/a	biphasic	RK3-RK4	105-106	1.0 mA	n/a	good	n/a
1144.309082	0.0002	electrical_stimulation	n/a	n/a	2343545	n/a	biphasic	RK3-RK4	105-106	1.0 mA	n/a	good	n/a
1148.583496	0.0002	electrical_stimulation	n/a	n/a	2352299	n/a	biphasic	RK3-RK4	105-106	1.0 mA	n/a	bad	n/a
1154.474609	0.0002	electrical_stimulation	n/a	n/a	2364364	n/a	biphasic	RK3-RK4	105-106	1.0 mA	n/a	good	n/a
1157.973145	0.0002	electrical_stimulation	n/a	n/a	2371529	n/a	biphasic	RK3-RK4	105-106	1.0 mA	n/a	good	artifact after 2.5s
1212.070801	0.0002	electrical_stimulation	n/a	n/a	2482321	n/a	biphasic	RK4-RK5	106-107	1.0 mA	n/a	bad	n/a
1216.298828	0.0002	electrical_stimulation	n/a	n/a	2490980	n/a	biphasic	RK4-RK5	106-107	1.0 mA	n/a	bad	n/a
1221.272461	0.0002	electrical_stimulation	n/a	n/a	2501166	n/a	biphasic	RK4-RK5	106-107	1.0 mA	n/a	good	n/a
1225.531738	0.0002	electrical_stimulation	n/a	n/a	2509889	n/a	biphasic	RK4-RK5	106-107	1.0 mA	n/a	good	n/a
1229.759766	0.0002	electrical_stimulation	n/a	n/a	2518548	n/a	biphasic	RK4-RK5	106-107	1.0 mA	n/a	good	n/a
1233.998535	0.0002	electrical_stimulation	n/a	n/a	2527229	n/a	biphasic	RK4-RK5	106-107	1.0 mA	n/a	good	n/a
1238.814941	0.0002	electrical_stimulation	n/a	n/a	2537093	n/a	biphasic	RK4-RK5	106-107	1.0 mA	n/a	good	n/a
