onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	2.791088714962825	1	belief_story20
38	14	Photo	2	2	2.599141747923568	1	photo_story18
64	14	Belief	1	1	2.215549570973963	1	belief_story13
90	14	Photo	2	1	3.870229456922971	0	photo_story15
116	14	Photo	2	2	3.095067613990977	1	photo_story24
142	14	Belief	1	1	2.79058284999337	1	belief_story21
168	14	Belief	1	1	2.893969831988215	1	belief_story19
194	14	Photo	2	1	3.0937985049095	0	photo_story14
220	14	Photo	2	2	2.486295429989696	1	photo_story16
246	14	Belief	1	1	2.919089357019402	1	belief_story14
272	14	Photo	2	2	2.487458602990955	0	photo_story23
298	14	Belief	1	2	2.093739268952049	1	belief_story16
