onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	2	3.238406892050989	1	belief_story04
38	14	Photo	2	1	4.277316054096445	1	photo_story01
64	14	Photo	2	1	5.101847825106233	1	photo_story03
90	14	Belief	1	2	2.549520118045621	1	belief_story10
116	14	Photo	2	2	2.90140335902106	1	photo_story05
142	14	Belief	1	1	3.566175157087855	0	belief_story07
168	14	Belief	1	1	2.917554768035188	1	belief_story03
194	14	Photo	2	2	3.053566233022138	1	photo_story10
220	14	Belief	1	1	3.013404638040811	0	belief_story09
246	14	Photo	2	1	4.158625809010118	0	photo_story07
272	14	Photo	2	2	2.623127576080151	1	photo_story06
298	14	Belief	1	2	3.357636810047552	1	belief_story05
