onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	1	2.568542618886568	1	photo_story20
38	14	Belief	1	2	2.928875323967077	1	belief_story18
64	14	Belief	1	1	2.063399437931366	1	belief_story15
90	14	Photo	2	2	3.608273249934427	1	photo_story17
116	14	Belief	1	2	2.440222080913372	1	belief_story22
142	14	Photo	2	1	2.552180317929015	1	photo_story21
168	14	Photo	2	2	2.584438158897683	1	photo_story22
194	14	Belief	1	2	2.680825612973422	1	belief_story23
220	14	Photo	2	1	2.3132400669856	1	photo_story13
246	14	Belief	1	2	3.519898458966054	1	belief_story17
272	14	Belief	1	2	4.031690601957962	1	belief_story24
298	14	Photo	2	1	2.704963213996962	1	photo_story19
