onset	duration	sub_id	pres_order	trial_type	stim_file	vigtext	cond_id	vig_id
0.0	7.92	sub-01	1	authority	vignettes/auth11.JPG	You see a staff member talking loudly and interrupting the mayor's speech to the public.	authority11	10
10.08	7.92	sub-01	2	loyalty	vignettes/loy14.JPG	You see a former Secretary of State publicly giving up his citizenship to the US.	loyalty14	88
19.44	7.92	sub-01	3	liberty	vignettes/lib13.JPG	You see a teacher ordering a student to get a normal haircut before coming to class.	liberty13	72
33.84	7.92	sub-01	4	fairness	vignettes/fair03.JPG	You see a tenant bribing a landlord to be the first to get their apartment repainted.	fairness03	47
46.080000000000005	7.92	sub-01	5	sanctity	vignettes/pur04.JPG	You see a teenager urinating in the wave pool at a crowded amusement park.	sanctity04	93
55.440000000000005	7.92	sub-01	6	liberty	vignettes/lib09.JPG	You see a woman pressuring her daughter to become a famous evening news anchor.	liberty09	68
65.52	7.92	sub-01	7	social_norms	vignettes/socnorm04.JPG	You see a woman eating dessert before her main entree arrives on the table.	social_norms04	108
79.92	7.92	sub-01	8	authority	vignettes/auth02.JPG	You see a woman refusing to stand when the judge walks into the courtroom.	authority02	1
93.6	7.92	sub-01	9	care_physical	vignettes/carephys15.JPG	You see a wife hitting her husband on the side of his head for coming home late.	care_physical15	44
108.0	7.92	sub-01	10	fairness	vignettes/fair12.JPG	You see a boy skipping to the front of the line because his friend is an employee.	fairness12	56
122.4	7.92	sub-01	11	sanctity	vignettes/pur07.JPG	You see a woman having intimate relations with a recently deceased loved one.	sanctity07	96
131.76000000000002	7.92	sub-01	12	liberty	vignettes/lib12.JPG	You see a father requiring his son to take up the family restaurant business.	liberty12	71
146.16	7.92	sub-01	13	social_norms	vignettes/socnorm03.JPG	You see a woman drinking her entire cup of coffee using a stirring spoon.	social_norms03	107
155.52	7.92	sub-01	14	fairness	vignettes/fair06.JPG	You see a judge taking on a criminal case although he is friends with the defendant.	fairness06	50
167.76000000000002	7.92	sub-01	15	loyalty	vignettes/loy03.JPG	You see a former US General saying publicly he would never buy any American product.	loyalty03	77
180.0	7.92	sub-01	16	authority	vignettes/auth14.JPG	You see a student stating that her professor is a fool during an afternoon class.	authority14	13
193.68	7.92	sub-01	17	care_emotional	vignettes/careemo02.JPG	You see a girl laughing at another student forgetting her lines at a school play.	care_emotional02	16
205.92	7.92	sub-01	18	social_norms	vignettes/socnorm09.JPG	You see a man putting ketchup all over his chicken Caesar salad while at lunch.	social_norms09	113
218.16	7.92	sub-01	19	sanctity	vignettes/pur11.JPG	You see a story about a remote tribe eating the flesh of their deceased members.	sanctity11	100
229.68	7.92	sub-01	20	care_emotional	vignettes/careemo12.JPG	You see a woman clearly avoiding sitting next to an obese woman on the bus.	care_emotional12	26
241.92	7.92	sub-01	21	care_physical	vignettes/carephys13.JPG	You see a teacher hitting a student's hand with a ruler for falling asleep in class.	care_physical13	42
256.32	7.92	sub-01	22	care_physical	vignettes/carephys02.JPG	You see a woman throwing her cat across the room for scratching the furniture.	care_physical02	31
268.56	7.92	sub-01	23	sanctity	vignettes/pur10.JPG	You see a girl and her sister making out with each other just for practice.	sanctity10	99
280.08	7.92	sub-01	24	social_norms	vignettes/socnorm14.JPG	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	social_norms14	118
294.48	7.92	sub-01	25	authority	vignettes/auth13.JPG	You see a man turn his back and walk away while his boss questions his work.	authority13	12
304.56	7.92	sub-01	26	authority	vignettes/auth12.JPG	You see a group of women having a long and loud conversation during a church sermon.	authority12	11
313.92	7.92	sub-01	27	liberty	vignettes/lib07.JPG	You see a man forbidding his wife to wear clothing that he has not first approved.	liberty07	66
324.0	7.92	sub-01	28	loyalty	vignettes/loy12.JPG	You see an American telling foreigners that the US is an evil force in the world.	loyalty12	86
338.40000000000003	7.92	sub-01	29	fairness	vignettes/fair14.JPG	You see a professor giving a bad grade to a student just because he dislikes him.	fairness14	58
352.08	7.92	sub-01	30	sanctity	vignettes/pur03.JPG	You see a drunk elderly man offering to have oral sex with anyone in the bar.	sanctity03	92
364.32	7.92	sub-01	31	care_physical	vignettes/carephys07.JPG	You see a woman snatching away her dog's food for making a mess in the living room.	care_physical07	36
376.56	7.92	sub-01	32	liberty	vignettes/lib14.JPG	You see a teenager at a cafeteria forcing a younger student to pay for her lunch.	liberty14	73
385.92	7.92	sub-01	33	fairness	vignettes/fair05.JPG	You see a referee intentionally making bad calls that help his favored team win.	fairness05	49
396.0	7.92	sub-01	34	social_norms	vignettes/socnorm01.JPG	You see someone using an old rotary phone and refusing to go buy a new one.	social_norms01	105
408.24	7.92	sub-01	35	loyalty	vignettes/loy13.JPG	You see the coach's wife sponsoring a bake sale for her husband's rival team.	loyalty13	87
419.76	7.92	sub-01	36	care_emotional	vignettes/careemo15.JPG	You see a man laughing at a disabled co-worker while at an office softball game.	care_emotional15	29
429.84	7.92	sub-01	37	care_emotional	vignettes/careemo09.JPG	You see a boy making fun of his brother for getting dumped by his girlfriend.	care_emotional09	23
439.92	7.92	sub-01	38	loyalty	vignettes/loy08.JPG	You see a head cheerleader booing her high school's team during a homecoming game.	loyalty08	82
453.6	7.92	sub-01	39	care_physical	vignettes/carephys11.JPG	You see a boy placing a thumbtack sticking up on the chair of another student.	care_physical11	40
465.84	7.92	sub-01	40	care_emotional	vignettes/careemo13.JPG	You see a girl telling a boy that his older brother is much more attractive than him.	care_emotional13	27
