onset	duration	trial_type	event_value	event_sample
7.119166666666667	0.0	stimulus3	3	8543
8.716666666666667	0.0	stimulus3	3	10460
10.316666666666666	0.0	stimulus4	4	12380
11.915833333333333	0.0	stimulus4	4	14299
13.481666666666667	0.0	stimulus2	2	16178
15.030833333333334	0.0	stimulus2	2	18037
16.680833333333332	0.0	stimulus4	4	20017
18.313333333333333	0.0	stimulus4	4	21976
19.929166666666667	0.0	stimulus3	3	23915
21.4625	0.0	stimulus2	2	25755
23.111666666666668	0.0	stimulus3	3	27734
24.6775	0.0	stimulus4	4	29613
26.293333333333333	0.0	stimulus3	3	31552
27.826666666666668	0.0	stimulus3	3	33392
29.375833333333333	0.0	stimulus2	2	35251
30.925	0.0	stimulus1	1	37110
32.525	0.0	stimulus4	4	39030
34.1575	0.0	stimulus3	3	40989
35.77333333333333	0.0	stimulus4	4	42928
37.35666666666667	0.0	stimulus3	3	44828
38.95583333333333	0.0	stimulus4	4	46747
40.52166666666667	0.0	stimulus4	4	48626
42.15416666666667	0.0	stimulus4	4	50585
43.704166666666666	0.0	stimulus4	4	52445
45.32	0.0	stimulus4	4	54384
46.869166666666665	0.0	stimulus3	3	56243
48.435833333333335	0.0	stimulus1	1	58123
50.035	0.0	stimulus3	3	60042
51.65083333333333	0.0	stimulus3	3	61981
53.21666666666667	0.0	stimulus1	1	63860
54.85	0.0	stimulus2	2	65820
56.465833333333336	0.0	stimulus1	1	67759
58.04833333333333	0.0	stimulus2	2	69658
59.63166666666667	0.0	stimulus1	1	71558
61.214166666666664	0.0	stimulus1	1	73457
62.79666666666667	0.0	stimulus1	1	75356
64.37916666666666	0.0	stimulus1	1	77255
65.97916666666667	0.0	stimulus4	4	79175
67.595	0.0	stimulus1	1	81114
70.99333333333334	0.0	stimulus1	1	85192
72.57666666666667	0.0	stimulus3	3	87092
75.375	0.0	stimulus4	4	90450
76.99166666666666	0.0	stimulus2	2	92390
78.54083333333334	0.0	stimulus4	4	94249
80.12333333333333	0.0	stimulus2	2	96148
81.70666666666666	0.0	stimulus2	2	98048
83.30583333333334	0.0	stimulus4	4	99967
84.905	0.0	stimulus4	4	101886
86.52166666666666	0.0	stimulus4	4	103826
88.10416666666667	0.0	stimulus1	1	105725
89.68666666666667	0.0	stimulus1	1	107624
91.23583333333333	0.0	stimulus1	1	109483
92.86916666666667	0.0	stimulus3	3	111443
94.41833333333334	0.0	stimulus4	4	113302
95.9675	0.0	stimulus2	2	115161
97.55083333333333	0.0	stimulus4	4	117061
99.11666666666666	0.0	stimulus2	2	118940
100.69916666666667	0.0	stimulus2	2	120839
102.28166666666667	0.0	stimulus2	2	122738
103.915	0.0	stimulus4	4	124698
105.5475	0.0	stimulus2	2	126657
107.09666666666666	0.0	stimulus4	4	128516
108.7125	0.0	stimulus4	4	130455
110.29583333333333	0.0	stimulus1	1	132355
111.87833333333333	0.0	stimulus2	2	134254
113.4775	0.0	stimulus1	1	136173
115.11083333333333	0.0	stimulus4	4	138133
116.67666666666666	0.0	stimulus3	3	140012
118.30916666666667	0.0	stimulus3	3	141971
119.8925	0.0	stimulus4	4	143871
121.49166666666666	0.0	stimulus2	2	145790
123.09083333333334	0.0	stimulus1	1	147709
124.70666666666666	0.0	stimulus4	4	149648
126.30666666666667	0.0	stimulus4	4	151568
127.9225	0.0	stimulus3	3	153507
129.47166666666666	0.0	stimulus2	2	155366
131.02083333333334	0.0	stimulus3	3	157225
132.65416666666667	0.0	stimulus1	1	159185
134.20333333333335	0.0	stimulus4	4	161044
135.73583333333335	0.0	stimulus2	2	162883
137.33583333333334	0.0	stimulus1	1	164803
140.18416666666667	0.0	stimulus2	2	168221
141.78416666666666	0.0	stimulus1	1	170141
143.33333333333334	0.0	stimulus2	2	172000
144.89916666666667	0.0	stimulus2	2	173879
146.49916666666667	0.0	stimulus3	3	175799
148.13166666666666	0.0	stimulus2	2	177758
149.68083333333334	0.0	stimulus1	1	179617
151.29666666666665	0.0	stimulus2	2	181556
152.89666666666668	0.0	stimulus3	3	183476
155.47916666666666	0.0	stimulus3	3	186575
157.095	0.0	stimulus3	3	188514
158.6775	0.0	stimulus3	3	190413
160.29416666666665	0.0	stimulus1	1	192353
161.89333333333335	0.0	stimulus1	1	194272
163.4425	0.0	stimulus3	3	196131
165.04166666666666	0.0	stimulus3	3	198050
166.625	0.0	stimulus4	4	199950
168.29083333333332	0.0	stimulus3	3	201949
169.82333333333332	0.0	stimulus1	1	203788
171.40583333333333	0.0	stimulus2	2	205687
172.98916666666668	0.0	stimulus2	2	207587
174.57166666666666	0.0	stimulus2	2	209486
176.20416666666668	0.0	stimulus1	1	211445
177.77083333333334	0.0	stimulus4	4	213325
179.38666666666666	0.0	stimulus4	4	215264
180.98583333333335	0.0	stimulus3	3	217183
182.51916666666668	0.0	stimulus2	2	219023
184.06833333333333	0.0	stimulus4	4	220882
185.68416666666667	0.0	stimulus1	1	222821
187.28333333333333	0.0	stimulus3	3	224740
188.83333333333334	0.0	stimulus2	2	226600
190.39916666666667	0.0	stimulus1	1	228479
191.99833333333333	0.0	stimulus2	2	230398
193.54833333333335	0.0	stimulus2	2	232258
195.18083333333334	0.0	stimulus2	2	234217
196.74666666666667	0.0	stimulus4	4	236096
198.37916666666666	0.0	stimulus4	4	238055
199.9625	0.0	stimulus4	4	239955
201.595	0.0	stimulus1	1	241914
203.14416666666668	0.0	stimulus3	3	243773
204.69416666666666	0.0	stimulus1	1	245633
207.52583333333334	0.0	stimulus2	2	249031
209.12583333333333	0.0	stimulus4	4	250951
211.04166666666666	0.0	stimulus4	4	253250
212.67416666666668	0.0	stimulus3	3	255209
214.25666666666666	0.0	stimulus1	1	257108
215.80666666666667	0.0	stimulus3	3	258968
217.35583333333332	0.0	stimulus1	1	260827
218.905	0.0	stimulus1	1	262686
220.505	0.0	stimulus2	2	264606
222.0875	0.0	stimulus3	3	266505
223.65333333333334	0.0	stimulus4	4	268384
225.26916666666668	0.0	stimulus3	3	270323
226.88583333333332	0.0	stimulus1	1	272263
228.50166666666667	0.0	stimulus3	3	274202
230.1175	0.0	stimulus3	3	276141
231.7675	0.0	stimulus3	3	278121
233.31666666666666	0.0	stimulus1	1	279980
234.86583333333334	0.0	stimulus3	3	281839
236.465	0.0	stimulus2	2	283758
238.015	0.0	stimulus3	3	285618
239.5975	0.0	stimulus4	4	287517
241.18	0.0	stimulus4	4	289416
242.79666666666665	0.0	stimulus1	1	291356
244.3625	0.0	stimulus2	2	293235
245.945	0.0	stimulus4	4	295134
247.54416666666665	0.0	stimulus3	3	297053
249.14416666666668	0.0	stimulus3	3	298973
250.72666666666666	0.0	stimulus1	1	300872
252.2925	0.0	stimulus3	3	302751
253.8425	0.0	stimulus1	1	304611
255.44166666666666	0.0	stimulus3	3	306530
257.0075	0.0	stimulus2	2	308409
258.54083333333335	0.0	stimulus1	1	310249
260.14	0.0	stimulus1	1	312168
261.7058333333333	0.0	stimulus2	2	314047
263.28833333333336	0.0	stimulus2	2	315946
264.8883333333333	0.0	stimulus1	1	317866
266.45416666666665	0.0	stimulus2	2	319745
268.07	0.0	stimulus2	2	321684
269.67	0.0	stimulus1	1	323604
271.26916666666665	0.0	stimulus1	1	325523
