onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	63.0	70.0
10.8302	0.0002	Stimulus/S128	2	54151	63.0	70.0
18.9004	0.0002	Stimulus/S128	2	94502	63.0	70.0
24.9778	0.0002	Stimulus/S128	2	124889	63.0	70.0
31.0478	0.0002	Stimulus/S128	2	155239	63.0	70.0
39.1184	0.0002	Stimulus/S128	2	195592	63.0	70.0
45.1886	0.0002	Stimulus/S128	2	225943	63.0	70.0
52.259	0.0002	Stimulus/S128	2	261295	63.0	70.0
59.3294	0.0002	Stimulus/S128	2	296647	63.0	70.0
65.4484	0.0002	Stimulus/S128	2	327242	63.0	70.0
71.517	0.0002	Stimulus/S128	2	357585	63.0	70.0
79.582	0.0002	Stimulus/S128	2	397910	63.0	70.0
86.6454	0.0002	Stimulus/S128	2	433227	63.0	70.0
93.7226	0.0002	Stimulus/S128	2	468613	63.0	70.0
100.7874	0.0002	Stimulus/S128	2	503937	63.0	70.0
108.8496	0.0002	Stimulus/S128	2	544248	63.0	70.0
116.934	0.0002	Stimulus/S128	2	584670	63.0	70.0
124.0114	0.0002	Stimulus/S128	2	620057	63.0	70.0
132.0956	0.0002	Stimulus/S128	2	660478	63.0	70.0
140.1662	0.0002	Stimulus/S128	2	700831	63.0	70.0
148.2298	0.0002	Stimulus/S128	2	741149	63.0	70.0
155.2932	0.0002	Stimulus/S128	2	776466	63.0	70.0
162.3704	0.0002	Stimulus/S128	2	811852	63.0	70.0
169.4338	0.0002	Stimulus/S128	2	847169	63.0	70.0
175.4972	0.0002	Stimulus/S128	2	877486	63.0	70.0
182.5744	0.0002	Stimulus/S128	2	912872	63.0	70.0
189.6448	0.0002	Stimulus/S128	2	948224	63.0	70.0
195.7358	0.0002	Stimulus/S128	2	978679	63.0	70.0
202.7992	0.0002	Stimulus/S128	2	1013996	63.0	70.0
210.863	0.0002	Stimulus/S128	2	1054315	63.0	70.0
217.9262	0.0002	Stimulus/S128	2	1089631	63.0	70.0
223.9894	0.0002	Stimulus/S128	2	1119947	63.0	70.0
230.0596	0.0002	Stimulus/S128	2	1150298	63.0	70.0
236.1298	0.0002	Stimulus/S128	2	1180649	63.0	70.0
242.2002	0.0002	Stimulus/S128	2	1211001	63.0	70.0
250.2636	0.0002	Stimulus/S128	2	1251318	63.0	70.0
258.3272	0.0002	Stimulus/S128	2	1291636	63.0	70.0
264.396	0.0002	Stimulus/S128	2	1321980	63.0	70.0
272.468	0.0002	Stimulus/S128	2	1362340	63.0	70.0
280.5592	0.0002	Stimulus/S128	2	1402796	63.0	70.0
288.6366	0.0002	Stimulus/S128	2	1443183	63.0	70.0
295.707	0.0002	Stimulus/S128	2	1478535	63.0	70.0
301.7774	0.0002	Stimulus/S128	2	1508887	63.0	70.0
307.8474	0.0002	Stimulus/S128	2	1539237	63.0	70.0
313.9106	0.0002	Stimulus/S128	2	1569553	63.0	70.0
319.974	0.0002	Stimulus/S128	2	1599870	63.0	70.0
328.0514	0.0002	Stimulus/S128	2	1640257	63.0	70.0
336.115	0.0002	Stimulus/S128	2	1680575	63.0	70.0
344.1854	0.0002	Stimulus/S128	2	1720927	63.0	70.0
351.2488	0.0002	Stimulus/S128	2	1756244	63.0	70.0
358.3192	0.0002	Stimulus/S128	2	1791596	63.0	70.0
365.3826	0.0002	Stimulus/S128	2	1826913	63.0	70.0
371.4532	0.0002	Stimulus/S128	2	1857266	63.0	70.0
377.5438	0.0002	Stimulus/S128	2	1887719	63.0	70.0
384.6072	0.0002	Stimulus/S128	2	1923036	63.0	70.0
