onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	63.0	70.0
12.0564	0.0002	Stimulus/S128	2	60282	63.0	70.0
19.1266	0.0002	Stimulus/S128	2	95633	63.0	70.0
27.211	0.0002	Stimulus/S128	2	136055	63.0	70.0
33.2812	0.0002	Stimulus/S128	2	166406	63.0	70.0
41.3448	0.0002	Stimulus/S128	2	206724	63.0	70.0
48.429	0.0002	Stimulus/S128	2	242145	63.0	70.0
54.4992	0.0002	Stimulus/S128	2	272496	63.0	70.0
61.5626	0.0002	Stimulus/S128	2	307813	63.0	70.0
67.6258	0.0002	Stimulus/S128	2	338129	63.0	70.0
74.7102	0.0002	Stimulus/S128	2	373551	63.0	70.0
82.7876	0.0002	Stimulus/S128	2	413938	63.0	70.0
88.8578	0.0002	Stimulus/S128	2	444289	63.0	70.0
95.9212	0.0002	Stimulus/S128	2	479606	63.0	70.0
103.9848	0.0002	Stimulus/S128	2	519924	63.0	70.0
110.048	0.0002	Stimulus/S128	2	550240	63.0	70.0
118.1114	0.0002	Stimulus/S128	2	590557	63.0	70.0
125.1818	0.0002	Stimulus/S128	2	625909	63.0	70.0
133.2664	0.0002	Stimulus/S128	2	666332	63.0	70.0
139.3364	0.0002	Stimulus/S128	2	696682	63.0	70.0
147.414	0.0002	Stimulus/S128	2	737070	63.0	70.0
155.4774	0.0002	Stimulus/S128	2	777387	63.0	70.0
162.5408	0.0002	Stimulus/S128	2	812704	63.0	70.0
170.6044	0.0002	Stimulus/S128	2	853022	63.0	70.0
176.6676	0.0002	Stimulus/S128	2	883338	63.0	70.0
183.731	0.0002	Stimulus/S128	2	918655	63.0	70.0
191.8084	0.0002	Stimulus/S128	2	959042	63.0	70.0
197.8788	0.0002	Stimulus/S128	2	989394	63.0	70.0
203.956	0.0002	Stimulus/S128	2	1019780	63.0	70.0
212.0264	0.0002	Stimulus/S128	2	1060132	63.0	70.0
219.0898	0.0002	Stimulus/S128	2	1095449	63.0	70.0
226.1602	0.0002	Stimulus/S128	2	1130801	63.0	70.0
234.2236	0.0002	Stimulus/S128	2	1171118	63.0	70.0
241.287	0.0002	Stimulus/S128	2	1206435	63.0	70.0
249.3644	0.0002	Stimulus/S128	2	1246822	63.0	70.0
256.4418	0.0002	Stimulus/S128	2	1282209	63.0	70.0
263.533	0.0002	Stimulus/S128	2	1317665	63.0	70.0
270.6034	0.0002	Stimulus/S128	2	1353017	63.0	70.0
278.674	0.0002	Stimulus/S128	2	1393370	63.0	70.0
284.7442	0.0002	Stimulus/S128	2	1423721	63.0	70.0
291.8074	0.0002	Stimulus/S128	2	1459037	63.0	70.0
298.8778	0.0002	Stimulus/S128	2	1494389	63.0	70.0
304.962	0.0002	Stimulus/S128	2	1524810	63.0	70.0
311.046	0.0002	Stimulus/S128	2	1555230	63.0	70.0
317.1094	0.0002	Stimulus/S128	2	1585547	63.0	70.0
323.185	0.0002	Stimulus/S128	2	1615925	63.0	70.0
329.2498	0.0002	Stimulus/S128	2	1646249	63.0	70.0
335.313	0.0002	Stimulus/S128	2	1676565	63.0	70.0
343.3836	0.0002	Stimulus/S128	2	1716918	63.0	70.0
349.4468	0.0002	Stimulus/S128	2	1747234	63.0	70.0
357.5104	0.0002	Stimulus/S128	2	1787552	63.0	70.0
365.5738	0.0002	Stimulus/S128	2	1827869	63.0	70.0
372.6512	0.0002	Stimulus/S128	2	1863256	63.0	70.0
378.7144	0.0002	Stimulus/S128	2	1893572	63.0	70.0
386.7784	0.0002	Stimulus/S128	2	1933892	63.0	70.0
