onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	63.0	70.0
3.5236	0.0002	Stimulus/S128	2	17618	63.0	70.0
10.3574	0.0002	Stimulus/S128	2	51787	63.0	70.0
16.1984	0.0002	Stimulus/S128	2	80992	63.0	70.0
23.0326	0.0002	Stimulus/S128	2	115163	63.0	70.0
28.8736	0.0002	Stimulus/S128	2	144368	63.0	70.0
36.7148	0.0002	Stimulus/S128	2	183574	63.0	70.0
43.5492	0.0002	Stimulus/S128	2	217746	63.0	70.0
51.3906	0.0002	Stimulus/S128	2	256953	63.0	70.0
57.2314	0.0002	Stimulus/S128	2	286157	63.0	70.0
64.0656	0.0002	Stimulus/S128	2	320328	63.0	70.0
69.9066	0.0002	Stimulus/S128	2	349533	63.0	70.0
76.7408	0.0002	Stimulus/S128	2	383704	63.0	70.0
82.582	0.0002	Stimulus/S128	2	412910	63.0	70.0
90.4232	0.0002	Stimulus/S128	2	452116	63.0	70.0
98.2644	0.0002	Stimulus/S128	2	491322	63.0	70.0
105.0986	0.0002	Stimulus/S128	2	525493	63.0	70.0
111.933	0.0002	Stimulus/S128	2	559665	63.0	70.0
118.7672	0.0002	Stimulus/S128	2	593836	63.0	70.0
124.6082	0.0002	Stimulus/S128	2	623041	63.0	70.0
130.4494	0.0002	Stimulus/S128	2	652247	63.0	70.0
136.2902	0.0002	Stimulus/S128	2	681451	63.0	70.0
144.1316	0.0002	Stimulus/S128	2	720658	63.0	70.0
150.9658	0.0002	Stimulus/S128	2	754829	63.0	70.0
156.8068	0.0002	Stimulus/S128	2	784034	63.0	70.0
164.648	0.0002	Stimulus/S128	2	823240	63.0	70.0
170.4892	0.0002	Stimulus/S128	2	852446	63.0	70.0
178.3304	0.0002	Stimulus/S128	2	891652	63.0	70.0
185.1646	0.0002	Stimulus/S128	2	925823	63.0	70.0
191.0058	0.0002	Stimulus/S128	2	955029	63.0	70.0
196.8466	0.0002	Stimulus/S128	2	984233	63.0	70.0
204.688	0.0002	Stimulus/S128	2	1023440	63.0	70.0
211.5222	0.0002	Stimulus/S128	2	1057611	63.0	70.0
219.3634	0.0002	Stimulus/S128	2	1096817	63.0	70.0
227.2048	0.0002	Stimulus/S128	2	1136024	63.0	70.0
233.0458	0.0002	Stimulus/S128	2	1165229	63.0	70.0
238.8868	0.0002	Stimulus/S128	2	1194434	63.0	70.0
245.721	0.0002	Stimulus/S128	2	1228605	63.0	70.0
251.5622	0.0002	Stimulus/S128	2	1257811	63.0	70.0
259.4036	0.0002	Stimulus/S128	2	1297018	63.0	70.0
267.2448	0.0002	Stimulus/S128	2	1336224	63.0	70.0
275.086	0.0002	Stimulus/S128	2	1375430	63.0	70.0
280.927	0.0002	Stimulus/S128	2	1404635	63.0	70.0
287.7612	0.0002	Stimulus/S128	2	1438806	63.0	70.0
295.6024	0.0002	Stimulus/S128	2	1478012	63.0	70.0
303.4438	0.0002	Stimulus/S128	2	1517219	63.0	70.0
310.278	0.0002	Stimulus/S128	2	1551390	63.0	70.0
316.119	0.0002	Stimulus/S128	2	1580595	63.0	70.0
322.9532	0.0002	Stimulus/S128	2	1614766	63.0	70.0
330.7948	0.0002	Stimulus/S128	2	1653974	63.0	70.0
337.6288	0.0002	Stimulus/S128	2	1688144	63.0	70.0
345.47	0.0002	Stimulus/S128	2	1727350	63.0	70.0
353.3114	0.0002	Stimulus/S128	2	1766557	63.0	70.0
360.1456	0.0002	Stimulus/S128	2	1800728	63.0	70.0
365.9872	0.0002	Stimulus/S128	2	1829936	63.0	70.0
