onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	244.974	BAD_break	3	0	n/a	n/a	n/a	n/a	n/a	n/a
245.474	0.0	nontarget	5	245474	j	0	37.0	n/a	n/a	1
247.907	0.0	nontarget	5	247907	n	0	43.0	n/a	n/a	1
250.074	0.0	nontarget	5	250074	u	0	27.0	n/a	n/a	1
252.207	0.0	target	6	252207	ä	1	25.0	1	0.439589	1
252.507	0.5	BAD keypress	2	252507	n/a	n/a	n/a	n/a	n/a	n/a
252.757	0.0	keypress	4	252757	n/a	n/a	n/a	n/a	n/a	n/a
254.24	0.0	nontarget	5	254240	z	0	29.0	n/a	n/a	1
256.473	0.0	nontarget	5	256473	j	0	31.0	n/a	n/a	1
258.89	0.0	nontarget	5	258890	ü	0	42.0	n/a	n/a	1
261.323	0.0	nontarget	5	261323	i	0	43.0	n/a	n/a	1
263.356	0.0	nontarget	5	263356	q	0	19.0	n/a	n/a	1
265.673	0.0	nontarget	5	265673	z	0	36.0	n/a	n/a	1
268.223	0.0	target	6	268223	j	1	50.0	1	0.4226308	1
268.523	0.5	BAD keypress	2	268523	n/a	n/a	n/a	n/a	n/a	n/a
268.773	0.0	keypress	4	268773	n/a	n/a	n/a	n/a	n/a	n/a
270.373	0.0	nontarget	5	270373	b	0	36.0	n/a	n/a	1
272.839	0.0	nontarget	5	272839	m	0	45.0	n/a	n/a	1
275.023	0.0	target	6	275023	o	1	28.0	1	0.4704109	1
275.339	0.5	BAD keypress	2	275339	n/a	n/a	n/a	n/a	n/a	n/a
275.589	0.0	keypress	4	275589	n/a	n/a	n/a	n/a	n/a	n/a
277.189	0.0	nontarget	5	277189	a	0	36.0	n/a	n/a	1
279.239	0.0	nontarget	5	279239	n	0	20.0	n/a	n/a	1
281.539	0.0	nontarget	5	281539	s	0	35.0	n/a	n/a	1
283.689	0.0	nontarget	5	283689	z	0	26.0	n/a	n/a	1
285.789	0.0	nontarget	5	285789	j	0	23.0	n/a	n/a	1
288.222	0.0	nontarget	5	288222	g	0	43.0	n/a	n/a	1
290.655	0.0	nontarget	5	290655	t	0	43.0	n/a	n/a	1
293.122	0.0	nontarget	5	293122	x	0	45.0	n/a	n/a	1
295.572	0.0	target	6	295572	e	1	44.0	1	0.4160941	1
295.838	0.5	BAD keypress	2	295838	n/a	n/a	n/a	n/a	n/a	n/a
296.088	0.0	keypress	4	296088	n/a	n/a	n/a	n/a	n/a	n/a
297.422	0.0	nontarget	5	297422	ä	0	20.0	n/a	n/a	1
299.805	0.0	nontarget	5	299805	v	0	40.0	n/a	n/a	1
302.305	0.0	nontarget	5	302305	q	0	47.0	n/a	n/a	1
304.738	0.0	nontarget	5	304738	ö	0	43.0	n/a	n/a	1
307.288	0.0	nontarget	5	307288	o	0	50.0	n/a	n/a	1
309.388	0.0	nontarget	5	309388	b	0	23.0	n/a	n/a	1
311.838	0.0	nontarget	5	311838	e	0	44.0	n/a	n/a	1
314.138	0.0	nontarget	5	314138	f	0	35.0	n/a	n/a	1
316.321	0.0	nontarget	5	316321	n	0	28.0	n/a	n/a	1
318.387	0.0	nontarget	5	318387	u	0	21.0	n/a	n/a	1
320.587	0.0	nontarget	5	320587	v	0	29.0	n/a	n/a	1
323.037	0.0	nontarget	5	323037	h	0	44.0	n/a	n/a	1
