onset	duration	condition
0	20	Fixation
20	20	Control
40	16	Fixation
56	20	Autobiographical
76	16	Fixation
92	20	Control
112	16	Fixation
128	20	Autobiographical
148	16	Fixation
164	20	Control
184	16	Fixation
200	20	Autobiographical
220	16	Fixation
236	20	Control
256	16	Fixation
272	20	Autobiographical
292	16	Fixation
308	20	Control
328	16	Fixation
344	20	Autobiographical
364	16	Fixation
380	20	Control
400	16	Fixation
416	20	Autobiographical
436	16	Fixation
452	20	Control
472	16	Fixation
488	20	Autobiographical
508	16	Fixation
524	20	Control
544	16	Fixation
560	20	Autobiographical
580	16	Fixation
596	20	Control
616	16	Fixation
632	20	Autobiographical
652	16	Fixation
668	20	Control
688	16	Fixation
704	20	Autobiographical
724	16	Fixation
