onset	duration	condition
0	20	Fixation
20	48	1-back
68	16	Fixation
84	48	2-back
132	16	Fixation
148	48	1-back
196	16	Fixation
212	48	2-back
260	16	Fixation
276	48	1-back
324	16	Fixation
340	48	2-back
388	16	Fixation
404	48	1-back
452	16	Fixation
468	48	2-back
516	16	Fixation
