onset	duration	event_value	event_name
617.71875	0.1	15	reaction_correct
618.31640625	0.1	10	trial_end
621.302734375	0.1	9	fixation_on
623.033203125	0.1	1	cue_left
628.142578125	0.1	11	target_left
628.47265625	0.1	15	reaction_correct
629.15234375	0.1	10	trial_end
631.498046875	0.1	9	fixation_on
633.462890625	0.1	1	cue_left
634.58984375	0.1	11	target_left
635.064453125	0.1	15	reaction_correct
635.591796875	0.1	10	trial_end
638.0859375	0.1	9	fixation_on
639.1640625	0.1	1	cue_left
641.2890625	0.1	11	target_left
641.72265625	0.1	15	reaction_correct
642.291015625	0.1	10	trial_end
645.29296875	0.1	9	fixation_on
646.427734375	0.1	2	cue_right
650.5390625	0.1	12	target_right
650.970703125	0.1	15	reaction_correct
651.548828125	0.1	10	trial_end
654.328125	0.1	9	fixation_on
655.48046875	0.1	2	cue_right
656.611328125	0.1	12	target_right
657.0390625	0.1	15	reaction_correct
657.619140625	0.1	10	trial_end
660.30859375	0.1	9	fixation_on
661.916015625	0.1	2	cue_right
665.02734375	0.1	12	target_right
665.5859375	0.1	15	reaction_correct
666.044921875	0.1	10	trial_end
668.177734375	0.1	9	fixation_on
669.53515625	0.1	1	cue_left
673.6796875	0.1	11	target_left
674.09375	0.1	15	reaction_correct
674.68359375	0.1	10	trial_end
677.501953125	0.1	9	fixation_on
678.96484375	0.1	3	cue_center
680.125	0.1	13	target_center
680.48046875	0.1	15	reaction_correct
681.140625	0.1	10	trial_end
683.822265625	0.1	9	fixation_on
685.490234375	0.1	3	cue_center
690.150390625	0.1	13	target_center
690.544921875	0.1	15	reaction_correct
691.162109375	0.1	10	trial_end
693.95703125	0.1	9	fixation_on
695.359375	0.1	2	cue_right
700.482421875	0.1	12	target_right
700.837890625	0.1	15	reaction_correct
701.5	0.1	10	trial_end
704.056640625	0.1	9	fixation_on
705.625	0.1	2	cue_right
710.748046875	0.1	12	target_right
711.16796875	0.1	15	reaction_correct
711.755859375	0.1	10	trial_end
714.50390625	0.1	9	fixation_on
716.408203125	0.1	1	cue_left
717.525390625	0.1	11	target_left
717.875	0.1	15	reaction_correct
718.53515625	0.1	10	trial_end
725.900390625	0.1	5	run_end
