slice	band	time (ms)
1	1	0.0
2	1	466.6666666666667
3	1	933.3333333333334
4	1	1400.0
5	1	1866.6666666666667
6	1	333.33333333333337
7	1	800.0
8	1	1266.6666666666667
9	1	1733.3333333333335
10	1	200.0
11	1	666.6666666666667
12	1	1133.3333333333335
13	1	1600.0
14	1	66.66666666666667
15	1	533.3333333333334
16	1	1000.0000000000001
17	1	1466.6666666666667
18	1	1933.3333333333335
19	1	400.0
20	1	866.6666666666667
21	1	1333.3333333333335
22	1	1800.0000000000002
23	1	266.6666666666667
24	1	733.3333333333334
25	1	1200.0
26	1	1666.6666666666667
27	1	133.33333333333334
28	1	600.0
29	1	1066.6666666666667
30	1	1533.3333333333335
31	2	0.0
32	2	466.6666666666667
33	2	933.3333333333334
34	2	1400.0
35	2	1866.6666666666667
36	2	333.33333333333337
37	2	800.0
38	2	1266.6666666666667
39	2	1733.3333333333335
40	2	200.0
41	2	666.6666666666667
42	2	1133.3333333333335
43	2	1600.0
44	2	66.66666666666667
45	2	533.3333333333334
46	2	1000.0000000000001
47	2	1466.6666666666667
48	2	1933.3333333333335
49	2	400.0
50	2	866.6666666666667
51	2	1333.3333333333335
52	2	1800.0000000000002
53	2	266.6666666666667
54	2	733.3333333333334
55	2	1200.0
56	2	1666.6666666666667
57	2	133.33333333333334
58	2	600.0
59	2	1066.6666666666667
60	2	1533.3333333333335
