onset	duration	TRIALTYPE	COHERENCE	RESPONSE_TIME	BUTTON_ORDER	CHOSE_RIGHT
2.0499970000000003	1.064	ColorDots	0.25	1.1002100000000001	1	1.0
6.133354	1.064	ColorDots	1.0	0.704925	1	0.0
13.716788000000001	1.064	ColorDots	-0.125	0.991489	1	1.0
19.800088	1.064	ColorDots	-0.5	1.1081940000000001	1	1.0
27.383452000000002	1.064	ColorDots	2.0	0.645839	1	0.0
31.966848	1.064	ColorDots	-0.5	0.680471	1	1.0
36.550156	1.064	ColorDots	-0.125	1.494125	1	0.0
44.63346	1.064	ColorDots	-2.0	0.65071	1	1.0
52.716824	1.064	ColorDots	-0.25	1.082368	1	1.0
57.800073	1.064	ColorDots	0.25	0.9571770000000001	1	0.0
69.883433	1.064	ColorDots	-2.0	0.670878	1	1.0
73.466812	1.064	ColorDots	1.0	0.802417	1	0.0
77.550117	1.064	ColorDots	0.0	1.102136	1	1.0
83.133358	1.064	ColorDots	1.0	0.9579479999999999	1	0.0
86.700188	1.064	ColorDots	0.5	1.133003	1	0.0
91.783367	1.064	ColorDots	-0.25	1.241911	1	1.0
97.86794499999999	1.064	ColorDots	0.0	1.180332	1	0.0
101.953147	1.064	ColorDots	0.0	1.492135	1	0.0
106.033422	1.064	ColorDots	-0.5	0.6799	1	1.0
111.61678	1.064	ColorDots	1.0	0.726536	1	1.0
117.683295	1.064	ColorDots	-0.125	1.200911	1	1.0
126.250004	1.064	ColorDots	-0.25	1.1312309999999999	1	1.0
130.333412	1.064	ColorDots	0.0	1.477786	1	1.0
134.916787	1.064	ColorDots	-2.0	0.629418	1	1.0
139.00017	1.064	ColorDots	0.25	1.641099	1	1.0
147.066911	1.064	ColorDots	-0.25	1.329342	1	1.0
150.65021000000002	1.064	ColorDots	-2.0	0.728057	1	1.0
157.23345700000002	1.064	ColorDots	2.0	0.7598560000000001	1	0.0
161.316895	1.064	ColorDots	0.5	0.8634149999999999	1	0.0
165.900282	1.064	ColorDots	-2.0	0.6810229999999999	1	1.0
173.483499	1.064	ColorDots	0.0	1.035735	1	0.0
179.550118	1.064	ColorDots	-0.25	1.528125	1	1.0
183.633506	1.064	ColorDots	-2.0	0.600701	1	1.0
190.700253	1.064	ColorDots	0.0	1.110025	1	1.0
194.26667700000002	1.064	ColorDots	-2.0	0.580555	1	1.0
197.850084	1.064	ColorDots	0.0	1.212118	1	0.0
203.933433	1.064	ColorDots	2.0	0.609879	1	0.0
208.516845	1.064	ColorDots	0.25	1.591428	1	0.0
212.10012000000003	1.064	ColorDots	0.5	1.743104	1	0.0
215.68343900000002	1.064	ColorDots	2.0	0.585754	1	0.0
219.266796	1.064	ColorDots	-0.25	2.054384	1	1.0
224.850141	1.064	ColorDots	-0.125	1.8740450000000002	1	0.0
228.91677400000003	1.064	ColorDots	0.5	0.746474	1	0.0
233.00010299999997	1.064	ColorDots	0.25	1.281151	1	0.0
236.583477	1.064	ColorDots	0.5	1.315791	1	0.0
242.166831	1.064	ColorDots	0.5	1.7034470000000002	1	0.0
247.75009900000003	1.064	ColorDots	2.0	0.684114	1	0.0
255.33345099999997	1.064	ColorDots	1.0	0.8868299999999999	1	0.0
258.916798	1.064	ColorDots	0.0	0.895487	1	1.0
267.483435	1.064	ColorDots	1.0	0.862843	1	0.0
273.066686	1.064	ColorDots	0.0	1.6796	1	0.0
277.15016	1.064	ColorDots	2.0	0.625151	1	0.0
287.733365	1.064	ColorDots	-2.0	1.3059479999999999	1	1.0
293.316786	1.064	ColorDots	0.5	0.9024139999999999	1	0.0
298.90019700000005	2.5	Missed	0.125	n/a	1	n/a
303.000156	1.064	ColorDots	0.125	1.031108	1	1.0
308.583448	1.064	ColorDots	1.0	0.8787969999999999	1	0.0
315.168003	1.064	ColorDots	2.0	0.7102189999999999	1	0.0
320.75014	1.064	ColorDots	-2.0	0.740113	1	1.0
330.833446	1.064	ColorDots	-2.0	0.9518639999999999	1	1.0
334.400122	1.064	ColorDots	-0.25	1.301082	1	1.0
341.483493	1.064	ColorDots	1.0	0.768788	1	0.0
350.566843	1.064	ColorDots	0.25	1.4874399999999999	1	0.0
359.150004	1.064	ColorDots	-1.0	0.9592879999999999	1	1.0
364.217938	1.064	ColorDots	0.5	1.4713399999999999	1	0.0
370.783434	2.5	Missed	0.0	n/a	1	n/a
374.383451	1.064	ColorDots	0.5	1.584794	1	0.0
377.966892	1.064	ColorDots	0.125	1.3384	1	0.0
383.050101	1.064	ColorDots	-0.25	0.7371850000000001	1	1.0
392.63349	1.064	ColorDots	-0.25	1.112747	1	1.0
