onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016579	1.255	CorrectRejection	n/a	1.774	0	0	0.0
9.516577	1.255	FalseAlarm	n/a	0.8270000000000001	0	0	1.0
15.51655	1.255	Hit	8.066667	0.843	0	1	1.0
19.51659	1.255	CorrectRejection	n/a	0.9329999999999999	0	0	0.0
26.01659	1.255	CorrectRejection	n/a	0.903	0	0	0.0
31.51656	1.255	FalseAlarm	n/a	1.023	0	0	1.0
40.51663	1.255	CorrectRejection	n/a	0.965	0	0	0.0
46.01664	1.255	CorrectRejection	n/a	0.67	0	0	0.0
52.51659	1.255	Hit	1.0444440000000002	1.57	0	1	1.0
57.016569999999994	1.255	Miss	4.4	1.8559999999999999	0	1	0.0
62.01659	1.255	CorrectRejection	n/a	0.987	0	0	0.0
66.01659000000001	1.255	Miss	1.0	2.202	0	1	0.0
71.51659000000001	1.255	Hit	1.0444440000000002	0.8059999999999999	0	1	1.0
76.01664	1.255	CorrectRejection	n/a	1.9180000000000001	0	0	0.0
81.51658	1.255	CorrectRejection	n/a	1.568	0	0	0.0
91.51659000000001	1.255	Hit	8.688889	0.987	0	1	1.0
101.5166	1.255	CorrectRejection	n/a	1.1909999999999998	0	0	0.0
109.0166	3.0	Missed	1.5777780000000001	n/a	0	1	n/a
113.0166	1.255	CorrectRejection	n/a	0.868	0	0	0.0
118.5166	1.255	CorrectRejection	n/a	2.02	0	0	0.0
123.5166	1.255	CorrectRejection	n/a	1.104	0	0	0.0
129.5166	1.255	CorrectRejection	n/a	1.187	0	0	0.0
142.5166	1.255	CorrectRejection	n/a	0.846	0	0	0.0
147.0166	1.255	CorrectRejection	n/a	1.037	0	0	0.0
157.0166	1.255	Hit	7.7555559999999995	1.004	0	1	1.0
162.0166	1.255	CorrectRejection	n/a	0.7709999999999999	0	0	0.0
168.5166	1.255	Miss	2.311111	1.114	0	1	0.0
172.5166	1.255	Hit	4.911111	1.185	0	1	1.0
179.5166	1.255	Hit	0.088889	1.419	0	1	1.0
185.5166	1.255	Hit	3.4	0.9590000000000001	0	1	1.0
189.5166	1.255	CorrectRejection	n/a	0.924	0	0	0.0
194.0166	1.255	CorrectRejection	n/a	2.5	0	0	0.0
198.0166	1.255	Hit	3.5555559999999997	1.08	0	1	1.0
204.5166	3.0	Missed	n/a	n/a	0	0	n/a
210.5167	1.255	FalseAlarm	n/a	2.255	0	0	1.0
217.0166	1.255	Hit	6.533333	0.83	0	1	1.0
222.5166	1.255	Hit	3.088889	1.8769999999999998	0	1	1.0
226.5166	1.255	Hit	6.155556	1.159	0	1	1.0
230.5166	1.255	Hit	5.622222	1.0759999999999998	0	1	1.0
234.5166	1.255	CorrectRejection	n/a	0.955	0	0	0.0
238.5166	1.255	FalseAlarm	n/a	2.648	0	0	1.0
247.0166	1.255	Hit	7.511111	0.878	0	1	1.0
251.5166	1.255	FalseAlarm	n/a	2.441	0	0	1.0
260.0166	1.255	CorrectRejection	n/a	1.507	0	0	0.0
268.0166	1.255	Hit	3.755556	1.204	0	1	1.0
273.0166	1.255	Hit	6.022222	2.381	0	1	1.0
279.5166	1.255	CorrectRejection	n/a	1.107	0	0	0.0
284.0166	1.255	Hit	6.377778	0.727	0	1	1.0
290.5166	1.255	CorrectRejection	n/a	1.1840000000000002	0	0	0.0
296.0166	1.255	Hit	1.244444	0.6609999999999999	0	1	1.0
