onset	duration	TRIALTYPE	DELTAVALUE	RESPONSE_TIME	MEAN_VALUE	VALUE_RIGHT	VALUE_LEFT	CHOSE_RIGHT
321.5165	1.457	FoodChoice	0.0066669999999997565	1.0768360000000001	2.5166665000000004	2.52	2.5133330000000003	0.0
326.5165	1.457	FoodChoice	0.033333999999999975	1.1898440000000001	0.59	0.606667	0.573333	1.0
332.0165	3.0	Missed	1.4	n/a	0.773333	1.473333	0.07333300000000001	n/a
338.5166	1.457	FoodChoice	1.413333	0.963764	0.8066665000000001	1.513333	0.1	1.0
343.5165	1.457	FoodChoice	0.006666999999999992	1.055823	0.0566665	0.06	0.053333000000000005	0.0
349.5166	1.457	FoodChoice	1.4	1.518774	0.78	1.48	0.08	0.0
358.5166	1.457	FoodChoice	-0.033333999999999975	0.956785	0.59	0.573333	0.606667	0.0
365.0165	1.457	FoodChoice	-0.5333330000000003	1.1828290000000001	1.7466665000000001	1.48	2.0133330000000003	1.0
369.0165	1.457	FoodChoice	0.01333300000000004	1.231832	1.0333335	1.04	1.026667	0.0
378.5165	1.457	FoodChoice	-0.6933330000000002	1.292832	1.8733335000000002	1.526667	2.22	0.0
383.5166	1.457	FoodChoice	-0.039999999999999813	1.412814	1.706667	1.686667	1.7266669999999997	0.0
392.0165	1.457	FoodChoice	1.8533330000000003	1.657837	1.0866665000000002	2.0133330000000003	0.16	1.0
396.5165	1.457	FoodChoice	0.006667000000000006	1.349834	0.16333350000000002	0.166667	0.16	1.0
402.5165	1.457	FoodChoice	-0.046665999999999985	1.545833	0.21	0.186667	0.23333299999999998	1.0
407.5165	1.457	FoodChoice	0.18000000000000016	1.347842	2.363333	2.453333	2.273333	1.0
413.5165	1.457	FoodChoice	0.006666999999999992	1.206836	0.0766665	0.08	0.07333300000000001	0.0
419.0166	1.457	FoodChoice	-0.01999999999999999	1.0947770000000001	0.11	0.1	0.12	1.0
