onset	duration	TRIALTYPE	COHERENCE	RESPONSE_TIME	BUTTON_ORDER	CHOSE_RIGHT
2.050119	1.064	ColorDots	0.0	0.8527239999999999	1	1.0
6.133298	1.064	ColorDots	1.0	0.682595	1	0.0
12.216806	1.064	ColorDots	-0.5	0.717023	1	1.0
15.783435	1.064	ColorDots	0.25	1.074389	1	0.0
21.36681	1.064	ColorDots	-2.0	0.663111	1	1.0
25.433432	1.064	ColorDots	0.125	1.015488	1	1.0
32.499978999999996	1.064	ColorDots	0.5	0.814941	1	0.0
37.583431	1.064	ColorDots	-0.25	1.060489	1	1.0
41.166848	1.064	ColorDots	-1.0	0.63298	1	1.0
49.733431	1.064	ColorDots	-0.5	0.674461	1	1.0
54.317976	1.064	ColorDots	-0.5	1.376943	1	1.0
57.89996800000001	2.5	Missed	-0.5	n/a	1	n/a
61.49998000000001	1.064	ColorDots	1.0	0.9369209999999999	1	1.0
70.583433	1.064	ColorDots	0.125	1.0833959999999998	1	1.0
76.66678	1.064	ColorDots	0.125	0.9451129999999999	1	0.0
80.749969	1.064	ColorDots	-0.5	0.81896	1	1.0
86.33337	1.064	ColorDots	0.25	1.217454	1	0.0
96.91678399999999	1.064	ColorDots	0.0	1.9161150000000002	1	1.0
100.49996	1.064	ColorDots	-1.0	0.573965	1	1.0
108.083382	1.064	ColorDots	0.125	1.0225440000000001	1	0.0
112.168027	2.5	Missed	0.125	n/a	1	n/a
115.766768	2.5	Missed	0.25	n/a	1	n/a
121.34998200000001	1.064	ColorDots	-0.125	1.383851	1	1.0
124.933375	1.064	ColorDots	0.0	1.637523	1	0.0
129.017102	1.064	ColorDots	0.125	1.8098189999999998	1	0.0
134.60003799999998	1.064	ColorDots	2.0	1.366834	1	0.0
144.183433	1.064	ColorDots	-2.0	1.74849	1	1.0
147.768006	1.064	ColorDots	0.0	0.999814	1	1.0
154.333371	1.064	ColorDots	2.0	0.771547	1	0.0
160.401207	1.064	ColorDots	0.25	2.277691	1	0.0
165.966704	1.064	ColorDots	-2.0	0.623224	1	1.0
171.549974	1.064	ColorDots	0.25	1.511967	1	0.0
178.099972	1.064	ColorDots	1.0	1.602822	1	0.0
182.684729	1.064	ColorDots	-0.125	1.160165	1	1.0
186.249991	1.064	ColorDots	2.0	0.738933	1	0.0
191.316606	1.064	ColorDots	0.0	1.088291	1	1.0
197.883389	1.064	ColorDots	0.0	1.944555	1	1.0
203.466627	2.5	Missed	2.0	n/a	1	n/a
207.566822	1.064	ColorDots	1.0	1.146098	1	0.0
211.65003	1.064	ColorDots	0.0	1.2498639999999999	1	1.0
219.73343300000002	1.064	ColorDots	0.5	0.724459	1	1.0
223.79998700000002	1.064	ColorDots	0.5	1.3119100000000001	1	0.0
227.86678500000002	1.064	ColorDots	-1.0	0.722146	1	1.0
237.93343900000002	1.064	ColorDots	-0.125	1.6644849999999998	1	1.0
250.01676400000002	1.064	ColorDots	2.0	0.770103	1	0.0
254.083442	1.064	ColorDots	-0.5	0.991402	1	1.0
259.149981	1.064	ColorDots	0.0	1.4949379999999999	1	0.0
262.73337200000003	1.064	ColorDots	-2.0	0.878548	1	1.0
266.800025	1.064	ColorDots	0.5	1.000807	1	1.0
271.36771600000003	1.064	ColorDots	-0.25	1.525207	1	1.0
278.950026	1.064	ColorDots	-0.25	0.8958959999999999	1	1.0
287.533281	2.5	Missed	2.0	n/a	1	n/a
292.133435	1.064	ColorDots	0.25	2.1954860000000003	1	1.0
299.71678199999997	1.064	ColorDots	-0.25	1.336055	1	1.0
303.283433	2.5	Missed	-0.5	n/a	1	n/a
308.38343199999997	1.064	ColorDots	-0.5	0.778488	1	1.0
311.967866	2.5	Missed	0.5	n/a	1	n/a
319.066782	1.064	ColorDots	-0.25	0.866143	1	1.0
323.64997	1.064	ColorDots	0.25	1.664955	1	1.0
327.234575	2.5	Missed	0.125	n/a	1	n/a
332.83343199999996	2.5	Missed	-0.25	n/a	1	n/a
338.433433	1.064	ColorDots	1.0	1.318499	1	0.0
344.518038	2.5	Missed	2.0	n/a	1	n/a
350.616787	2.5	Missed	0.5	n/a	1	n/a
358.71679	1.064	ColorDots	2.0	0.706071	1	0.0
362.799984	1.064	ColorDots	-0.125	1.235894	1	1.0
368.383373	1.064	ColorDots	2.0	0.798525	1	0.0
376.950039	1.064	ColorDots	-2.0	0.7578590000000001	1	1.0
384.533433	1.064	ColorDots	-2.0	0.602391	1	1.0
388.116679	1.064	ColorDots	2.0	1.147247	1	0.0
