onset	duration	TRIALTYPE	COHERENCE	RESPONSE_TIME	BUTTON_ORDER	CHOSE_RIGHT
2.049988	1.064	ColorDots	2.0	0.79394	1	0.0
10.133374	1.064	ColorDots	0.125	1.04955	1	0.0
14.21671	1.064	ColorDots	0.0	0.94619	1	1.0
21.799986999999998	1.064	ColorDots	-2.0	0.670937	1	1.0
26.383373	1.064	ColorDots	-0.125	0.63955	1	1.0
32.966705	1.064	ColorDots	0.5	1.2261090000000001	1	0.0
37.051251	1.064	ColorDots	-0.125	1.304648	1	1.0
40.633435	1.064	ColorDots	-0.25	1.04446	1	1.0
45.716707	1.064	ColorDots	-0.125	0.9671290000000001	1	1.0
51.301204	1.064	ColorDots	-1.0	0.853719	1	1.0
58.383435999999996	1.064	ColorDots	-0.125	1.476485	1	1.0
62.46668199999999	1.064	ColorDots	1.0	0.942212	1	0.0
68.05000799999999	1.064	ColorDots	0.25	0.7218859999999999	1	1.0
75.616708	1.064	ColorDots	-0.5	1.540215	1	1.0
83.699997	1.064	ColorDots	0.5	0.8369120000000001	1	0.0
94.26663	1.064	ColorDots	-0.125	1.248292	1	0.0
100.333304	1.064	ColorDots	-0.125	0.911618	1	1.0
103.899977	1.064	ColorDots	1.0	0.824946	1	0.0
110.48341299999998	1.064	ColorDots	0.125	1.7424819999999999	1	0.0
116.551277	1.064	ColorDots	-1.0	0.668589	1	1.0
120.13343400000001	1.064	ColorDots	0.0	1.459399	1	1.0
123.699982	1.064	ColorDots	-0.25	0.90594	1	1.0
128.783379	1.064	ColorDots	0.0	1.319461	1	1.0
132.350029	1.064	ColorDots	0.0	0.689917	1	0.0
139.916783	1.064	ColorDots	0.25	0.6941390000000001	1	0.0
145.483376	1.064	ColorDots	-0.125	0.659431	1	1.0
149.066791	1.064	ColorDots	-0.5	0.527135	1	1.0
152.634601	1.064	ColorDots	-0.5	0.616226	1	1.0
156.700031	1.064	ColorDots	-1.0	0.483804	1	1.0
163.767977	1.064	ColorDots	0.125	0.48094499999999996	1	1.0
169.35003	1.064	ColorDots	0.25	0.583806	1	0.0
177.933476	1.064	ColorDots	-2.0	0.601404	1	1.0
183.51681000000002	1.064	ColorDots	-0.125	2.442073	1	1.0
188.099985	1.064	ColorDots	-0.5	0.720938	1	1.0
191.683435	1.064	ColorDots	0.0	1.325494	1	1.0
195.267764	1.064	ColorDots	0.0	0.729106	1	1.0
200.850028	1.064	ColorDots	-2.0	0.600773	1	1.0
205.433372	1.064	ColorDots	1.0	0.957519	1	0.0
209.516767	1.064	ColorDots	0.0	0.9751350000000001	1	0.0
213.099983	1.064	ColorDots	-0.5	0.5899439999999999	1	0.0
219.18341	1.064	ColorDots	2.0	0.7674890000000001	1	0.0
225.766783	1.064	ColorDots	-2.0	0.593144	1	1.0
235.850019	1.064	ColorDots	2.0	0.689909	1	0.0
239.934577	1.064	ColorDots	-2.0	0.640321	1	1.0
243.499987	1.064	ColorDots	0.0	1.536914	1	1.0
248.583381	1.064	ColorDots	-2.0	0.545546	1	1.0
254.16679	1.064	ColorDots	-0.25	0.784017	1	1.0
258.75003599999997	1.064	ColorDots	-0.125	2.190887	1	1.0
264.333372	1.064	ColorDots	0.25	1.309549	1	0.0
270.416783	1.064	ColorDots	2.0	0.49214399999999997	1	0.0
273.999986	1.064	ColorDots	-1.0	0.678867	1	1.0
279.566784	1.064	ColorDots	0.25	1.7230279999999998	1	0.0
283.14997	1.064	ColorDots	0.0	1.019895	1	1.0
287.21671000000003	1.064	ColorDots	0.0	1.633161	1	1.0
292.300053	1.064	ColorDots	-2.0	0.73187	1	1.0
296.384573	1.064	ColorDots	-1.0	0.750304	1	1.0
302.44998300000003	1.064	ColorDots	-0.25	0.928939	1	0.0
306.534609	1.064	ColorDots	-1.0	0.636312	1	1.0
314.099975	1.064	ColorDots	0.25	1.799991	1	0.0
323.683291	1.064	ColorDots	0.125	2.0416060000000003	1	1.0
327.23323700000003	1.064	ColorDots	0.5	1.338659	1	0.0
331.30002	1.064	ColorDots	0.0	1.762778	1	0.0
336.88331600000004	2.5	Missed	0.0	n/a	1	n/a
340.983314	1.064	ColorDots	0.5	1.150507	1	0.0
349.549973	1.064	ColorDots	-0.125	1.532957	1	1.0
358.133373	1.064	ColorDots	0.125	1.16455	1	0.0
362.21671200000003	1.064	ColorDots	-0.125	2.070211	1	1.0
371.283437	1.064	ColorDots	0.0	0.752444	1	1.0
383.34995699999996	1.064	ColorDots	-0.5	0.670967	1	1.0
387.916707	1.064	ColorDots	0.0	1.513216	1	0.0
