onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016793	1.255	CorrectRejection	n/a	1.58	0	0	0.0
11.01677	1.255	Hit	5.844444	0.856	0	1	1.0
16.0168	1.255	Miss	2.777778	1.4369999999999998	0	1	0.0
24.01679	1.255	Hit	8.044444	1.079	0	1	1.0
32.51678	1.255	Hit	0.733333	1.0859999999999999	0	1	1.0
39.01679	1.255	CorrectRejection	n/a	0.9990000000000001	0	0	0.0
43.51683	1.255	Hit	8.133333	0.7659999999999999	0	1	1.0
48.51679	1.255	Hit	9.022222	1.308	0	1	1.0
53.016769999999994	1.255	Hit	7.511111	0.63	0	1	1.0
58.516769999999994	1.255	Hit	8.333333	1.224	0	1	1.0
65.51683	1.255	Hit	0.466667	0.8759999999999999	0	1	1.0
72.01677	1.255	FalseAlarm	n/a	1.5419999999999998	0	0	1.0
82.01677	1.255	CorrectRejection	n/a	0.9570000000000001	0	0	0.0
92.01666	1.255	CorrectRejection	n/a	1.1340000000000001	0	0	0.0
97.51683	1.255	CorrectRejection	n/a	1.406	0	0	0.0
103.0168	1.255	FalseAlarm	n/a	1.518	0	0	1.0
107.0167	1.255	Hit	1.066667	0.858	0	1	1.0
113.5168	1.255	CorrectRejection	n/a	0.982	0	0	0.0
117.5168	1.255	Hit	5.444444	1.16	0	1	1.0
125.0168	1.255	FalseAlarm	n/a	2.021	0	0	1.0
129.0167	1.255	CorrectRejection	n/a	0.917	0	0	0.0
133.0168	1.255	Hit	0.13333299999999998	1.222	0	1	1.0
139.0168	1.255	CorrectRejection	n/a	0.917	0	0	0.0
144.0168	1.255	CorrectRejection	n/a	0.9179999999999999	0	0	0.0
151.5168	1.255	CorrectRejection	n/a	0.8959999999999999	0	0	0.0
156.0168	1.255	CorrectRejection	n/a	0.695	0	0	0.0
162.5168	1.255	Hit	2.311111	0.972	0	1	1.0
168.0168	1.255	Hit	4.377778	0.802	0	1	1.0
174.0168	1.255	CorrectRejection	n/a	2.622	0	0	0.0
179.5168	1.255	CorrectRejection	n/a	1.839	0	0	0.0
183.5168	1.255	CorrectRejection	n/a	1.103	0	0	0.0
189.5168	1.255	Miss	4.022222	0.762	0	1	0.0
198.0168	1.255	Hit	0.622222	1.611	0	1	1.0
202.0168	1.255	CorrectRejection	n/a	1.798	0	0	0.0
215.0168	1.255	CorrectRejection	n/a	2.866	0	0	0.0
219.5167	1.255	Hit	7.777778	0.657	0	1	1.0
223.5168	1.255	Hit	5.844444	0.5660000000000001	0	1	1.0
227.5168	1.255	CorrectRejection	n/a	1.003	0	0	0.0
231.5168	1.255	FalseAlarm	n/a	1.758	0	0	1.0
238.0168	1.255	Hit	6.133333	0.8859999999999999	0	1	1.0
242.0168	1.255	CorrectRejection	n/a	2.454	0	0	0.0
247.0168	1.255	Hit	3.822222	1.143	0	1	1.0
253.0168	1.255	CorrectRejection	n/a	1.0	0	0	0.0
259.5168	1.255	CorrectRejection	n/a	0.8590000000000001	0	0	0.0
269.5168	1.255	FalseAlarm	n/a	1.41	0	0	1.0
274.0167	1.255	Hit	9.666667	0.625	0	1	1.0
280.5168	1.255	Hit	0.13333299999999998	0.809	0	1	1.0
286.0168	1.255	FalseAlarm	n/a	0.89	0	0	1.0
290.5168	1.255	Hit	6.2444440000000005	0.9009999999999999	0	1	1.0
296.0168	1.255	FalseAlarm	n/a	2.022	0	0	1.0
