onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016607	1.255	CorrectRejection	n/a	1.228	0	0	0.0
9.516639	1.255	CorrectRejection	n/a	0.826	0	0	0.0
15.5166	1.255	Hit	8.8	1.252	0	1	1.0
19.516579999999998	1.255	Hit	6.311111	1.3530000000000002	0	1	1.0
26.01659	1.255	Hit	5.711111	1.024	0	1	1.0
31.516640000000002	1.255	Miss	4.955556	0.789	0	1	0.0
40.51658	1.255	CorrectRejection	n/a	1.93	0	0	0.0
46.01655	1.255	Hit	6.644444	1.063	0	1	1.0
52.51661	1.255	Hit	8.533333	0.98	0	1	1.0
57.01655	1.255	Hit	3.777778	0.9440000000000001	0	1	1.0
62.01661	1.255	CorrectRejection	n/a	1.195	0	0	0.0
66.01659000000001	1.255	FalseAlarm	n/a	1.5959999999999999	0	0	1.0
71.51661	1.255	Hit	2.2	1.166	0	1	1.0
76.01651	1.255	Hit	4.2	0.843	0	1	1.0
81.51661	1.255	FalseAlarm	n/a	2.517	0	0	1.0
91.51661	1.255	CorrectRejection	n/a	1.3559999999999999	0	0	0.0
101.5166	1.255	Hit	8.466667	1.331	0	1	1.0
109.0166	1.255	CorrectRejection	n/a	0.86	0	0	0.0
113.0166	1.255	Miss	9.911111	1.6640000000000001	0	1	0.0
118.5166	1.255	Hit	7.977778	1.084	0	1	1.0
123.5166	1.255	CorrectRejection	n/a	1.0070000000000001	0	0	0.0
129.5165	1.255	Miss	7.777778	1.808	0	1	0.0
142.5166	1.255	CorrectRejection	n/a	1.222	0	0	0.0
147.0166	1.255	CorrectRejection	n/a	1.382	0	0	0.0
157.0166	1.255	Miss	6.511111	1.47	0	1	0.0
162.0166	1.255	CorrectRejection	n/a	1.7990000000000002	0	0	0.0
168.5166	1.255	CorrectRejection	n/a	1.685	0	0	0.0
172.5166	1.255	Miss	0.244444	2.34	0	1	0.0
179.5166	1.255	Hit	7.844444	1.339	0	1	1.0
185.5166	1.255	CorrectRejection	n/a	0.9940000000000001	0	0	0.0
189.5165	1.255	Hit	4.377778	2.537	0	1	1.0
194.0166	1.255	CorrectRejection	n/a	0.919	0	0	0.0
198.0166	1.255	Hit	6.733333	0.953	0	1	1.0
204.5166	1.255	Hit	7.955556	0.833	0	1	1.0
210.5166	1.255	Hit	2.8666669999999996	0.922	0	1	1.0
217.0166	1.255	CorrectRejection	n/a	1.124	0	0	0.0
222.5166	1.255	CorrectRejection	n/a	0.8809999999999999	0	0	0.0
226.5165	1.255	CorrectRejection	n/a	1.1440000000000001	0	0	0.0
230.5165	1.255	CorrectRejection	n/a	1.589	0	0	0.0
234.5166	1.255	Hit	5.355556	1.023	0	1	1.0
238.5166	1.255	CorrectRejection	n/a	1.17	0	0	0.0
247.0166	1.255	Hit	5.377778	1.781	0	1	1.0
251.5165	1.255	FalseAlarm	n/a	1.256	0	0	1.0
260.0166	1.255	FalseAlarm	n/a	1.383	0	0	1.0
268.0166	1.255	Miss	9.022222	1.9409999999999998	0	1	0.0
273.0166	1.255	Hit	1.244444	1.5290000000000001	0	1	1.0
279.5165	1.255	Hit	1.355556	1.49	0	1	1.0
284.0165	1.255	CorrectRejection	n/a	0.955	0	0	0.0
290.5166	1.255	Hit	3.022222	1.078	0	1	1.0
296.0166	1.255	Hit	4.955556	1.012	0	1	1.0
