onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.01666	1.255	Hit	4.911111	1.29	0	1	1.0
7.5166520000000006	1.255	Miss	0.288889	1.1440000000000001	0	1	0.0
13.01667	1.255	CorrectRejection	n/a	1.105	0	0	0.0
19.51667	1.255	Hit	6.644444	0.765	0	1	1.0
24.51665	1.255	Hit	1.8666669999999999	0.833	0	1	1.0
29.01657	1.255	CorrectRejection	n/a	0.924	0	0	0.0
33.01665	1.255	CorrectRejection	n/a	0.983	0	0	0.0
40.51667	1.255	Hit	4.044444	1.19	0	1	1.0
53.51665	1.255	Hit	0.177778	1.301	0	1	1.0
59.51661	1.255	Hit	9.111111	0.882	0	1	1.0
63.51661	1.255	CorrectRejection	n/a	0.878	0	0	0.0
67.5167	1.255	Hit	9.466667	0.8	0	1	1.0
71.51666999999999	1.255	Hit	1.066667	1.435	0	1	1.0
77.51666999999999	1.255	Hit	5.7555559999999995	1.113	0	1	1.0
83.0167	1.255	CorrectRejection	n/a	1.331	0	0	0.0
87.01661	1.255	FalseAlarm	n/a	1.6059999999999999	0	0	1.0
92.01666999999999	1.255	CorrectRejection	n/a	0.8240000000000001	0	0	0.0
98.51666	1.255	Hit	0.377778	1.143	0	1	1.0
103.5167	1.255	Hit	7.355556	0.765	0	1	1.0
113.5167	1.255	CorrectRejection	n/a	1.182	0	0	0.0
117.5167	1.255	Hit	1.466667	0.897	0	1	1.0
127.5167	1.255	CorrectRejection	n/a	1.02	0	0	0.0
133.0167	1.255	Miss	7.777778	1.215	0	1	0.0
137.5166	1.255	Hit	2.688889	0.98	0	1	1.0
146.0165	1.255	Hit	6.777778	1.244	0	1	1.0
153.0166	1.255	Hit	7.844444	0.8759999999999999	0	1	1.0
158.5167	1.255	CorrectRejection	n/a	0.8290000000000001	0	0	0.0
163.0167	1.255	Hit	7.0	0.8420000000000001	0	1	1.0
169.0166	1.255	Hit	9.288889	0.945	0	1	1.0
173.5167	1.255	CorrectRejection	n/a	0.982	0	0	0.0
181.5165	1.255	CorrectRejection	n/a	1.156	0	0	0.0
190.5166	1.255	CorrectRejection	n/a	1.278	0	0	0.0
197.0167	1.255	Hit	8.822222	1.36	0	1	1.0
207.0167	1.255	Hit	4.888889	0.986	0	1	1.0
213.5167	1.255	CorrectRejection	n/a	2.92	0	0	0.0
220.0167	1.255	CorrectRejection	n/a	0.835	0	0	0.0
224.5166	1.255	Hit	6.066667	1.2429999999999999	0	1	1.0
228.5167	1.255	CorrectRejection	n/a	0.935	0	0	0.0
232.5167	1.255	CorrectRejection	n/a	1.047	0	0	0.0
240.0167	1.255	Hit	6.711111	1.067	0	1	1.0
244.5166	1.255	FalseAlarm	n/a	1.923	0	0	1.0
250.0166	1.255	CorrectRejection	n/a	0.8340000000000001	0	0	0.0
254.0167	1.255	CorrectRejection	n/a	2.7310000000000003	0	0	0.0
260.5166	1.255	Miss	6.555556	0.8170000000000001	0	1	0.0
269.0166	1.255	Hit	0.911111	0.877	0	1	1.0
273.0166	1.255	Hit	0.488889	0.807	0	1	1.0
278.0166	1.255	Hit	9.911111	0.618	0	1	1.0
283.5167	1.255	FalseAlarm	n/a	1.1340000000000001	0	0	1.0
290.0166	1.255	CorrectRejection	n/a	1.158	0	0	0.0
296.0166	1.255	Miss	1.8	1.787	0	1	0.0
