onset	duration	trial_type	disobedience	InstructionToButtonTime	InstructionToToneTime
-1.87	0.0	Unknown2	n/a	n/a	n/a
-1.87	0.0	Unknown2	n/a	n/a	n/a
-1.87	0.0	Unknown1	n/a	n/a	n/a
0.0	0.0	FirstfMRITrigger	n/a	n/a	n/a
1.1799999999999997	0.0	FixationCross	n/a	n/a	n/a
6.180000000000001	0.5	AudioDontSendShock	n/a	n/a	n/a
6.180000000000001	0.5	Audio	n/a	n/a	n/a
6.180000000000001	0.5	AudioInstruction	n/a	3.6499999999999977	5.809999999999998
8.71	0.0	Map1	n/a	n/a	n/a
9.829999999999998	0.0	CommanderNoShock	n/a	n/a	n/a
9.629999999999999	1.5	WitnessNoShock	n/a	n/a	n/a
11.329999999999998	0.0	AgentNoShock	n/a	n/a	n/a
11.79	1.5	WitnessNoShock	n/a	n/a	n/a
11.989999999999998	0.0	LogNoShock	n/a	n/a	n/a
11.989999999999998	0.2	Audio	n/a	n/a	n/a
11.989999999999998	0.2	AudioTone	n/a	n/a	n/a
11.999999999999998	9.28	RatingScale	n/a	n/a	n/a
21.41	0.0	FixationCross	n/a	n/a	n/a
