onset	duration	trial_type	InstructionToButtonTime	InstructionToToneTime
-29.45	0.0	Unknown2	n/a	n/a
-29.45	0.0	Unknown2	n/a	n/a
0.0	0.0	FirstfMRITrigger	n/a	n/a
1.0300000000000011	0.0	FixationCross	n/a	n/a
3.0400000000000027	0.5	AudioYouCanChoose	n/a	n/a
3.0400000000000027	0.5	AudioInstruction	3.780000000000001	4.439999999999998
3.0400000000000027	0.5	Audio	n/a	n/a
5.570000000000004	0.0	Map1	n/a	n/a
6.820000000000004	0.0	Button	n/a	n/a
6.820000000000004	0.0	AgentNoShock	n/a	n/a
7.28	1.5	WitnessNoShock	n/a	n/a
7.48	0.2	AudioTone	n/a	n/a
7.48	0.0	LogNoShock	n/a	n/a
7.48	0.2	Audio	n/a	n/a
7.499999999999998	9.209999999999999	RatingScale	n/a	n/a
16.84	0.0	FixationCross	n/a	n/a
18.63	0.0	FixationCross	n/a	n/a
23.63	0.5	AudioInstruction	3.3400000000000034	3.6000000000000014
23.63	0.5	AudioYouCanChoose	n/a	n/a
23.63	0.5	Audio	n/a	n/a
26.16	0.0	Map1	n/a	n/a
26.970000000000002	0.0	Button	n/a	n/a
26.970000000000002	0.0	AgentNoShock	n/a	n/a
27.03	1.5	WitnessNoShock	n/a	n/a
27.23	0.2	AudioTone	n/a	n/a
27.23	0.2	Audio	n/a	n/a
27.23	0.2	AudioTone	n/a	n/a
27.240000000000002	8.04999999999999	RatingScale	n/a	n/a
35.39999999999999	0.0	FixationCross	n/a	n/a
37.11	0.0	FixationCross	n/a	n/a
38.50999999999999	0.5	AudioInstruction	3.2700000000000102	3.5400000000000063
38.50999999999999	0.5	Audio	n/a	n/a
38.50999999999999	0.5	AudioYouCanChoose	n/a	n/a
41.03	0.0	Map2	n/a	n/a
41.78	0.0	AgentNoShock	n/a	n/a
41.58	1.5	WitnessNoShock	n/a	n/a
42.05	0.2	Audio	n/a	n/a
42.05	0.0	LogNoShock	n/a	n/a
42.05	0.2	AudioTone	n/a	n/a
42.05	0.2	AudioTone	n/a	n/a
42.059999999999995	9.059999999999995	RatingScale	n/a	n/a
51.230000000000004	0.0	FixationCross	n/a	n/a
52.45	0.0	FixationCross	n/a	n/a
53.849999999999994	0.5	Audio	n/a	n/a
53.849999999999994	0.5	AudioInstruction	3.1599999999999966	4.019999999999996
53.849999999999994	0.5	AudioYouCanChoose	n/a	n/a
56.379999999999995	0.0	Map2	n/a	n/a
57.00999999999999	0.0	AgentNoShock	n/a	n/a
56.80999999999999	1.5	WitnessNoShock	n/a	n/a
57.86999999999999	0.2	AudioTone	n/a	n/a
57.86999999999999	0.0	LogNoShock	n/a	n/a
57.86999999999999	0.2	AudioTone	n/a	n/a
57.86999999999999	0.2	Audio	n/a	n/a
57.87999999999999	11.070000000000014	RatingScale	n/a	n/a
69.05	0.0	FixationCross	n/a	n/a
70.64999999999999	0.0	FixationCross	n/a	n/a
74.46	0.5	AudioYouCanChoose	n/a	n/a
74.46	0.5	AudioInstruction	3.1899999999999977	4.060000000000002
74.46	0.5	Audio	n/a	n/a
76.99	0.0	Map1	n/a	n/a
77.64999999999999	0.0	AgentNoShock	n/a	n/a
77.44999999999999	1.5	WitnessNoShock	n/a	n/a
78.52	0.2	AudioTone	n/a	n/a
78.52	0.2	Audio	n/a	n/a
78.52	0.0	LogNoShock	n/a	n/a
78.52	0.2	AudioTone	n/a	n/a
78.53	9.079999999999998	RatingScale	n/a	n/a
87.72	0.0	FixationCross	n/a	n/a
89.74	0.0	FixationCross	n/a	n/a
94.14	0.5	Audio	n/a	n/a
94.14	0.5	AudioYouCanChoose	n/a	n/a
94.14	0.5	AudioInstruction	3.219999999999999	3.759999999999991
96.67	0.0	Map2	n/a	n/a
97.36	0.0	AgentNoShock	n/a	n/a
97.16	1.5	WitnessNoShock	n/a	n/a
97.89999999999999	0.2	AudioTone	n/a	n/a
97.89999999999999	0.0	LogNoShock	n/a	n/a
97.89999999999999	0.2	AudioTone	n/a	n/a
97.89999999999999	0.2	Audio	n/a	n/a
97.91	10.040000000000006	RatingScale	n/a	n/a
108.05999999999999	0.0	FixationCross	n/a	n/a
109.68999999999998	0.0	FixationCross	n/a	n/a
116.49	0.5	Audio	n/a	n/a
116.49	0.5	AudioInstruction	3.25	4.0800000000000125
116.49	0.5	AudioYouCanChoose	n/a	n/a
119.02	0.0	Map1	n/a	n/a
119.74	0.0	Button	n/a	n/a
