onset	duration	trial_type	value	sample	stim_file
396.19287109375	0.0	startOfRememberedClipFirstWatch	3	811403	Reservoir_Dogs_3216_3226_41.txt
406.20068359375	0.0	endOfClip	129	831899	n/a
409.5263671875	0.0	startOfSecondWatch	128	838710	Reservoir_Dogs_3216_3226_41.txt
410.5361328125	0.0	firstRecognitionClick	257	840778	n/a
411.8076171875	0.0	recognitionClick	160	843382	n/a
413.2080078125	0.0	recognitionClick	160	846250	n/a
415.73876953125	0.0	recognitionClick	160	851433	n/a
419.138671875	0.0	recognitionClick	160	858396	n/a
419.53759765625	0.0	endOfClip	129	859213	n/a
422.2861328125	0.0	trialEnd	193	864842	n/a
422.486328125	0.0	trialStart	192	865252	n/a
424.3212890625	0.0	startOfRememberedClipFirstWatch	3	869010	Mad_Max_Fury_Road_1894_1904_115.txt
434.32958984375	0.0	endOfClip	129	889507	n/a
437.541015625	0.0	startOfSecondWatch	128	896084	Mad_Max_Fury_Road_1894_1904_115.txt
438.61962890625	0.0	firstRecognitionClick	257	898293	n/a
444.150390625	0.0	recognitionClick	160	909620	n/a
447.54931640625	0.0	endOfClip	129	916581	n/a
450.07177734375	0.0	trialEnd	193	921747	n/a
450.2705078125	0.0	trialStart	192	922154	n/a
451.97802734375	0.0	startOfRememberedClipFirstWatch	3	925651	The_Great_Gatsby_1716_1726_9.txt
461.986328125	0.0	endOfClip	129	946148	n/a
465.0	0.0	startOfSecondWatch	128	952320	The_Great_Gatsby_1716_1726_9.txt
466.01220703125	0.0	firstRecognitionClick	257	954393	n/a
468.47607421875	0.0	recognitionClick	160	959439	n/a
472.748046875	0.0	recognitionClick	160	968188	n/a
475.01123046875	0.0	endOfClip	129	972823	n/a
477.73388671875	0.0	trialEnd	193	978399	n/a
477.93359375	0.0	trialStart	192	978808	n/a
479.74755859375	0.0	startOfNotRecognisedClip	1	982523	The_Mask_785_795_8.txt
489.755859375	0.0	endOfClip	129	1003020	n/a
492.861328125	0.0	trialEnd	193	1009380	n/a
493.93505859375	0.0	trialStart	192	1011579	n/a
495.70947265625	0.0	startOfNotRecognisedClip	1	1015213	The_Hunger_Games_1_1363_1373_7.txt
505.7177734375	0.0	endOfClip	129	1035710	n/a
507.39599609375	0.0	trialEnd	193	1039147	n/a
507.595703125	0.0	trialStart	192	1039556	n/a
509.36572265625	0.0	startOfRecognisedClipFirstWatch	2	1043181	Elysium_2280_2290_7.txt
519.3740234375	0.0	endOfClip	129	1063678	n/a
523.5361328125	0.0	startOfSecondWatch	128	1072202	Elysium_2280_2290_7.txt
524.416015625	0.0	firstRecognitionClick	257	1074004	n/a
526.68359375	0.0	recognitionClick	160	1078648	n/a
533.546875	0.0	endOfClip	129	1092704	n/a
535.97216796875	0.0	trialEnd	193	1097671	n/a
536.1728515625	0.0	trialStart	192	1098082	n/a
537.9609375	0.0	startOfNotRecognisedClip	1	1101744	127_hours_2182_2192_5.txt
547.96923828125	0.0	endOfClip	129	1122241	n/a
549.65185546875	0.0	trialEnd	193	1125687	n/a
549.8515625	0.0	trialStart	192	1126096	n/a
551.6494140625	0.0	startOfNotRecognisedClip	1	1129778	Fargo_987_997_10.txt
561.658203125	0.0	endOfClip	129	1150276	n/a
563.1640625	0.0	trialEnd	193	1153360	n/a
563.36328125	0.0	trialStart	192	1153768	n/a
565.16650390625	0.0	startOfNotRecognisedClip	1	1157461	James_Bond_-_Die_Another_Day_1524_1534_12.txt
575.1748046875	0.0	endOfClip	129	1177958	n/a
576.763671875	0.0	trialEnd	193	1181212	n/a
576.9638671875	0.0	trialStart	192	1181622	n/a
578.779296875	0.0	startOfNotRecognisedClip	1	1185340	Primal_Fear_628_638_149.txt
588.7900390625	0.0	endOfClip	129	1205842	n/a
590.40234375	0.0	trialEnd	193	1209144	n/a
590.6025390625	0.0	trialStart	192	1209554	n/a
592.458984375	0.0	startOfRememberedClipFirstWatch	3	1213356	Wild_2441_2451_255.txt
602.46728515625	0.0	endOfClip	129	1233853	n/a
605.86474609375	0.0	startOfSecondWatch	128	1240811	Wild_2441_2451_255.txt
606.74560546875	0.0	firstRecognitionClick	257	1242615	n/a
615.87353515625	0.0	endOfClip	129	1261309	n/a
618.41748046875	0.0	trialEnd	193	1266519	n/a
618.61767578125	0.0	trialStart	192	1266929	n/a
620.40576171875	0.0	startOfNotRecognisedClip	1	1270591	Snake_Eyes_3294_3304_170.txt
630.41455078125	0.0	endOfClip	129	1291089	n/a
631.89013671875	0.0	trialEnd	193	1294111	n/a
632.09130859375	0.0	trialStart	192	1294523	n/a
633.8330078125	0.0	startOfRecognisedClipFirstWatch	2	1298090	The_Wicker_Man_4921_4931_15.txt
643.84423828125	0.0	endOfClip	129	1318593	n/a
647.09521484375	0.0	startOfSecondWatch	128	1325251	The_Wicker_Man_4921_4931_15.txt
648.90478515625	0.0	firstRecognitionClick	257	1328957	n/a
650.24072265625	0.0	recognitionClick	160	1331693	n/a
651.30517578125	0.0	recognitionClick	160	1333873	n/a
653.173828125	0.0	recognitionClick	160	1337700	n/a
655.04052734375	0.0	recognitionClick	160	1341523	n/a
657.103515625	0.0	endOfClip	129	1345748	n/a
659.58544921875	0.0	trialEnd	193	1350831	n/a
659.78564453125	0.0	trialStart	192	1351241	n/a
661.5224609375	0.0	startOfRememberedClipFirstWatch	3	1354798	Forrest_Gump_1782_1792_28.txt
671.53076171875	0.0	endOfClip	129	1375295	n/a
674.81591796875	0.0	startOfSecondWatch	128	1382023	Forrest_Gump_1782_1792_28.txt
676.02978515625	0.0	firstRecognitionClick	257	1384509	n/a
681.958984375	0.0	recognitionClick	160	1396652	n/a
