onset	duration	stim_file
8.5	1	music_9_ramp10_FILT.wav
18.1	1	speech_9_ramp10_FILT.wav
25.3	1	voice_7_ramp10_FILT.wav
32.5	1	tools_11_ramp10_FILT.wav
39.7	1	nature_11_ramp10_FILT.wav
46.9	1	speech_8_ramp10_FILT.wav
56.5	1	speech_10_ramp10_FILT.wav
63.7	1	voice_9_ramp10_FILT.wav
70.9	1	nature_7_ramp10_FILT.wav
78.1	1	nature_7_ramp10_FILT.wav
90.1	1	animal_7_ramp10_FILT.wav
97.3	1	animal_11_ramp10_FILT.wav
111.7	1	voice_11_ramp10_FILT.wav
118.9	1	nature_12_ramp10_FILT.wav
130.9	1	music_7_ramp10_FILT.wav
140.5	1	tools_12_ramp10_FILT.wav
150.1	1	tools_12_ramp10_FILT.wav
159.7	1	speech_12_ramp10_FILT.wav
166.9	1	tools_7_ramp10_FILT.wav
174.1	1	music_8_ramp10_FILT.wav
181.3	1	animal_12_ramp10_FILT.wav
188.5	1	voice_8_ramp10_FILT.wav
193.3	1	animal_8_ramp10_FILT.wav
198.1	1	animal_10_ramp10_FILT.wav
202.9	1	music_11_ramp10_FILT.wav
212.5	1	voice_10_ramp10_FILT.wav
231.7	1	speech_7_ramp10_FILT.wav
236.5	1	nature_10_ramp10_FILT.wav
241.3	1	voice_12_ramp10_FILT.wav
246.1	1	music_12_ramp10_FILT.wav
255.7	1	music_10_ramp10_FILT.wav
265.3	1	nature_9_ramp10_FILT.wav
270.1	1	tools_10_ramp10_FILT.wav
274.9	1	tools_8_ramp10_FILT.wav
284.5	1	animal_9_ramp10_FILT.wav
291.7	1	tools_9_ramp10_FILT.wav
296.5	1	speech_11_ramp10_FILT.wav
303.7	1	nature_8_ramp10_FILT.wav
