onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
0.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.863
1.500	1.500	structured	1	2	5	central	canonical	canonical	0.849
3.000	1.500	structured	1	2	7	central	canonical	canonical	0.656
4.500	1.500	structured	1	2	6	central	canonical	canonical	0.563
6.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.680
7.500	1.500	structured	1	2	5	central	canonical	canonical	0.548
9.000	1.500	structured	1	2	8	central	canonical	canonical	0.601
10.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.786
12.000	1.500	structured	1	2	5	central	canonical	canonical	0.570
13.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.729
15.000	1.500	structured	1	2	7	central	canonical	canonical	0.509
16.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.450
18.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.638
19.500	1.500	structured	1	2	4	boundary	rotated	rotated	0.619
21.000	1.500	structured	1	2	8	central	canonical	canonical	0.591
22.500	1.500	structured	1	2	6	central	canonical	canonical	0.760
24.000	1.500	structured	1	2	8	central	rotated	canonical	0.558
25.500	1.500	structured	1	2	9	central	canonical	canonical	0.689
27.000	1.500	structured	1	2	5	central	canonical	canonical	0.696
28.500	1.500	structured	1	2	9	central	rotated	rotated	0.763
30.000	1.500	structured	1	2	7	central	canonical	canonical	0.814
31.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.618
33.000	1.500	structured	1	2	9	central	canonical	canonical	0.625
34.500	1.500	structured	1	2	6	central	canonical	canonical	0.697
36.000	1.500	structured	1	2	9	central	rotated	rotated	0.742
37.500	1.500	structured	1	2	6	central	rotated	rotated	0.741
39.000	1.500	structured	1	2	9	central	rotated	rotated	0.689
40.500	1.500	structured	1	2	8	central	canonical	canonical	0.734
42.000	1.500	structured	1	2	6	central	canonical	canonical	0.692
43.500	1.500	structured	1	2	9	central	canonical	canonical	0.575
45.000	1.500	structured	1	2	5	central	canonical	canonical	0.540
46.500	1.500	structured	1	2	8	central	canonical	canonical	0.498
48.000	1.500	structured	1	2	9	central	canonical	canonical	0.520
49.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.544
51.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.488
52.500	1.500	structured	1	1	1	central	canonical	canonical	0.534
54.000	1.500	structured	1	1	2	central	canonical	canonical	0.517
55.500	1.500	structured	1	1	1	central	rotated	rotated	0.721
57.000	1.500	structured	1	1	20	central	canonical	canonical	0.712
58.500	1.500	structured	1	1	2	central	canonical	canonical	0.574
60.000	1.500	structured	1	1	19	central	canonical	canonical	0.609
61.500	1.500	structured	1	1	20	central	canonical	canonical	0.573
63.000	1.500	structured	1	1	1	central	canonical	canonical	0.612
64.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.537
66.000	1.500	structured	1	1	2	central	canonical	canonical	0.477
67.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.797
69.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.623
70.500	1.500	structured	1	3	16	central	canonical	canonical	0.609
72.000	1.500	structured	1	3	12	central	canonical	canonical	0.549
73.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.578
75.000	1.500	structured	1	3	13	central	canonical	canonical	0.578
76.500	1.500	structured	1	3	14	central	canonical	canonical	0.652
78.000	1.500	structured	1	3	15	central	canonical	canonical	0.608
79.500	1.500	structured	1	3	12	central	canonical	canonical	0.547
81.000	1.500	structured	1	3	14	central	canonical	canonical	0.494
82.500	1.500	structured	1	3	16	central	canonical	canonical	0.701
84.000	1.500	structured	1	3	12	central	canonical	canonical	0.548
85.500	1.500	structured	1	3	15	central	canonical	canonical	0.625
87.000	1.500	structured	1	3	16	central	canonical	canonical	0.459
88.500	1.500	structured	1	3	14	central	canonical	canonical	0.556
90.000	1.500	structured	1	3	12	central	canonical	canonical	0.544
91.500	1.500	structured	1	3	15	central	canonical	canonical	0.593
93.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.503
94.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.476
96.000	1.500	structured	1	3	17	boundary	rotated	canonical	0.526
97.500	1.500	structured	1	3	13	central	canonical	canonical	0.563
99.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.668
100.500	1.500	structured	1	3	12	central	canonical	canonical	0.697
102.000	1.500	structured	1	3	16	central	canonical	canonical	0.547
103.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.542
105.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.533
106.500	1.500	structured	1	2	9	central	canonical	canonical	0.570
108.000	1.500	structured	1	2	7	central	canonical	canonical	0.603
109.500	1.500	structured	1	2	5	central	canonical	canonical	0.677
111.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.531
112.500	1.500	structured	1	2	8	central	canonical	canonical	0.548
114.000	1.500	structured	1	2	10	boundary	rotated	rotated	0.692
115.500	1.500	structured	1	2	8	central	rotated	rotated	0.650
117.000	1.500	structured	1	2	9	central	canonical	canonical	0.646
118.500	1.500	structured	1	2	8	central	rotated	rotated	0.739
120.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.627
121.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.639
123.000	1.500	structured	1	1	21	central	canonical	canonical	0.641
124.500	1.500	structured	1	1	1	central	canonical	canonical	0.615
126.000	1.500	structured	1	1	19	central	canonical	canonical	0.630
127.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.637
129.000	1.500	structured	1	1	1	central	canonical	canonical	0.542
130.500	1.500	structured	1	1	18	boundary	rotated	rotated	0.932
132.000	1.500	structured	1	1	1	central	rotated	rotated	0.852
133.500	1.500	structured	1	1	18	boundary	rotated	rotated	0.621
135.000	1.500	structured	1	1	1	central	rotated	rotated	0.543
136.500	1.500	structured	1	1	21	central	canonical	canonical	0.674
138.000	1.500	structured	1	1	20	central	canonical	canonical	0.626
139.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.567
141.000	1.500	structured	1	1	21	central	canonical	canonical	0.593
142.500	1.500	structured	1	1	2	central	canonical	canonical	0.611
144.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.711
145.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.560
147.000	1.500	structured	1	2	9	central	canonical	canonical	0.607
148.500	1.500	structured	1	2	4	boundary	rotated	rotated	0.861
150.000	1.500	structured	1	2	8	central	canonical	canonical	0.900
151.500	1.500	structured	1	2	6	central	canonical	canonical	0.652
153.000	1.500	structured	1	2	8	central	rotated	rotated	0.714
154.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.597
156.000	1.500	structured	1	2	5	central	canonical	canonical	0.597
157.500	1.500	structured	1	2	6	central	canonical	canonical	0.599
159.000	1.500	structured	1	2	8	central	canonical	canonical	0.658
160.500	1.500	structured	1	2	9	central	canonical	canonical	0.559
162.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.561
163.500	1.500	structured	1	2	9	central	rotated	rotated	0.745
165.000	1.500	structured	1	2	6	central	canonical	canonical	0.534
166.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.569
168.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.634
169.500	1.500	structured	1	2	10	boundary	rotated	rotated	0.714
