onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
0.000	1.500	structured	1	2	10	boundary	canonical	canonical	1.427
1.500	1.500	structured	1	2	5	central	canonical	canonical	0.759
3.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.866
4.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.713
6.000	1.500	structured	1	1	1	central	canonical	canonical	0.654
7.500	1.500	structured	1	1	3	boundary	rotated	rotated	0.741
9.000	1.500	structured	1	1	20	central	canonical	canonical	0.740
10.500	1.500	structured	1	1	1	central	canonical	canonical	0.705
12.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.617
13.500	1.500	structured	1	1	20	central	canonical	canonical	0.633
15.000	1.500	structured	1	1	2	central	canonical	canonical	0.593
16.500	1.500	structured	1	1	20	central	rotated	rotated	0.685
18.000	1.500	structured	1	1	21	central	canonical	canonical	0.685
19.500	1.500	structured	1	1	1	central	canonical	canonical	0.701
21.000	1.500	structured	1	1	21	central	rotated	rotated	0.698
22.500	1.500	structured	1	1	20	central	canonical	canonical	0.642
24.000	1.500	structured	1	1	2	central	canonical	canonical	0.594
25.500	1.500	structured	1	1	21	central	canonical	canonical	0.577
27.000	1.500	structured	1	1	2	central	rotated	rotated	0.737
28.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.759
30.000	1.500	structured	1	1	21	central	canonical	canonical	0.789
31.500	1.500	structured	1	1	1	central	canonical	canonical	0.659
33.000	1.500	structured	1	1	2	central	canonical	canonical	0.603
34.500	1.500	structured	1	1	20	central	canonical	canonical	0.546
36.000	1.500	structured	1	1	2	central	rotated	rotated	0.657
37.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.659
39.000	1.500	structured	1	1	19	central	canonical	canonical	0.776
40.500	1.500	structured	1	1	1	central	canonical	canonical	0.694
42.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.950
43.500	1.500	structured	1	1	21	central	canonical	canonical	1.093
45.000	1.500	structured	1	1	2	central	canonical	canonical	0.909
