onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	8.000	central	ocean	1	2	16	20	2	n/a	n/a
8.500	2.974	boundary2	desert	2	4	10	19	1	2	2.974
11.974	3.191	central	desert	2	5	6	2	1	1	3.191
15.665	3.374	central	ocean	1	2	9	19	2	2	3.374
19.539	3.095	central	ocean	1	1	19	13	1	2	3.095
23.134	4.280	central	forest	3	15	16	1	1	2	4.280
27.913	4.166	central	desert	2	6	16	8	2	1	4.166
32.579	3.013	central	ocean	1	19	21	15	1	1	3.013
36.092	2.372	central	forest	3	12	2	13	2	2	2.372
38.964	2.804	boundary2	forest	3	11	17	5	1	1	2.804
42.268	2.848	boundary1	desert	2	4	3	8	2	1	2.848
45.617	2.671	central	desert	2	9	6	14	1	2	2.671
48.788	3.151	central	forest	3	16	9	14	2	1	3.151
52.439	2.166	boundary1	forest	3	11	12	10	1	1	2.166
55.105	4.568	boundary1	ocean	1	3	2	4	1	2	4.568
60.173	2.849	central	ocean	1	20	1	12	1	2	2.849
63.521	3.491	central	desert	2	7	15	9	2	1	3.491
67.513	3.791	central	ocean	1	19	20	5	1	1	3.791
71.804	3.764	central	forest	3	14	15	20	1	2	3.764
76.068	4.324	central	desert	2	9	19	5	2	2	4.324
80.891	3.621	central	ocean	1	21	2	14	1	1	3.621
85.013	3.702	central	ocean	1	20	21	7	1	2	3.702
89.215	3.304	boundary2	forest	3	17	2	11	2	2	3.304
93.020	3.424	boundary1	ocean	1	18	17	20	2	2	3.424
96.944	2.948	central	desert	2	5	13	7	2	1	2.948
100.392	2.586	boundary2	ocean	1	18	3	13	1	1	2.586
103.478	3.119	central	forest	3	13	16	8	1	2	3.119
107.096	4.972	boundary1	forest	3	17	15	18	1	2	4.972
112.568	3.502	central	desert	2	8	12	5	2	2	3.502
116.570	2.597	boundary1	desert	2	10	11	9	2	1	2.597
119.667	3.366	central	forest	3	15	7	13	2	1	3.366
123.533	3.146	central	desert	2	8	9	1	1	2	3.146
127.178	3.234	central	desert	2	7	8	20	1	2	3.234
130.912	2.900	boundary2	ocean	1	3	6	18	2	1	2.900
134.312	3.187	central	forest	3	12	5	15	2	2	3.187
137.999	3.096	central	ocean	1	1	8	2	2	2	3.096
141.595	3.257	central	forest	3	16	12	19	1	2	3.257
145.352	2.634	central	forest	3	13	21	14	2	1	2.634
148.486	2.991	boundary2	desert	2	10	15	4	2	2	2.991
151.976	2.973	central	forest	3	14	12	6	1	2	2.973
155.449	3.661	central	desert	2	6	21	7	2	1	3.661
159.611	3.076	central	ocean	1	21	6	1	2	1	3.076
