onset	duration	trial_type	path_type	community	object	object_type	response	response_time
166.500	1.500	hamiltonian	backward	3	17	boundary	0	n/a
168.000	1.500	hamiltonian	backward	3	16	central	0	n/a
169.500	1.500	hamiltonian	backward	3	15	central	0	n/a
171.000	1.500	hamiltonian	backward	3	14	central	0	n/a
172.500	1.500	hamiltonian	backward	3	13	central	1	0.817
174.000	1.500	hamiltonian	backward	3	12	central	0	n/a
175.500	1.500	hamiltonian	backward	3	11	boundary	0	n/a
177.000	1.500	hamiltonian	backward	2	10	boundary	0	n/a
178.500	1.500	hamiltonian	backward	2	9	central	1	0.804
180.000	1.500	hamiltonian	backward	2	8	central	0	n/a
181.500	1.500	hamiltonian	backward	2	7	central	0	n/a
183.000	1.500	hamiltonian	backward	2	6	central	0	n/a
184.500	1.500	hamiltonian	backward	2	5	central	1	0.756
186.000	1.500	hamiltonian	backward	2	4	boundary	0	n/a
187.500	1.500	hamiltonian	backward	1	3	boundary	0	n/a
189.000	1.500	structured	structured	1	20	central	0	n/a
190.500	1.500	structured	structured	1	18	boundary	1	0.992
192.000	1.500	structured	structured	1	21	central	1	1.058
193.500	1.500	structured	structured	1	18	boundary	0	n/a
195.000	1.500	structured	structured	1	19	central	0	n/a
196.500	1.500	structured	structured	1	21	central	0	n/a
198.000	1.500	structured	structured	1	2	central	1	0.863
199.500	1.500	structured	structured	1	1	central	0	n/a
201.000	1.500	structured	structured	1	21	central	1	0.908
202.500	1.500	structured	structured	1	20	central	0	n/a
204.000	1.500	structured	structured	1	21	central	0	n/a
205.500	1.500	structured	structured	1	2	central	1	1.034
207.000	1.500	structured	structured	1	20	central	0	n/a
208.500	1.500	structured	structured	1	21	central	1	0.728
210.000	1.500	structured	structured	1	20	central	0	n/a
211.500	1.500	structured	structured	1	3	boundary	0	n/a
213.000	1.500	structured	structured	1	1	central	1	0.465
214.500	1.500	structured	structured	1	18	boundary	0	n/a
216.000	1.500	structured	structured	3	17	boundary	1	0.927
217.500	1.500	structured	structured	3	14	central	0	n/a
219.000	1.500	structured	structured	3	17	boundary	1	1.084
220.500	1.500	hamiltonian	forward	1	18	boundary	0	n/a
222.000	1.500	hamiltonian	forward	1	19	central	0	n/a
223.500	1.500	hamiltonian	forward	1	20	central	0	n/a
225.000	1.500	hamiltonian	forward	1	21	central	1	0.460
226.500	1.500	hamiltonian	forward	1	1	central	0	n/a
228.000	1.500	hamiltonian	forward	1	2	central	0	n/a
229.500	1.500	hamiltonian	forward	1	3	boundary	0	n/a
231.000	1.500	hamiltonian	forward	2	4	boundary	1	0.717
232.500	1.500	hamiltonian	forward	2	5	central	0	n/a
234.000	1.500	hamiltonian	forward	2	6	central	1	0.635
235.500	1.500	hamiltonian	forward	2	7	central	0	n/a
237.000	1.500	hamiltonian	forward	2	8	central	0	n/a
238.500	1.500	hamiltonian	forward	2	9	central	1	0.800
240.000	1.500	hamiltonian	forward	2	10	boundary	0	n/a
241.500	1.500	hamiltonian	forward	3	11	boundary	0	n/a
243.000	1.500	hamiltonian	forward	3	12	central	1	0.600
244.500	1.500	hamiltonian	forward	3	13	central	0	n/a
246.000	1.500	hamiltonian	forward	3	14	central	0	n/a
247.500	1.500	hamiltonian	forward	3	15	central	0	n/a
249.000	1.500	hamiltonian	forward	3	16	central	0	n/a
250.500	1.500	hamiltonian	forward	3	17	boundary	1	0.463
252.000	1.500	structured	structured	3	15	central	0	n/a
253.500	1.500	structured	structured	3	12	central	1	0.836
255.000	1.500	structured	structured	3	13	central	0	n/a
256.500	1.500	structured	structured	3	15	central	0	n/a
258.000	1.500	structured	structured	3	11	boundary	0	n/a
259.500	1.500	structured	structured	3	15	central	0	n/a
261.000	1.500	structured	structured	3	16	central	1	0.987
262.500	1.500	structured	structured	3	13	central	1	0.929
264.000	1.500	structured	structured	3	15	central	0	n/a
265.500	1.500	structured	structured	3	16	central	0	n/a
267.000	1.500	structured	structured	3	14	central	1	0.679
268.500	1.500	structured	structured	3	15	central	0	n/a
270.000	1.500	structured	structured	3	13	central	0	n/a
271.500	1.500	structured	structured	3	15	central	1	0.586
273.000	1.500	structured	structured	3	14	central	0	n/a
274.500	1.500	structured	structured	3	15	central	0	n/a
276.000	1.500	structured	structured	3	14	central	0	n/a
277.500	1.500	structured	structured	3	17	boundary	1	0.706
279.000	1.500	structured	structured	3	16	central	0	n/a
280.500	1.500	structured	structured	3	15	central	0	n/a
282.000	1.500	structured	structured	3	17	boundary	1	0.405
283.500	1.500	hamiltonian	forward	1	18	boundary	0	n/a
285.000	1.500	hamiltonian	forward	1	19	central	1	0.698
286.500	1.500	hamiltonian	forward	1	20	central	0	n/a
288.000	1.500	hamiltonian	forward	1	21	central	0	n/a
289.500	1.500	hamiltonian	forward	1	1	central	1	0.423
291.000	1.500	hamiltonian	forward	1	2	central	0	n/a
292.500	1.500	hamiltonian	forward	1	3	boundary	1	0.556
294.000	1.500	hamiltonian	forward	2	4	boundary	1	0.790
295.500	1.500	hamiltonian	forward	2	5	central	0	n/a
297.000	1.500	hamiltonian	forward	2	6	central	0	n/a
298.500	1.500	hamiltonian	forward	2	7	central	1	0.871
300.000	1.500	hamiltonian	forward	2	8	central	0	n/a
301.500	1.500	hamiltonian	forward	2	9	central	0	n/a
303.000	1.500	hamiltonian	forward	2	10	boundary	1	0.631
304.500	1.500	hamiltonian	forward	3	11	boundary	0	n/a
306.000	1.500	hamiltonian	forward	3	12	central	1	0.820
307.500	1.500	hamiltonian	forward	3	13	central	0	n/a
309.000	1.500	hamiltonian	forward	3	14	central	0	n/a
310.500	1.500	hamiltonian	forward	3	15	central	0	n/a
