onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
150.000	1.500	structured	1	3	11	boundary	rotated	rotated	1.051
151.500	1.500	structured	1	3	14	central	canonical	canonical	0.654
153.000	1.500	structured	1	3	16	central	canonical	canonical	0.622
154.500	1.500	structured	1	3	14	central	rotated	rotated	0.685
156.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.658
157.500	1.500	structured	1	3	14	central	rotated	rotated	0.935
159.000	1.500	structured	1	3	13	central	canonical	canonical	0.623
160.500	1.500	structured	1	3	16	central	canonical	canonical	0.610
162.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.665
163.500	1.500	structured	1	3	16	central	rotated	rotated	0.697
165.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.650
166.500	1.500	structured	1	3	15	central	canonical	canonical	0.496
168.000	1.500	structured	1	3	17	boundary	rotated	rotated	0.904
169.500	1.500	structured	1	3	16	central	canonical	canonical	0.637
171.000	1.500	structured	1	3	12	central	canonical	canonical	0.834
172.500	1.500	structured	1	3	16	central	rotated	canonical	0.779
174.000	1.500	structured	1	3	15	central	canonical	canonical	0.743
175.500	1.500	structured	1	3	16	central	rotated	rotated	0.819
177.000	1.500	structured	1	3	14	central	canonical	canonical	1.060
178.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.724
180.000	1.500	structured	1	3	15	central	canonical	canonical	0.692
181.500	1.500	structured	1	3	11	boundary	rotated	rotated	0.708
183.000	1.500	structured	1	3	15	central	rotated	rotated	0.708
184.500	1.500	structured	1	3	16	central	canonical	canonical	0.624
186.000	1.500	structured	1	3	15	central	rotated	rotated	0.782
187.500	1.500	structured	1	3	14	central	canonical	canonical	0.652
189.000	1.500	structured	1	3	16	central	canonical	canonical	0.721
190.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.738
192.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.715
193.500	1.500	structured	1	1	1	central	canonical	canonical	0.714
195.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.596
196.500	1.500	structured	1	1	2	central	canonical	canonical	0.832
198.000	1.500	structured	1	1	19	central	canonical	canonical	0.621
199.500	1.500	structured	1	1	1	central	canonical	canonical	0.631
201.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.679
202.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.504
204.000	1.500	structured	1	2	6	central	canonical	canonical	0.513
205.500	1.500	structured	1	2	5	central	canonical	canonical	0.549
207.000	1.500	structured	1	2	6	central	rotated	rotated	0.685
208.500	1.500	structured	1	2	9	central	canonical	canonical	0.621
210.000	1.500	structured	1	2	6	central	rotated	rotated	0.795
211.500	1.500	structured	1	2	7	central	canonical	canonical	0.649
213.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.514
214.500	1.500	structured	1	2	8	central	canonical	canonical	0.600
216.000	1.500	structured	1	2	7	central	canonical	canonical	0.578
217.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.532
219.000	1.500	structured	1	2	6	central	canonical	canonical	0.526
220.500	1.500	structured	1	2	8	central	canonical	canonical	0.590
222.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.504
223.500	1.500	structured	1	2	5	central	canonical	canonical	0.595
225.000	1.500	structured	1	2	6	central	canonical	canonical	0.515
226.500	1.500	structured	1	2	9	central	canonical	canonical	0.838
228.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.557
229.500	1.500	structured	1	2	6	central	canonical	canonical	0.610
231.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.653
232.500	1.500	structured	1	2	9	central	canonical	canonical	0.592
234.000	1.500	structured	1	2	8	central	canonical	canonical	0.817
235.500	1.500	structured	1	2	7	central	canonical	canonical	0.631
237.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.718
238.500	1.500	structured	1	2	8	central	canonical	canonical	0.684
240.000	1.500	structured	1	2	10	boundary	rotated	rotated	1.056
241.500	1.500	structured	1	2	8	central	rotated	rotated	0.686
243.000	1.500	structured	1	2	9	central	canonical	canonical	0.615
244.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.813
246.000	1.500	structured	1	2	6	central	canonical	canonical	0.619
247.500	1.500	structured	1	2	7	central	canonical	canonical	0.631
249.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.803
250.500	1.500	structured	1	2	5	central	canonical	canonical	0.623
252.000	1.500	structured	1	2	9	central	canonical	canonical	0.515
253.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.697
255.000	1.500	structured	1	2	9	central	rotated	rotated	0.675
256.500	1.500	structured	1	2	10	boundary	rotated	rotated	0.831
258.000	1.500	structured	1	2	7	central	canonical	canonical	0.679
259.500	1.500	structured	1	2	6	central	canonical	canonical	0.622
261.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.794
262.500	1.500	structured	1	2	6	central	rotated	rotated	0.794
264.000	1.500	structured	1	2	7	central	canonical	canonical	0.774
265.500	1.500	structured	1	2	6	central	rotated	rotated	1.247
267.000	1.500	structured	1	2	5	central	canonical	canonical	0.676
268.500	1.500	structured	1	2	8	central	canonical	canonical	0.574
270.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.561
271.500	1.500	structured	1	2	8	central	rotated	canonical	0.604
273.000	1.500	structured	1	2	9	central	canonical	canonical	0.620
274.500	1.500	structured	1	2	6	central	canonical	canonical	0.593
276.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.514
277.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.613
279.000	1.500	structured	1	1	20	central	canonical	canonical	0.644
280.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.746
282.000	1.500	structured	1	1	2	central	canonical	canonical	0.971
283.500	1.500	structured	1	1	21	central	canonical	canonical	1.074
285.000	1.500	structured	1	1	19	central	canonical	canonical	0.966
286.500	1.500	structured	1	1	20	central	canonical	canonical	0.803
288.000	1.500	structured	1	1	19	central	rotated	rotated	0.725
289.500	1.500	structured	1	1	1	central	canonical	canonical	0.683
291.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.801
292.500	1.500	structured	1	1	1	central	rotated	rotated	0.695
294.000	1.500	structured	1	1	21	central	canonical	canonical	0.935
295.500	1.500	structured	1	1	2	central	canonical	canonical	0.716
297.000	1.500	structured	1	1	1	central	canonical	canonical	0.643
298.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.825
300.000	1.500	structured	1	1	1	central	rotated	rotated	0.747
301.500	1.500	structured	1	1	20	central	canonical	canonical	0.645
303.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.818
304.500	1.500	structured	1	1	21	central	canonical	canonical	0.785
306.000	1.500	structured	1	1	1	central	canonical	canonical	0.692
307.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.902
309.000	1.500	structured	1	1	2	central	canonical	canonical	0.714
310.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.748
312.000	1.500	structured	1	1	20	central	canonical	canonical	0.701
313.500	1.500	structured	1	1	1	central	canonical	canonical	0.655
315.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.581
316.500	1.500	structured	1	1	2	central	canonical	canonical	0.573
318.000	1.500	structured	1	1	21	central	canonical	canonical	0.522
319.500	1.500	structured	1	1	19	central	canonical	canonical	0.629
321.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.628
322.500	1.500	structured	1	1	19	central	rotated	canonical	0.584
324.000	1.500	structured	1	1	2	central	canonical	canonical	0.611
325.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.579
327.000	1.500	structured	1	1	19	central	canonical	canonical	0.604
328.500	1.500	structured	1	1	18	boundary	rotated	rotated	0.715
330.000	1.500	structured	1	1	21	central	canonical	canonical	0.590
331.500	1.500	structured	1	1	1	central	canonical	canonical	0.721
333.000	1.500	structured	1	1	20	central	canonical	canonical	0.596
334.500	1.500	structured	1	1	21	central	canonical	canonical	0.837
336.000	1.500	structured	1	1	1	central	canonical	canonical	0.677
337.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.787
339.000	1.500	structured	1	1	2	central	canonical	canonical	0.874
340.500	1.500	structured	1	1	21	central	canonical	canonical	0.624
342.000	1.500	structured	1	1	1	central	canonical	canonical	0.839
343.500	1.500	structured	1	1	2	central	canonical	canonical	0.650
345.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.686
346.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.655
348.000	1.500	structured	1	2	6	central	canonical	canonical	0.850
349.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.804
351.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.574
352.500	1.500	structured	1	3	13	central	canonical	canonical	0.624
354.000	1.500	structured	1	3	11	boundary	rotated	canonical	0.733
355.500	1.500	structured	1	3	15	central	canonical	canonical	0.679
357.000	1.500	structured	1	3	12	central	canonical	canonical	0.669
358.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.973
360.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.661
361.500	1.500	structured	1	3	11	boundary	rotated	rotated	0.677
363.000	1.500	structured	1	3	15	central	canonical	canonical	0.587
364.500	1.500	structured	1	3	13	central	canonical	canonical	0.788
366.000	1.500	structured	1	3	15	central	rotated	rotated	1.132
367.500	1.500	structured	1	3	14	central	canonical	canonical	0.737
369.000	1.500	structured	1	3	12	central	canonical	canonical	0.743
370.500	1.500	structured	1	3	15	central	canonical	canonical	0.877
372.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.895
373.500	1.500	structured	1	3	15	central	rotated	rotated	0.890
375.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.743
376.500	1.500	structured	1	3	15	central	rotated	rotated	0.876
378.000	1.500	structured	1	3	17	boundary	rotated	rotated	1.324
379.500	1.500	structured	1	3	15	central	rotated	rotated	0.730
381.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.652
382.500	1.500	structured	1	3	16	central	canonical	canonical	1.205
384.000	1.500	structured	1	3	14	central	canonical	canonical	1.465
385.500	1.500	structured	1	3	16	central	rotated	rotated	1.071
387.000	1.500	structured	1	3	14	central	rotated	canonical	0.584
388.500	1.500	structured	1	3	12	central	canonical	canonical	0.802
390.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.699
391.500	1.500	structured	1	3	14	central	canonical	canonical	0.648
393.000	1.500	structured	1	3	16	central	canonical	canonical	0.665
394.500	1.500	structured	1	3	13	central	canonical	canonical	0.658
396.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.833
397.500	1.500	structured	1	3	16	central	canonical	canonical	0.710
399.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.758
400.500	1.500	structured	1	1	18	boundary	canonical	canonical	1.151
