onset	duration	trial_type	path_type	community	object	object_type	response	response_time
0.000	1.500	structured	structured	1	21	central	0	n/a
1.500	1.500	structured	structured	1	3	boundary	0	n/a
3.000	1.500	structured	structured	1	20	central	1	0.818
4.500	1.500	structured	structured	1	3	boundary	0	n/a
6.000	1.500	structured	structured	1	2	central	1	0.915
7.500	1.500	structured	structured	1	3	boundary	1	0.770
9.000	1.500	structured	structured	2	4	boundary	0	n/a
10.500	1.500	structured	structured	2	8	central	1	0.950
12.000	1.500	structured	structured	2	10	boundary	0	n/a
13.500	1.500	structured	structured	2	8	central	0	n/a
15.000	1.500	structured	structured	2	7	central	0	n/a
16.500	1.500	structured	structured	2	10	boundary	1	0.778
18.000	1.500	structured	structured	2	6	central	0	n/a
19.500	1.500	structured	structured	2	5	central	1	0.863
21.000	1.500	structured	structured	2	4	boundary	0	n/a
22.500	1.500	structured	structured	2	6	central	0	n/a
24.000	1.500	structured	structured	2	8	central	1	1.008
25.500	1.500	structured	structured	2	6	central	0	n/a
27.000	1.500	structured	structured	2	7	central	0	n/a
28.500	1.500	structured	structured	2	10	boundary	1	0.930
30.000	1.500	structured	structured	2	8	central	0	n/a
31.500	1.500	hamiltonian	forward	2	9	central	1	0.905
33.000	1.500	hamiltonian	forward	2	10	boundary	0	n/a
34.500	1.500	hamiltonian	forward	3	11	boundary	0	n/a
36.000	1.500	hamiltonian	forward	3	12	central	0	n/a
37.500	1.500	hamiltonian	forward	3	13	central	0	n/a
39.000	1.500	hamiltonian	forward	3	14	central	0	n/a
40.500	1.500	hamiltonian	forward	3	15	central	0	n/a
42.000	1.500	hamiltonian	forward	3	16	central	0	n/a
43.500	1.500	hamiltonian	forward	3	17	boundary	0	n/a
45.000	1.500	hamiltonian	forward	1	18	boundary	1	0.853
46.500	1.500	hamiltonian	forward	1	19	central	1	1.012
48.000	1.500	hamiltonian	forward	1	20	central	0	n/a
49.500	1.500	hamiltonian	forward	1	21	central	0	n/a
51.000	1.500	hamiltonian	forward	1	1	central	0	n/a
52.500	1.500	hamiltonian	forward	1	2	central	0	n/a
54.000	1.500	hamiltonian	forward	1	3	boundary	1	0.710
55.500	1.500	hamiltonian	forward	2	4	boundary	0	n/a
57.000	1.500	hamiltonian	forward	2	5	central	0	n/a
58.500	1.500	hamiltonian	forward	2	6	central	0	n/a
60.000	1.500	hamiltonian	forward	2	7	central	1	1.032
61.500	1.500	hamiltonian	forward	2	8	central	0	n/a
63.000	1.500	structured	structured	2	5	central	0	n/a
64.500	1.500	structured	structured	2	10	boundary	0	n/a
66.000	1.500	structured	structured	3	11	boundary	1	1.483
67.500	1.500	structured	structured	3	16	central	1	0.143
69.000	1.500	structured	structured	3	11	boundary	0	n/a
70.500	1.500	structured	structured	3	16	central	0	n/a
72.000	1.500	structured	structured	3	14	central	1	0.851
73.500	1.500	structured	structured	3	12	central	1	1.161
75.000	1.500	structured	structured	3	11	boundary	0	n/a
76.500	1.500	structured	structured	2	10	boundary	0	n/a
78.000	1.500	structured	structured	2	9	central	1	0.693
79.500	1.500	structured	structured	2	4	boundary	0	n/a
81.000	1.500	structured	structured	2	6	central	0	n/a
82.500	1.500	structured	structured	2	7	central	0	n/a
84.000	1.500	structured	structured	2	4	boundary	1	0.620
85.500	1.500	structured	structured	2	6	central	0	n/a
87.000	1.500	structured	structured	2	8	central	0	n/a
88.500	1.500	structured	structured	2	9	central	1	0.651
90.000	1.500	structured	structured	2	8	central	0	n/a
91.500	1.500	structured	structured	2	5	central	0	n/a
93.000	1.500	structured	structured	2	6	central	0	n/a
94.500	1.500	hamiltonian	forward	2	7	central	1	0.910
96.000	1.500	hamiltonian	forward	2	8	central	1	0.701
97.500	1.500	hamiltonian	forward	2	9	central	0	n/a
99.000	1.500	hamiltonian	forward	2	10	boundary	0	n/a
100.500	1.500	hamiltonian	forward	3	11	boundary	1	0.858
102.000	1.500	hamiltonian	forward	3	12	central	0	n/a
103.500	1.500	hamiltonian	forward	3	13	central	0	n/a
105.000	1.500	hamiltonian	forward	3	14	central	0	n/a
106.500	1.500	hamiltonian	forward	3	15	central	0	n/a
108.000	1.500	hamiltonian	forward	3	16	central	1	1.149
109.500	1.500	hamiltonian	forward	3	17	boundary	0	n/a
111.000	1.500	hamiltonian	forward	1	18	boundary	0	n/a
112.500	1.500	hamiltonian	forward	1	19	central	1	0.794
114.000	1.500	hamiltonian	forward	1	20	central	0	n/a
115.500	1.500	hamiltonian	forward	1	21	central	0	n/a
117.000	1.500	hamiltonian	forward	1	1	central	0	n/a
118.500	1.500	hamiltonian	forward	1	2	central	0	n/a
120.000	1.500	hamiltonian	forward	1	3	boundary	0	n/a
121.500	1.500	hamiltonian	forward	2	4	boundary	1	0.742
123.000	1.500	hamiltonian	forward	2	5	central	0	n/a
124.500	1.500	hamiltonian	forward	2	6	central	1	0.957
126.000	1.500	structured	structured	2	8	central	0	n/a
127.500	1.500	structured	structured	2	10	boundary	1	0.978
129.000	1.500	structured	structured	2	5	central	0	n/a
130.500	1.500	structured	structured	2	9	central	0	n/a
132.000	1.500	structured	structured	2	6	central	0	n/a
133.500	1.500	structured	structured	2	9	central	0	n/a
135.000	1.500	structured	structured	2	7	central	1	0.748
136.500	1.500	structured	structured	2	9	central	0	n/a
138.000	1.500	structured	structured	2	4	boundary	0	n/a
139.500	1.500	structured	structured	2	7	central	0	n/a
141.000	1.500	structured	structured	2	6	central	0	n/a
142.500	1.500	structured	structured	2	9	central	0	n/a
144.000	1.500	structured	structured	2	6	central	0	n/a
145.500	1.500	structured	structured	2	4	boundary	0	n/a
147.000	1.500	structured	structured	1	3	boundary	1	0.996
148.500	1.500	structured	structured	1	21	central	0	n/a
150.000	1.500	structured	structured	1	1	central	0	n/a
151.500	1.500	structured	structured	1	20	central	0	n/a
153.000	1.500	structured	structured	1	19	central	0	n/a
154.500	1.500	structured	structured	1	3	boundary	1	0.941
156.000	1.500	structured	structured	2	4	boundary	0	n/a
157.500	1.500	hamiltonian	backward	1	3	boundary	0	n/a
159.000	1.500	hamiltonian	backward	1	2	central	0	n/a
160.500	1.500	hamiltonian	backward	1	1	central	0	n/a
162.000	1.500	hamiltonian	backward	1	21	central	1	0.483
163.500	1.500	hamiltonian	backward	1	20	central	0	n/a
165.000	1.500	hamiltonian	backward	1	19	central	0	n/a
166.500	1.500	hamiltonian	backward	1	18	boundary	1	0.940
168.000	1.500	hamiltonian	backward	3	17	boundary	0	n/a
169.500	1.500	hamiltonian	backward	3	16	central	0	n/a
171.000	1.500	hamiltonian	backward	3	15	central	0	n/a
172.500	1.500	hamiltonian	backward	3	14	central	0	n/a
174.000	1.500	hamiltonian	backward	3	13	central	0	n/a
175.500	1.500	hamiltonian	backward	3	12	central	0	n/a
177.000	1.500	hamiltonian	backward	3	11	boundary	1	1.108
178.500	1.500	hamiltonian	backward	2	10	boundary	0	n/a
180.000	1.500	hamiltonian	backward	2	9	central	0	n/a
181.500	1.500	hamiltonian	backward	2	8	central	1	0.676
183.000	1.500	hamiltonian	backward	2	7	central	0	n/a
184.500	1.500	hamiltonian	backward	2	6	central	0	n/a
186.000	1.500	hamiltonian	backward	2	5	central	0	n/a
187.500	1.500	hamiltonian	backward	2	4	boundary	1	0.826
189.000	1.500	structured	structured	2	9	central	0	n/a
190.500	1.500	structured	structured	2	8	central	0	n/a
192.000	1.500	structured	structured	2	6	central	0	n/a
193.500	1.500	structured	structured	2	8	central	1	0.829
195.000	1.500	structured	structured	2	9	central	0	n/a
196.500	1.500	structured	structured	2	4	boundary	1	0.803
198.000	1.500	structured	structured	2	8	central	0	n/a
199.500	1.500	structured	structured	2	9	central	0	n/a
201.000	1.500	structured	structured	2	10	boundary	0	n/a
202.500	1.500	structured	structured	2	5	central	1	0.735
204.000	1.500	structured	structured	2	8	central	0	n/a
205.500	1.500	structured	structured	2	9	central	0	n/a
207.000	1.500	structured	structured	2	4	boundary	0	n/a
208.500	1.500	structured	structured	2	5	central	0	n/a
210.000	1.500	structured	structured	2	4	boundary	0	n/a
211.500	1.500	structured	structured	2	5	central	1	0.640
213.000	1.500	structured	structured	2	4	boundary	0	n/a
