onset	duration	trial_type	path_type	community	object	object_type	response	response_time
0.000	1.500	structured	structured	3	16	central	0	n/a
1.500	1.500	structured	structured	3	17	boundary	0	n/a
3.000	1.500	structured	structured	3	12	central	1	0.526
4.500	1.500	structured	structured	3	13	central	0	n/a
6.000	1.500	structured	structured	3	17	boundary	0	n/a
7.500	1.500	structured	structured	1	18	boundary	1	0.503
9.000	1.500	structured	structured	1	21	central	1	0.989
10.500	1.500	structured	structured	1	18	boundary	0	n/a
12.000	1.500	structured	structured	1	19	central	1	0.836
13.500	1.500	structured	structured	1	1	central	0	n/a
15.000	1.500	structured	structured	1	2	central	1	0.872
16.500	1.500	structured	structured	1	20	central	1	0.799
18.000	1.500	structured	structured	1	18	boundary	0	n/a
19.500	1.500	structured	structured	3	17	boundary	0	n/a
21.000	1.500	structured	structured	3	14	central	1	0.743
22.500	1.500	structured	structured	3	15	central	0	n/a
24.000	1.500	structured	structured	3	11	boundary	0	n/a
25.500	1.500	structured	structured	3	14	central	1	0.852
27.000	1.500	structured	structured	3	11	boundary	0	n/a
28.500	1.500	structured	structured	3	12	central	0	n/a
30.000	1.500	structured	structured	3	13	central	0	n/a
31.500	1.500	hamiltonian	forward	3	14	central	0	n/a
33.000	1.500	hamiltonian	forward	3	15	central	0	n/a
34.500	1.500	hamiltonian	forward	3	16	central	0	n/a
36.000	1.500	hamiltonian	forward	3	17	boundary	1	0.755
37.500	1.500	hamiltonian	forward	1	18	boundary	0	n/a
39.000	1.500	hamiltonian	forward	1	19	central	0	n/a
40.500	1.500	hamiltonian	forward	1	20	central	0	n/a
42.000	1.500	hamiltonian	forward	1	21	central	0	n/a
43.500	1.500	hamiltonian	forward	1	1	central	1	1.214
45.000	1.500	hamiltonian	forward	1	2	central	0	n/a
46.500	1.500	hamiltonian	forward	1	3	boundary	1	0.836
48.000	1.500	hamiltonian	forward	2	4	boundary	0	n/a
49.500	1.500	hamiltonian	forward	2	5	central	1	1.486
51.000	1.500	hamiltonian	forward	2	6	central	1	0.033
52.500	1.500	hamiltonian	forward	2	7	central	0	n/a
54.000	1.500	hamiltonian	forward	2	8	central	0	n/a
55.500	1.500	hamiltonian	forward	2	9	central	1	0.565
57.000	1.500	hamiltonian	forward	2	10	boundary	0	n/a
58.500	1.500	hamiltonian	forward	3	11	boundary	0	n/a
60.000	1.500	hamiltonian	forward	3	12	central	1	0.525
61.500	1.500	hamiltonian	forward	3	13	central	0	n/a
63.000	1.500	structured	structured	3	17	boundary	0	n/a
64.500	1.500	structured	structured	1	18	boundary	1	0.530
66.000	1.500	structured	structured	3	17	boundary	0	n/a
67.500	1.500	structured	structured	3	16	central	0	n/a
69.000	1.500	structured	structured	3	13	central	0	n/a
70.500	1.500	structured	structured	3	15	central	1	0.594
72.000	1.500	structured	structured	3	11	boundary	0	n/a
73.500	1.500	structured	structured	3	15	central	0	n/a
75.000	1.500	structured	structured	3	16	central	0	n/a
76.500	1.500	structured	structured	3	13	central	1	0.656
78.000	1.500	structured	structured	3	15	central	0	n/a
79.500	1.500	structured	structured	3	13	central	0	n/a
81.000	1.500	structured	structured	3	15	central	0	n/a
82.500	1.500	structured	structured	3	16	central	0	n/a
84.000	1.500	structured	structured	3	17	boundary	1	0.914
85.500	1.500	structured	structured	3	16	central	0	n/a
87.000	1.500	structured	structured	3	11	boundary	0	n/a
88.500	1.500	structured	structured	3	16	central	1	1.465
90.000	1.500	structured	structured	3	17	boundary	0	n/a
91.500	1.500	structured	structured	1	18	boundary	1	0.710
93.000	1.500	structured	structured	3	17	boundary	0	n/a
94.500	1.500	hamiltonian	backward	3	16	central	0	n/a
96.000	1.500	hamiltonian	backward	3	15	central	1	0.592
97.500	1.500	hamiltonian	backward	3	14	central	0	n/a
99.000	1.500	hamiltonian	backward	3	13	central	0	n/a
100.500	1.500	hamiltonian	backward	3	12	central	1	0.543
102.000	1.500	hamiltonian	backward	3	11	boundary	0	n/a
103.500	1.500	hamiltonian	backward	2	10	boundary	0	n/a
105.000	1.500	hamiltonian	backward	2	9	central	1	0.546
106.500	1.500	hamiltonian	backward	2	8	central	0	n/a
108.000	1.500	hamiltonian	backward	2	7	central	1	0.791
109.500	1.500	hamiltonian	backward	2	6	central	0	n/a
111.000	1.500	hamiltonian	backward	2	5	central	1	0.933
112.500	1.500	hamiltonian	backward	2	4	boundary	0	n/a
114.000	1.500	hamiltonian	backward	1	3	boundary	1	0.768
115.500	1.500	hamiltonian	backward	1	2	central	0	n/a
117.000	1.500	hamiltonian	backward	1	1	central	0	n/a
118.500	1.500	hamiltonian	backward	1	21	central	1	0.615
120.000	1.500	hamiltonian	backward	1	20	central	0	n/a
121.500	1.500	hamiltonian	backward	1	19	central	0	n/a
123.000	1.500	hamiltonian	backward	1	18	boundary	0	n/a
124.500	1.500	hamiltonian	backward	3	17	boundary	1	0.794
126.000	1.500	structured	structured	3	12	central	0	n/a
127.500	1.500	structured	structured	3	17	boundary	1	0.681
129.000	1.500	structured	structured	1	18	boundary	0	n/a
130.500	1.500	structured	structured	1	1	central	0	n/a
132.000	1.500	structured	structured	1	19	central	1	1.178
133.500	1.500	structured	structured	1	3	boundary	0	n/a
135.000	1.500	structured	structured	1	19	central	1	0.865
136.500	1.500	structured	structured	1	20	central	0	n/a
138.000	1.500	structured	structured	1	18	boundary	0	n/a
139.500	1.500	structured	structured	1	1	central	1	0.717
